Date,SBNY
2021-07-01,244.8070594137
2021-07-02,242.9851118684
2021-07-06,236.2360696175
2021-07-07,236.1577062822
2021-07-08,235.3348912617
2021-07-09,250.4786058045
2021-07-12,252.388712102
2021-07-13,248.1668874138
2021-07-14,244.4642198218
2021-07-15,243.8471085565
2021-07-16,231.064089489
2021-07-19,223.0906201243
2021-07-20,230.6820682295
2021-07-21,235.8442529411
2021-07-22,232.1807670167
2021-07-23,234.3357587369
2021-07-26,230.5841140604
2021-07-27,225.3337705967
2021-07-28,226.6561518795
2021-07-29,226.1076085326
2021-07-30,222.8672597761
2021-08-02,222.7297904349
2021-08-03,227.4528442284
2021-08-04,225.8523083275
2021-08-05,235.1707658121
2021-08-06,242.8003142478
2021-08-09,247.6510181439
2021-08-10,249.8898045575
2021-08-11,257.696099289
2021-08-12,253.3363573258
2021-08-13,252.8061184383
2021-08-16,251.9518446753
2021-08-17,241.7300172343
2021-08-18,240.4044200158
2021-08-19,234.1397457532
2021-08-20,241.4845362679
2021-08-23,247.0716830632
2021-08-24,253.100695598
2021-08-25,254.7797854082
2021-08-26,249.9487199894
2021-08-27,258.3736267563
2021-08-30,251.9322061979
2021-08-31,254.642316067
2021-09-01,253.9255116451
2021-09-02,257.7746531983
2021-09-03,257.1167642083
2021-09-07,259.4144660538
2021-09-08,252.9828647341
2021-09-09,255.9875517629
2021-09-10,258.0495918807
2021-09-13,263.8527619264
2021-09-14,258.8449502118
2021-09-15,257.9121225395
2021-09-16,258.8253117345
2021-09-17,256.9498371512
2021-09-20,246.3450594027
2021-09-21,245.3336778211
2021-09-22,248.19107627
2021-09-23,256.2624904453
2021-09-24,256.0759249108
2021-09-27,271.6394181806
2021-09-28,267.4269647972
2021-09-29,270.6673135537
2021-09-30,267.3582301266
2021-10-01,280.9185987106
2021-10-04,284.3847899561
2021-10-05,283.933104978
2021-10-06,285.3667138217
2021-10-07,287.4680308941
2021-10-08,294.5378827265
2021-10-11,290.0112137061
2021-10-12,290.040671422
2021-10-13,292.495481086
2021-10-14,295.4510719215
2021-10-15,300.0071986579
2021-10-18,302.8645971068
2021-10-19,291.3760878792
2021-10-20,304.1901943254
2021-10-21,304.0920019388
2021-10-22,309.738064166
2021-10-25,306.7530156146
2021-10-26,302.3638159353
2021-10-27,290.2174177178
2021-10-28,295.9125761383
2021-10-29,292.9809954306
2021-11-01,305.9960332707
2021-11-02,309.9999035662
2021-11-03,320.3981613115
2021-11-04,314.2988994363
2021-11-05,315.4302141389
2021-11-08,315.8237149051
2021-11-09,317.9781315997
2021-11-10,310.2556790642
2021-11-11,310.3245416983
2021-11-12,309.8720158172
2021-11-15,316.2270531904
2021-11-16,316.8664919354
2021-11-17,318.1650444636
2021-11-18,322.6706282359
2021-11-19,326.5957983782
2021-11-22,327.2057245657
2021-11-23,330.6783688269
2021-11-24,334.1116630115
2021-11-26,320.6539368095
2021-11-29,321.7655764738
2021-11-30,297.3882040114
2021-12-01,300.054171702
2021-12-02,314.407112147
2021-12-03,300.762473081
2021-12-06,306.2813213262
2021-12-07,313.0593720229
2021-12-08,315.626964522
2021-12-09,310.2261665067
2021-12-10,299.995146587
2021-12-13,290.7773911402
2021-12-14,294.9484992613
2021-12-15,298.3326058501
2021-12-16,299.3163577655
2021-12-17,298.5391937523
2021-12-20,294.928824223
2021-12-21,310.6885299069
2021-12-22,315.0957384877
2021-12-23,314.534999896
2021-12-27,321.2933755545
2021-12-28,318.9422084768
2021-12-29,315.7056646752
2021-12-30,314.5054873385
2021-12-31,318.2142320594
2022-01-03,322.0213519718
2022-01-04,329.6355917967
2022-01-05,335.4594031355
2022-01-06,356.570719239
2022-01-07,359.7679129639
2022-01-10,347.5005265795
2022-01-11,354.8491533872
2022-01-12,360.0532010194
2022-01-13,359.2170118913
2022-01-14,359.453112351
2022-01-18,349.9205562912
2022-01-19,345.7199356127
2022-01-20,334.4756512202
2022-01-21,321.0277625373
2022-01-24,309.0653392466
2022-01-25,305.2680568533
2022-01-26,300.5755602171
2022-01-27,292.2136689366
2022-01-28,296.7376190864
2022-01-31,300.2463908802
2022-02-01,314.0449316422
2022-02-02,311.886445623
2022-02-03,306.3078927149
2022-02-04,316.2526981641
2022-02-07,318.6477305963
2022-02-08,332.5152640621
2022-02-09,335.2454039129
2022-02-10,339.0104343208
2022-02-11,331.7464882197
2022-02-14,326.6016037356
2022-02-15,337.3151850272
2022-02-16,344.8255336419
2022-02-17,333.7177083285
2022-02-18,330.4257707467
2022-02-22,336.0043236548
2022-02-23,326.7494452437
2022-02-24,321.013194727
2022-02-25,344.953662949
2022-02-28,339.9270516714
2022-03-01,312.1919847398
2022-03-02,332.3279981518
2022-03-03,323.3885149581
2022-03-04,300.4435128911
2022-03-07,273.9503146281
2022-03-08,281.5789364493
2022-03-09,302.0796255814
2022-03-10,304.878758136
2022-03-11,285.0877082431
2022-03-14,285.6100815719
2022-03-15,290.7155416539
2022-03-16,315.8978785445
2022-03-17,311.8371651203
2022-03-18,308.1509835167
2022-03-21,306.4064537204
2022-03-22,316.558237281
2022-03-23,295.6731602276
2022-03-24,301.1334399292
2022-03-25,304.0705578914
2022-03-28,299.0735149154
2022-03-29,311.5217699028
2022-03-30,302.0599133803
2022-03-31,289.2666948739
2022-04-01,285.6495059741
2022-04-04,284.85116183
2022-04-05,278.602394085
2022-04-06,272.4127629432
2022-04-07,266.0654341926
2022-04-08,262.6453673038
2022-04-11,266.2724123041
2022-04-12,264.8235655241
2022-04-13,270.2641330245
2022-04-14,262.0835695728
2022-04-18,262.7734966109
2022-04-19,284.0528176859
2022-04-20,282.9785027266
2022-04-21,262.359540388
2022-04-22,255.7559530233
2022-04-25,257.3033608088
2022-04-26,244.2440275876
2022-04-27,243.9286323702
2022-04-28,248.4722947211
2022-04-29,239.2955927335
2022-05-02,245.5977841954
2022-05-03,250.023147479
2022-05-04,260.1382635557
2022-05-05,242.9702247458
2022-05-06,231.9957189242
2022-05-09,217.3465810904
2022-05-10,215.3512163956
2022-05-11,192.1279371999
2022-05-12,186.8728183006
2022-05-13,198.7462260392
2022-05-16,184.6502586158
2022-05-17,194.4393992721
2022-05-18,187.5741593567
2022-05-19,186.6851354828
2022-05-20,188.5619636611
2022-05-23,195.328423146
2022-05-24,188.5520856181
2022-05-25,195.6050083513
2022-05-26,200.978663767
2022-05-27,208.9107323311
2022-05-31,213.632436906
2022-06-01,209.2465857946
2022-06-02,217.4058493487
2022-06-03,215.3808505247
2022-06-06,220.6260913809
2022-06-07,223.1647484432
2022-06-08,220.8038961557
2022-06-09,212.2989010951
2022-06-10,199.161103847
2022-06-13,171.9273391755
2022-06-14,175.888434436
2022-06-15,178.7036767035
2022-06-16,165.5066111971
2022-06-17,169.5862429742
2022-06-21,173.4090456321
2022-06-22,175.5031907573
2022-06-23,180.8966022592
2022-06-24,189.7967190416
2022-06-27,186.951842645
2022-06-28,185.2626972845
2022-06-29,181.755992004
2022-06-30,177.0244093861
2022-07-01,181.8745285205
2022-07-05,187.1296474198
2022-07-06,183.6130640962
2022-07-07,190.9425720346
2022-07-08,191.1006207233
2022-07-11,185.9047700824
2022-07-12,186.5863550524
2022-07-13,186.5468428802
2022-07-14,181.1040411631
2022-07-15,189.2336705881
2022-07-18,193.728180173
2022-07-19,184.9959901223
2022-07-20,185.3417216289
2022-07-21,179.3556275444
2022-07-22,173.7448990956
2022-07-25,179.2074568987
2022-07-26,172.8558752216
2022-07-27,178.3085549817
2022-07-28,183.7513566988
2022-07-29,183.8603432686
2022-08-01,181.5815331726
2022-08-02,183.3352261596
2022-08-03,186.8723357434
2022-08-04,184.6331571273
2022-08-05,185.5545890357
2022-08-08,187.0308616631
2022-08-09,185.2771686762
2022-08-10,195.3237488386
2022-08-11,200.1984208701
2022-08-12,204.5083443125
2022-08-15,202.8537300254
2022-08-16,205.2118030813
2022-08-17,199.9011847706
2022-08-18,199.7921982008
2022-08-19,188.209898191
2022-08-22,183.662185869
2022-08-23,184.3656446378
2022-08-24,185.1483663664
2022-08-25,189.0916986195
2022-08-26,179.4711568663
2022-08-29,176.3997171717
2022-08-30,174.9432602842
2022-08-31,172.753621018
2022-09-01,170.1775748226
2022-09-02,169.7019970634
2022-09-06,166.8188068984
2022-09-07,173.7642237563
2022-09-08,179.4117096464
2022-09-09,182.0670188018
2022-09-12,186.0797061448
2022-09-13,176.211467642
2022-09-14,175.636811183
2022-09-15,177.1527152904
2022-09-16,170.3261928723
2022-09-19,170.5639817519
2022-09-20,167.5222656672
2022-09-21,167.0169642981
2022-09-22,158.5358275929
2022-09-23,154.7014819096
2022-09-26,149.6088367385
2022-09-27,148.75675992
2022-09-28,153.5620768616
2022-09-29,151.4715162952
2022-09-30,149.6088367385
2022-10-03,155.5337429881
2022-10-04,162.5782385458
2022-10-05,159.2789178416
2022-10-06,156.1381230571
2022-10-07,151.5805028651
2022-10-10,151.035570016
2022-10-11,147.3102109025
2022-10-12,147.0823298929
2022-10-13,152.3731324637
2022-10-14,143.6641147489
2022-10-17,151.6498579549
2022-10-18,155.8408869576
2022-10-19,150.8869519663
2022-10-20,141.3456731729
2022-10-21,140.9988977236
2022-10-24,146.8247252734
2022-10-25,151.1445565858
2022-10-26,154.3844300702
2022-10-27,150.5699001268
2022-10-28,157.8194514902
2022-10-31,157.6503947368
2022-11-01,159.1221829423
2022-11-02,145.8462555485
2022-11-03,143.3800158529
2022-11-04,147.7058798351
2022-11-07,147.5567121116
2022-11-08,141.3513348129
2022-11-09,131.2874857324
2022-11-10,140.1579930247
2022-11-11,143.1811255549
2022-11-14,138.0000332911
2022-11-15,147.1191534559
2022-11-16,137.2442501585
2022-11-17,131.2775412175
2022-11-18,131.2974302473
2022-11-21,131.2675967026
2022-11-22,135.4343484464
2022-11-23,138.7359273938
2022-11-25,139.4618769816
2022-11-28,133.5250015853
2022-11-29,134.8277330374
2022-11-30,138.7259828789
2022-12-01,137.2740837032
2022-12-02,135.2454026633
2022-12-05,125.1815535828
2022-12-06,118.2005041218
2022-12-07,116.3408798351
2022-12-08,118.6380627774
2022-12-09,117.9021686747
2022-12-12,122.0490313887
2022-12-13,119.3341788205
2022-12-14,116.0027663285
2022-12-15,114.7696464807
2022-12-16,113.2381911858
2022-12-19,113.3674698795
2022-12-20,113.2879137603
2022-12-21,114.6005897273
2022-12-22,114.9685367787
2022-12-23,114.3619213697
2022-12-27,113.3475808497
2022-12-28,111.0702869372
2022-12-29,115.4757070387
2022-12-30,114.5807006975
2023-01-03,112.5420751427
2023-01-04,117.2856087508
2023-01-05,110.2250031706
2023-01-06,115.6547083069
2023-01-09,115.1475380469
2023-01-10,113.8746401395
2023-01-11,117.066829423
2023-01-12,116.3906024096
2023-01-13,117.7132228916
2023-01-17,120.5076315789
2023-01-18,117.7032783767
2023-01-19,118.2502266963
2023-01-20,127.080955929
2023-01-23,128.393631896
2023-01-24,126.7229533925
2023-01-25,125.2511651871
2023-01-26,125.46
2023-01-27,127.39
2023-01-30,122.44
2023-01-31,128.95
2023-02-01,135.5
2023-02-02,143.17
2023-02-03,138.93
2023-02-06,134.85
2023-02-07,138.74
2023-02-08,135.8
2023-02-09,134.25
2023-02-10,129.93
2023-02-13,130.67
2023-02-14,130.15
2023-02-15,134.78
2023-02-16,127.02
2023-02-17,124.31
2023-02-21,116.78
2023-02-22,116.98
2023-02-23,116.28
2023-02-24,114.21
2023-02-27,113.81
2023-02-28,115.05
2023-03-01,112.61
2023-03-02,109.56
2023-03-03,113.7
2023-03-06,110.89
2023-03-07,104.89
2023-03-08,103.35
2023-03-09,90.76
2023-03-10,70.0
2023-03-13,70.0
2023-03-14,70.0
2023-03-15,70.0
2024-08-15,2.150000095367432
2024-08-16,2.150000095367432
2024-08-19,2.049999952316284
2024-08-20,2.0
2024-08-21,1.8600000143051147
2024-08-22,1.850000023841858
2024-08-23,1.8799999952316284
2024-08-26,1.899999976158142
2024-08-27,1.850000023841858
2024-08-28,1.899999976158142
2024-08-29,1.899999976158142
2024-08-30,1.899999976158142
2024-09-03,1.899999976158142
2024-09-04,1.8799999952316284
2024-09-05,1.8799999952316284
2024-09-06,1.8799999952316284
2024-09-09,1.899999976158142
2024-09-10,1.899999976158142
2024-09-11,2.0
2024-09-12,2.0999999046325684
2024-09-13,2.1700000762939453
2024-09-16,2.200000047683716
2024-09-17,2.150000095367432
2024-09-18,2.25
2024-09-19,2.0999999046325684
2024-09-20,2.0999999046325684
2024-09-23,2.0999999046325684
2024-09-24,2.049999952316284
2024-09-25,2.049999952316284
2024-09-26,1.9900000095367432
2024-09-27,1.9900000095367432
2024-09-30,2.0
2024-10-01,1.950000047683716
2024-10-02,2.0
2024-10-03,1.9900000095367432
2024-10-04,1.9800000190734863
2024-10-07,1.899999976158142
2024-10-08,1.830000042915344
2024-10-09,1.7999999523162842
2024-10-10,1.7999999523162842
2024-10-11,1.7999999523162842
2024-10-14,1.75
2024-10-15,1.7999999523162842
2024-10-16,1.7899999618530271
2024-10-17,1.75
2024-10-18,1.7000000476837158
2024-10-21,1.7000000476837158
2024-10-22,1.649999976158142
2024-10-23,1.659999966621399
2024-10-24,1.5399999618530271
2024-10-25,1.5399999618530271
2024-10-28,1.5
2024-10-29,1.350000023841858
2024-10-30,1.2999999523162842
2024-10-31,1.25
2024-11-01,1.25
2024-11-04,1.25
2024-11-05,1.3200000524520874
2024-11-06,1.5
2024-11-07,1.5
2024-11-08,1.2999999523162842
2024-11-11,1.399999976158142
2024-11-12,1.3799999952316284
2024-11-13,1.3600000143051147
2024-11-14,1.2799999713897705
2024-11-15,1.3200000524520874
2024-11-18,1.2899999618530271
2024-11-19,1.2999999523162842
2024-11-20,1.25
2024-11-21,1.2000000476837158
2024-11-22,1.2400000095367432
2024-11-25,1.2400000095367432
2024-11-26,1.25
2024-11-27,1.2000000476837158
2024-11-29,1.2300000190734863
2024-12-02,1.5
2024-12-03,1.649999976158142
2024-12-04,1.7000000476837158
2024-12-05,1.7000000476837158
2024-12-06,1.600000023841858
2024-12-09,1.5
2024-12-10,1.5750000476837158
2024-12-11,1.590000033378601
2024-12-12,1.5499999523162842
2024-12-13,1.350000023841858
2024-12-16,1.25
2024-12-17,1.2999999523162842
2024-12-18,1.350000023841858
2024-12-19,1.25
2024-12-20,1.25
2024-12-23,1.2450000047683716
2024-12-24,1.2300000190734863
2024-12-26,1.350000023841858
2024-12-27,1.2200000286102295
2024-12-30,1.2999999523162842
2024-12-31,1.3700000047683716
2025-01-02,1.2100000381469729
2025-01-03,1.2300000190734863
2025-01-06,1.2200000286102295
2025-01-07,1.2300000190734863
2025-01-08,1.2200000286102295
2025-01-10,1.2300000190734863
2025-01-13,1.2000000476837158
2025-01-14,1.2000000476837158
2025-01-15,1.2200000286102295
2025-01-16,1.2999999523162842
2025-01-17,1.25
2025-01-21,1.2000000476837158
2025-01-22,1.2999999523162842
2025-01-23,1.2999999523162842
2025-01-24,1.25
2025-01-27,1.2300000190734863
2025-01-28,1.25
2025-01-29,1.350000023841858
2025-01-30,1.2300000190734863
2025-01-31,1.2300000190734863
2025-02-03,1.2999999523162842
2025-02-04,1.25
2025-02-05,1.2000000476837158
2025-02-06,1.2000000476837158
2025-02-07,1.2300000190734863
2025-02-10,1.159999966621399
2025-02-11,1.2000000476837158
