Date,UPS
2015-07-01,96.94000244140625
2015-07-02,97.19999694824219
2015-07-06,96.66000366210938
2015-07-07,97.5
2015-07-08,95.48999786376953
2015-07-09,95.75
2015-07-10,96.95999908447266
2015-07-13,97.76000213623047
2015-07-14,97.87000274658203
2015-07-15,97.18000030517578
2015-07-16,97.4800033569336
2015-07-17,97.5999984741211
2015-07-20,97.58999633789062
2015-07-21,97.95999908447266
2015-07-22,97.2300033569336
2015-07-23,96.11000061035156
2015-07-24,94.75
2015-07-27,95.12000274658203
2015-07-28,99.94000244140625
2015-07-29,100.88999938964844
2015-07-30,101.4000015258789
2015-07-31,102.36000061035156
2015-08-03,102.75
2015-08-04,102.63999938964844
2015-08-05,102.94000244140625
2015-08-06,102.43000030517578
2015-08-07,102.13999938964844
2015-08-10,103.43000030517578
2015-08-11,102.98999786376953
2015-08-12,102.81999969482422
2015-08-13,101.83999633789062
2015-08-14,102.7300033569336
2015-08-17,102.9000015258789
2015-08-18,102.76000213623047
2015-08-19,102.30999755859375
2015-08-20,101.05000305175781
2015-08-21,99.13999938964844
2015-08-24,95.51000213623047
2015-08-25,94.45999908447266
2015-08-26,96.62999725341797
2015-08-27,99.1500015258789
2015-08-28,98.63999938964844
2015-08-31,97.6500015258789
2015-09-01,95.19999694824219
2015-09-02,96.70999908447266
2015-09-03,96.7699966430664
2015-09-04,95.30000305175781
2015-09-08,97.93000030517578
2015-09-09,97.05000305175781
2015-09-10,96.81999969482422
2015-09-11,97.18000030517578
2015-09-14,97.01000213623047
2015-09-15,100.5199966430664
2015-09-16,100.08000183105469
2015-09-17,100.62000274658203
2015-09-18,98.31999969482422
2015-09-21,99.6500015258789
2015-09-22,98.51000213623047
2015-09-23,97.56999969482422
2015-09-24,97.5
2015-09-25,98.76000213623047
2015-09-28,97.2699966430664
2015-09-29,98.13999938964844
2015-09-30,98.69000244140625
2015-10-01,98.58000183105469
2015-10-02,99.37999725341797
2015-10-05,101.52999877929688
2015-10-06,101.43000030517578
2015-10-07,102.23999786376953
2015-10-08,103.37999725341797
2015-10-09,103.68000030517578
2015-10-12,104.41000366210938
2015-10-13,103.30000305175781
2015-10-14,102.86000061035156
2015-10-15,103.80000305175781
2015-10-16,103.94999694824219
2015-10-19,104.26000213623047
2015-10-20,104.55999755859375
2015-10-21,105.26000213623047
2015-10-22,106.43000030517578
2015-10-23,106.80000305175781
2015-10-26,106.18000030517578
2015-10-27,103.0999984741211
2015-10-28,102.62999725341797
2015-10-29,103.47000122070312
2015-10-30,103.0199966430664
2015-11-02,104.56999969482422
2015-11-03,104.4800033569336
2015-11-04,104.0
2015-11-05,104.2300033569336
2015-11-06,104.98999786376953
2015-11-09,104.01000213623047
2015-11-10,104.33999633789062
2015-11-11,104.80000305175781
2015-11-12,102.5999984741211
2015-11-13,101.77999877929688
2015-11-16,103.13999938964844
2015-11-17,103.13999938964844
2015-11-18,103.68000030517578
2015-11-19,104.0999984741211
2015-11-20,104.0999984741211
2015-11-23,103.58999633789062
2015-11-24,103.4000015258789
2015-11-25,103.48999786376953
2015-11-27,104.18000030517578
2015-11-30,103.01000213623047
2015-12-01,104.37999725341797
2015-12-02,103.30000305175781
2015-12-03,102.29000091552734
2015-12-04,103.26000213623047
2015-12-07,102.44999694824219
2015-12-08,101.16000366210938
2015-12-09,100.45999908447266
2015-12-10,100.44999694824219
2015-12-11,97.45999908447266
2015-12-14,97.87000274658203
2015-12-15,98.9000015258789
2015-12-16,100.51000213623047
2015-12-17,100.0
2015-12-18,98.0
2015-12-21,96.88999938964844
2015-12-22,98.0
2015-12-23,97.23999786376953
2015-12-24,97.33999633789062
2015-12-28,97.0
2015-12-29,97.72000122070312
2015-12-30,97.08999633789062
2015-12-31,96.2300033569336
2016-01-04,94.83999633789062
2016-01-05,95.77999877929688
2016-01-06,94.41999816894531
2016-01-07,92.5999984741211
2016-01-08,91.38999938964844
2016-01-11,91.66000366210938
2016-01-12,93.0
2016-01-13,90.61000061035156
2016-01-14,91.1500015258789
2016-01-15,90.04000091552734
2016-01-19,90.3499984741211
2016-01-20,88.69999694824219
2016-01-21,89.06999969482422
2016-01-22,89.9000015258789
2016-01-25,89.41999816894531
2016-01-26,90.93000030517578
2016-01-27,90.87000274658203
2016-01-28,91.0
2016-01-29,93.19999694824219
2016-02-01,94.08000183105469
2016-02-02,94.69000244140625
2016-02-03,95.33000183105469
2016-02-04,96.25
2016-02-05,95.37000274658203
2016-02-08,97.30000305175781
