Date,LNC
2015-07-01,39.92934036254883
2015-07-02,39.53492736816406
2015-07-06,39.133827209472656
2015-07-07,39.04690933227539
2015-07-08,37.718746185302734
2015-07-09,38.235260009765625
2015-07-10,39.19449234008789
2015-07-13,39.52989196777344
2015-07-14,39.268280029296875
2015-07-15,39.2548713684082
2015-07-16,39.643924713134766
2015-07-17,39.17437744140625
2015-07-20,39.04021453857422
2015-07-21,39.33537292480469
2015-07-22,39.355491638183594
2015-07-23,38.90604782104492
2015-07-24,38.87251281738281
2015-07-27,38.30234146118164
2015-07-28,38.510292053222656
2015-07-29,39.34206771850586
2015-07-30,38.4163703918457
2015-07-31,37.77912902832031
2015-08-03,37.685203552246094
2015-08-04,37.7254524230957
2015-08-05,37.79924011230469
2015-08-06,37.6986198425293
2015-08-07,37.39677810668945
2015-08-10,38.53041076660156
2015-08-11,37.611419677734375
2015-08-12,36.913795471191406
2015-08-13,37.685203552246094
2015-08-14,37.899871826171875
2015-08-17,37.812652587890625
2015-08-18,37.8394889831543
2015-08-19,37.13515853881836
2015-08-20,35.65940475463867
2015-08-21,33.9958381652832
2015-08-24,32.29202651977539
2015-08-25,31.70842742919922
2015-08-26,33.190887451171875
2015-08-27,34.51906204223633
2015-08-28,34.297691345214844
2015-08-31,34.06962966918945
2015-09-01,32.39936065673828
2015-09-02,32.969512939453125
2015-09-03,33.14393615722656
2015-09-04,32.466434478759766
2015-09-08,33.21772766113281
2015-09-09,32.98965072631836
2015-09-10,33.36529541015625
2015-09-11,33.492740631103516
2015-09-14,33.23784637451172
2015-09-15,33.86838912963867
2015-09-16,34.03609085083008
2015-09-17,33.09026336669922
2015-09-18,31.929786682128906
2015-09-21,32.38594436645508
2015-09-22,31.862712860107422
2015-09-23,31.815773010253906
2015-09-24,31.641357421875
2015-09-25,32.191402435302734
2015-09-28,30.903470993041992
2015-09-29,31.473655700683594
2015-09-30,31.835880279541016
2015-10-01,31.882844924926758
2015-10-02,31.654766082763672
2015-10-05,32.64083480834961
2015-10-06,32.69450378417969
2015-10-07,33.16598892211914
2015-10-08,33.45561981201172
2015-10-09,33.32090377807617
2015-10-12,33.30744552612305
2015-10-13,32.869625091552734
2015-10-14,32.66082763671875
2015-10-15,33.45561981201172
