Date,NAVI
2015-07-01,11.08046817779541
2015-07-02,11.08046817779541
2015-07-06,11.176551818847656
2015-07-07,11.392757415771484
2015-07-08,11.152530670166016
2015-07-09,11.128510475158691
2015-07-10,11.032418251037598
2015-07-13,11.026412963867188
2015-07-14,9.861313819885254
2015-07-15,9.945391654968262
2015-07-16,10.011453628540039
2015-07-17,10.125560760498047
2015-07-20,9.861313819885254
2015-07-21,9.969414710998535
2015-07-22,9.747203826904297
2015-07-23,9.843294143676758
2015-07-24,9.741199493408203
2015-07-27,9.44091510772705
2015-07-28,9.506978034973145
2015-07-29,9.47094440460205
2015-07-30,9.326805114746094
2015-07-31,9.428902626037598
2015-08-03,9.404878616333008
2015-08-04,9.35683536529541
2015-08-05,9.374853134155273
2015-08-06,9.230714797973633
2015-08-07,9.374853134155273
2015-08-10,9.555024147033691
2015-08-11,9.242729187011719
2015-08-12,9.194681167602539
2015-08-13,8.882384300231934
2015-08-14,8.864370346069336
2015-08-17,8.906412124633789
2015-08-18,8.870376586914062
2015-08-19,8.780288696289062
2015-08-20,8.443974494934082
2015-08-21,8.341876029968262
2015-08-24,7.84340763092041
2015-08-25,7.230828285217285
2015-08-26,7.519102573394775
2015-08-27,7.807371616363525
2015-08-28,7.83740234375
2015-08-31,7.681252956390381
2015-09-01,7.417004585266113
2015-09-02,7.3987531661987305
2015-09-03,7.392665386199951
2015-09-04,7.264891147613525
2015-09-08,7.483931541442871
2015-09-09,7.477849006652832
2015-09-10,7.690804481506348
2015-09-11,7.575201988220215
2015-09-14,7.569117069244385
2015-09-15,7.526522636413574
2015-09-16,7.696892738342285
2015-09-17,7.636045455932617
2015-09-18,7.702976703643799
2015-09-21,7.696892738342285
2015-09-22,7.544780254364014
2015-09-23,7.587371349334717
2015-09-24,7.605623722076416
2015-09-25,7.569117069244385
2015-09-28,7.3987531661987305
2015-09-29,7.0762715339660645
2015-09-30,6.838975429534912
2015-10-01,6.668611526489258
2015-10-02,6.717286109924316
2015-10-05,6.985004901885986
2015-10-06,7.0762715339660645
2015-10-07,7.289230823516846
2015-10-08,7.362244129180908
2015-10-09,7.277064323425293
2015-10-12,7.228382587432861
2015-10-13,7.222300052642822
2015-10-14,7.161455154418945
2015-10-15,7.3196516036987305
2015-10-16,7.459593772888184
2015-10-19,7.465681076049805
2015-10-20,7.702976703643799
2015-10-21,7.842920303344727
2015-10-22,7.885510444641113
2015-10-23,8.244495391845703
2015-10-26,8.214069366455078
2015-10-27,8.159314155578613
2015-10-28,8.396608352661133
2015-10-29,8.055876731872559
2015-10-30,8.025452613830566
2015-11-02,8.201905250549316
2015-11-03,8.153225898742676
2015-11-04,8.159314155578613
2015-11-05,8.04979133605957
2015-11-06,8.068044662475586
2015-11-09,7.87942361831665
2015-11-10,7.739483833312988
2015-11-11,7.6117095947265625
2015-11-12,7.447429180145264
2015-11-13,7.313568115234375
2015-11-16,7.289230823516846
2015-11-17,7.234470367431641
2015-11-18,7.325736999511719
2015-11-19,7.1188645362854
2015-11-20,7.2101311683654785
2015-11-23,7.240551471710205
2015-11-24,7.222300052642822
2015-11-25,7.137118816375732
2015-11-27,7.161455154418945
2015-11-30,7.246637344360352
2015-12-01,7.453510761260986
2015-12-02,7.3856940269470215
2015-12-03,7.237736701965332
2015-12-04,7.4226861000061035
2015-12-07,7.348704814910889
2015-12-08,7.225407123565674
2015-12-09,7.237736701965332
2015-12-10,7.632297515869141
2015-12-11,7.613802433013916
2015-12-14,7.4966654777526855
2015-12-15,7.61688232421875
2015-12-16,7.872732639312744
2015-12-17,7.693948745727539
2015-12-18,7.348704814910889
2015-12-21,7.274725914001465
2015-12-22,7.213077068328857
2015-12-23,7.490499496459961
2015-12-24,7.774093151092529
2015-12-28,7.065114974975586
2015-12-29,7.083609104156494
2015-12-30,6.984968185424805
2015-12-31,7.058951377868652
2016-01-04,7.089773654937744
2016-01-05,6.991136074066162
2016-01-06,6.738370418548584
2016-01-07,6.33147668838501
2016-01-08,6.2759928703308105
