Date,CSRA
2015-11-16,31.899999618530273
2015-11-17,32.974998474121094
2015-11-18,33.02000045776367
2015-11-19,32.5
2015-11-20,32.20000076293945
2015-11-23,32.45000076293945
2015-11-24,31.979999542236328
2015-11-25,30.389999389648438
2015-11-27,29.209999084472656
2015-11-30,31.510000228881836
2015-12-01,30.56999969482422
2015-12-02,30.760000228881836
2015-12-03,29.399999618530273
2015-12-04,29.0
2015-12-07,28.6299991607666
2015-12-08,27.90999984741211
2015-12-09,28.079999923706055
2015-12-10,28.540000915527344
2015-12-11,28.920000076293945
2015-12-14,28.420000076293945
2015-12-15,27.530000686645508
2015-12-16,27.440000534057617
2015-12-17,26.670000076293945
2015-12-18,27.459999084472656
2015-12-21,27.360000610351562
2015-12-22,27.079999923706055
2015-12-23,27.010000228881836
2015-12-24,28.020000457763672
2015-12-28,29.489999771118164
2015-12-29,29.59000015258789
2015-12-30,29.850000381469727
2015-12-31,30.0
2016-01-04,29.18000030517578
2016-01-05,28.510000228881836
2016-01-06,28.059999465942383
2016-01-07,27.469999313354492
2016-01-08,27.690000534057617
2016-01-11,28.09000015258789
2016-01-12,29.020000457763672
2016-01-13,28.760000228881836
2016-01-14,29.149999618530273
2016-01-15,28.420000076293945
2016-01-19,28.81999969482422
2016-01-20,27.920000076293945
2016-01-21,26.799999237060547
2016-01-22,27.850000381469727
2016-01-25,26.5
2016-01-26,26.809999465942383
2016-01-27,26.110000610351562
2016-01-28,25.889999389648438
2016-01-29,26.780000686645508
2016-02-01,26.809999465942383
2016-02-02,26.459999084472656
2016-02-03,26.170000076293945
2016-02-04,25.84000015258789
2016-02-05,24.639999389648438
2016-02-08,22.889999389648438
2016-02-09,22.34000015258789
2016-02-10,22.34000015258789
2016-02-11,24.760000228881836
2016-02-12,25.75
2016-02-16,25.309999465942383
2016-02-17,25.3700008392334
2016-02-18,25.84000015258789
2016-02-19,26.1299991607666
2016-02-22,26.690000534057617
2016-02-23,26.200000762939453
2016-02-24,25.75
2016-02-25,26.540000915527344
2016-02-26,26.600000381469727
2016-02-29,25.950000762939453
2016-03-01,25.809999465942383
2016-03-02,25.799999237060547
2016-03-03,26.1200008392334
2016-03-04,25.81999969482422
2016-03-07,26.200000762939453
2016-03-08,25.510000228881836
2016-03-09,25.329999923706055
2016-03-10,24.65999984741211
2016-03-11,25.010000228881836
2016-03-14,25.15999984741211
2016-03-15,25.06999969482422
2016-03-16,24.65999984741211
2016-03-17,24.799999237060547
2016-03-18,24.510000228881836
2016-03-21,24.59000015258789
2016-03-22,24.190000534057617
2016-03-23,24.170000076293945
