Date,LLY
2015-07-01,70.47476196289062
2015-07-02,71.54622650146484
2015-07-06,71.72065734863281
2015-07-07,73.69743347167969
2015-07-08,72.4681625366211
2015-07-09,72.65923309326172
2015-07-10,73.33197784423828
2015-07-13,73.77217102050781
2015-07-14,73.72232818603516
2015-07-15,71.74555206298828
2015-07-16,72.4017333984375
2015-07-17,72.56781768798828
2015-07-20,72.98312377929688
2015-07-21,71.07276916503906
2015-07-22,71.74555206298828
2015-07-23,72.06120300292969
2015-07-24,70.3667984008789
2015-07-27,69.89337921142578
2015-07-28,71.16414642333984
2015-07-29,70.67411804199219
2015-07-30,70.21732330322266
2015-07-31,70.19239044189453
2015-08-03,69.88507080078125
2015-08-04,69.81031799316406
2015-08-05,70.3750991821289
2015-08-06,68.68901824951172
2015-08-07,68.33187103271484
2015-08-10,69.3617935180664
2015-08-11,69.38673400878906
2015-08-12,69.67080688476562
2015-08-13,69.37835693359375
2015-08-14,70.11367797851562
2015-08-17,69.74604034423828
2015-08-18,69.67915344238281
2015-08-19,69.9966812133789
2015-08-20,72.9713363647461
2015-08-21,70.63172149658203
2015-08-24,67.45651245117188
2015-08-25,65.39264678955078
2015-08-26,67.76569366455078
2015-08-27,69.97161102294922
2015-08-28,69.51204681396484
2015-08-31,68.81016540527344
2015-09-01,66.67942810058594
2015-09-02,68.35894775390625
2015-09-03,68.18347930908203
2015-09-04,67.11393737792969
2015-09-08,69.25304412841797
2015-09-09,67.75732421875
2015-09-10,67.54843139648438
2015-09-11,68.35060119628906
2015-09-14,68.4257583618164
2015-09-15,69.31985473632812
2015-09-16,70.56487274169922
2015-09-17,75.18563842773438
2015-09-18,73.94062805175781
2015-09-21,73.18858337402344
2015-09-22,73.36408996582031
2015-09-23,72.43660736083984
2015-09-24,71.31687927246094
2015-09-25,70.23898315429688
2015-09-28,66.6292724609375
2015-09-29,67.08050537109375
2015-09-30,69.92985534667969
2015-10-01,71.17486572265625
2015-10-02,73.130126953125
2015-10-05,72.33631896972656
2015-10-06,70.3309326171875
2015-10-07,70.18051147460938
2015-10-08,69.9966812133789
2015-10-09,71.97701263427734
2015-10-12,66.37861633300781
2015-10-13,66.52901458740234
2015-10-14,66.21986389160156
2015-10-15,66.72954559326172
2015-10-16,68.10826873779297
2015-10-19,67.055419921875
2015-10-20,64.99990844726562
2015-10-21,64.3481674194336
