Date,SYF
2015-07-01,26.373428344726562
2015-07-02,26.230966567993164
2015-07-06,25.72439193725586
2015-07-07,25.72439193725586
2015-07-08,25.3365421295166
2015-07-09,25.803543090820312
2015-07-10,26.175554275512695
2015-07-13,26.39717674255371
2015-07-14,26.72962188720703
2015-07-15,27.022485733032227
2015-07-16,27.014570236206055
2015-07-17,27.76651382446289
2015-07-20,28.486799240112305
2015-07-21,28.18601417541504
2015-07-22,28.241430282592773
2015-07-23,28.201847076416016
2015-07-24,27.449899673461914
2015-07-27,27.40241813659668
2015-07-28,27.093725204467773
2015-07-29,27.29160499572754
2015-07-30,27.386581420898438
2015-07-31,27.196617126464844
2015-08-03,27.196617126464844
2015-08-04,27.236190795898438
2015-08-05,27.354923248291016
2015-08-06,27.014570236206055
2015-08-07,26.895843505859375
2015-08-10,27.40241813659668
2015-08-11,27.441987991333008
2015-08-12,27.67152976989746
2015-08-13,27.829832077026367
2015-08-14,27.81400489807129
2015-08-17,27.95647430419922
2015-08-18,27.81400489807129
2015-08-19,27.67152976989746
2015-08-20,27.196617126464844
2015-08-21,26.690046310424805
2015-08-24,26.2388858795166
2015-08-25,26.112239837646484
2015-08-26,25.858949661254883
2015-08-27,25.58983612060547
2015-08-28,25.843124389648438
2015-08-31,26.080583572387695
2015-09-01,25.09909439086914
2015-09-02,25.16241455078125
2015-09-03,25.479021072387695
2015-09-04,25.012025833129883
2015-09-08,25.55025863647461
2015-09-09,25.431528091430664
2015-09-10,25.399871826171875
2015-09-11,24.798315048217773
2015-09-14,24.671667098999023
2015-09-15,24.632095336914062
2015-09-16,24.44213104248047
2015-09-17,24.355066299438477
2015-09-18,24.1888484954834
2015-09-21,24.434215545654297
2015-09-22,24.20467185974121
2015-09-23,24.58460807800293
2015-09-24,24.40255355834961
2015-09-25,24.560861587524414
2015-09-28,24.663759231567383
2015-09-29,24.568771362304688
2015-09-30,24.77457046508789
2015-10-01,24.837888717651367
2015-10-02,25.186161041259766
2015-10-05,26.365530014038086
2015-10-06,25.961851119995117
2015-10-07,25.431528091430664
2015-10-08,25.61357879638672
2015-10-09,25.637327194213867
2015-10-12,25.59775161743164
2015-10-13,25.186161041259766
2015-10-14,24.95662498474121
2015-10-15,24.790403366088867
2015-10-16,23.864320755004883
2015-10-19,24.806230545043945
