Date,NEM
2015-07-01,18.06179428100586
2015-07-02,18.48346710205078
2015-07-06,18.6318359375
2015-07-07,17.49956512451172
2015-07-08,17.5854549407959
2015-07-09,17.64011573791504
2015-07-10,17.5854549407959
2015-07-13,17.569839477539062
2015-07-14,17.296531677246094
2015-07-15,17.023218154907227
2015-07-16,16.695253372192383
2015-07-17,16.156442642211914
2015-07-20,14.180815696716309
2015-07-21,14.6337251663208
2015-07-22,14.461929321289062
2015-07-23,13.743515968322754
2015-07-24,13.89969539642334
2015-07-27,13.446784973144531
2015-07-28,13.774749755859375
2015-07-29,13.798181533813477
2015-07-30,13.501443862915039
2015-07-31,13.407739639282227
2015-08-03,12.8220796585083
2015-08-04,12.806461334228516
2015-08-05,12.767415046691895
2015-08-06,12.77522087097168
2015-08-07,12.603432655334473
2015-08-10,13.235946655273438
2015-08-11,13.298417091369629
2015-08-12,14.165192604064941
2015-08-13,13.657618522644043
2015-08-14,13.548299789428711
2015-08-17,13.938739776611328
2015-08-18,13.69666576385498
2015-08-19,14.001211166381836
2015-08-20,14.485358238220215
2015-08-21,14.165192604064941
2015-08-24,13.189096450805664
2015-08-25,12.62685775756836
2015-08-26,12.345741271972656
2015-08-27,13.04072380065918
2015-08-28,13.407739639282227
2015-08-31,13.329648971557617
2015-09-01,13.064148902893066
2015-09-02,12.65809154510498
2015-09-03,12.642477989196777
2015-09-04,12.259842872619629
2015-09-08,12.48275089263916
2015-09-09,12.216828346252441
2015-09-10,12.169899940490723
2015-09-11,12.701745986938477
2015-09-14,12.42800235748291
2015-09-15,12.490567207336426
2015-09-16,13.24923324584961
2015-09-17,13.483870506286621
2015-09-18,13.280515670776367
2015-09-21,13.006772994995117
2015-09-22,12.193364143371582
2015-09-23,12.162077903747559
2015-09-24,13.124095916748047
2015-09-25,12.975492477416992
2015-09-28,12.529674530029297
2015-09-29,12.373250007629395
2015-09-30,12.568787574768066
2015-10-01,12.388894081115723
2015-10-02,13.350908279418945
2015-10-05,14.039186477661133
2015-10-06,14.352035522460938
2015-10-07,14.81348705291748
2015-10-08,14.594489097595215
2015-10-09,14.805669784545898
2015-10-12,14.430252075195312
2015-10-13,14.36767292022705
2015-10-14,15.228017807006836
2015-10-15,15.095049858093262
2015-10-16,14.852594375610352
2015-10-19,14.50846004486084
2015-10-20,14.735278129577637
2015-10-21,14.406782150268555
2015-10-22,14.883879661560059
2015-10-23,15.290582656860352
2015-10-26,14.703991889953613
2015-10-27,14.680523872375488
2015-10-28,14.977739334106445
2015-10-29,15.556509971618652
2015-10-30,15.220202445983887
2015-11-02,15.353153228759766
2015-11-03,15.032485008239746
2015-11-04,14.86823558807373
2015-11-05,13.687224388122559
2015-11-06,13.718510627746582
2015-11-09,13.968796730041504
2015-11-10,13.655939102172852
2015-11-11,13.914043426513672
2015-11-12,13.5542631149292
2015-11-13,13.687224388122559
2015-11-16,13.788899421691895
2015-11-17,13.202303886413574
2015-11-18,13.788899421691895
2015-11-19,14.11739444732666
2015-11-20,13.828008651733398
2015-11-23,13.734153747558594
2015-11-24,14.07828426361084
2015-11-25,14.007895469665527
2015-11-27,13.60119342803955
2015-11-30,14.39896011352539
2015-12-01,14.383320808410645
2015-12-02,13.960970878601074
2015-12-03,14.649242401123047
2015-12-04,16.002323150634766
2015-12-07,15.447009086608887
2015-12-08,15.157624244689941
2015-12-09,15.349491119384766
2015-12-10,15.216357231140137
2015-12-11,14.98141860961914
2015-12-14,14.37057113647461
2015-12-15,14.409730911254883
2015-12-16,14.9422607421875
2015-12-17,13.791049003601074
2015-12-18,13.869363784790039
2015-12-21,13.822371482849121
2015-12-22,13.939844131469727
2015-12-23,14.206108093261719
2015-12-24,14.519368171691895
2015-12-28,14.025988578796387
2015-12-29,14.119970321655273
2015-12-30,13.916350364685059
2015-12-31,14.088640213012695
2016-01-04,14.441054344177246
2016-01-05,14.42539119720459
2016-01-06,14.535026550292969
2016-01-07,14.769973754882812
2016-01-08,14.104304313659668
2016-01-11,13.3211669921875
2016-01-12,13.3211669921875
2016-01-13,13.689237594604492
2016-01-14,13.524784088134766
2016-01-15,13.861534118652344
2016-01-19,12.772970199584961
2016-01-20,12.968755722045898
2016-01-21,13.070564270019531
2016-01-22,13.062728881835938
2016-01-25,13.838038444519043
2016-01-26,14.488040924072266
2016-01-27,15.224189758300781
2016-01-28,15.294676780700684
2016-01-29,15.63142204284668
2016-02-01,16.093475341796875
2016-02-02,15.717565536499023
2016-02-03,17.495283126831055
2016-02-04,18.309751510620117
2016-02-05,19.116382598876953
2016-02-08,19.72722816467285
2016-02-09,19.030241012573242
2016-02-10,19.038066864013672
2016-02-11,19.609766006469727
2016-02-12,20.18927764892578
2016-02-16,19.233854293823242
2016-02-17,19.453134536743164
2016-02-18,19.633251190185547
2016-02-19,19.453134536743164
2016-02-22,19.672409057617188
2016-02-23,19.883859634399414
2016-02-24,20.032651901245117
2016-02-25,20.24410057067871
2016-02-26,19.8525333404541
2016-02-29,20.228435516357422
2016-03-01,19.883859634399414
2016-03-02,20.549524307250977
2016-03-03,21.00374984741211
2016-03-04,20.447721481323242
2016-03-07,20.77663803100586
2016-03-08,20.294551849365234
2016-03-09,20.490514755249023
2016-03-10,21.43901252746582
2016-03-11,20.913814544677734
2016-03-14,20.48267936706543
