Date,JNJ
2015-07-01,73.15210723876953
2015-07-02,73.12982940673828
2015-07-06,72.95150756835938
2015-07-07,73.48640441894531
2015-07-08,72.6321029663086
2015-07-09,73.10012817382812
2015-07-10,73.93956756591797
2015-07-13,74.4892807006836
2015-07-14,74.12527465820312
2015-07-15,74.60071563720703
2015-07-16,75.11331939697266
2015-07-17,74.34817504882812
2015-07-20,74.56358337402344
2015-07-21,74.54132843017578
2015-07-22,74.42245483398438
2015-07-23,74.43730163574219
2015-07-24,73.65726470947266
2015-07-27,73.01095581054688
2015-07-28,73.56067657470703
2015-07-29,74.08815002441406
2015-07-30,74.16986846923828
2015-07-31,74.4447250366211
2015-08-03,74.3035659790039
2015-08-04,74.1401596069336
2015-08-05,74.67504119873047
2015-08-06,73.59784698486328
2015-08-07,73.43438720703125
2015-08-10,74.13274383544922
2015-08-11,73.55326080322266
2015-08-12,73.33039093017578
2015-08-13,73.15953063964844
2015-08-14,73.40467071533203
2015-08-17,74.19215393066406
2015-08-18,73.82070922851562
2015-08-19,73.776123046875
2015-08-20,73.38984680175781
2015-08-21,71.53336334228516
2015-08-24,69.4822998046875
2015-08-25,67.91780090332031
2015-08-26,71.1965103149414
2015-08-27,72.02745819091797
2015-08-28,71.24140167236328
2015-08-31,70.35063934326172
2015-09-01,68.93582916259766
2015-09-02,69.87902069091797
2015-09-03,69.34754943847656
2015-09-04,68.35195922851562
2015-09-08,70.32069396972656
2015-09-09,69.03314971923828
2015-09-10,69.4074478149414
2015-09-11,69.56465911865234
2015-09-14,69.8565902709961
2015-09-15,70.66502380371094
2015-09-16,70.82221984863281
2015-09-17,70.99442291259766
2015-09-18,69.90896606445312
2015-09-21,69.71435546875
2015-09-22,69.79668426513672
2015-09-23,69.60954284667969
2015-09-24,69.2277603149414
2015-09-25,68.11988830566406
2015-09-28,68.3968505859375
2015-09-29,69.6469955444336
2015-09-30,69.87902069091797
2015-10-01,69.74427795410156
2015-10-02,70.3132095336914
2015-10-05,70.93451690673828
2015-10-06,69.93142700195312
2015-10-07,71.0992202758789
2015-10-08,71.1740493774414
2015-10-09,71.39114379882812
2015-10-12,71.85523223876953
2015-10-13,71.4510498046875
2015-10-14,70.76234436035156
2015-10-15,72.72364044189453
2015-10-16,73.53954315185547
2015-10-19,73.31497192382812
2015-10-20,73.05297088623047
2015-10-21,73.08292388916016
2015-10-22,74.50517272949219
2015-10-23,75.0890884399414
2015-10-26,74.8121109008789
2015-10-27,74.99927520751953
2015-10-28,75.2163314819336
2015-10-29,75.88257598876953
2015-10-30,75.6280746459961
2015-11-02,76.48143768310547
2015-11-03,76.32421875
2015-11-04,76.30926513671875
2015-11-05,76.6012191772461
2015-11-06,76.2943115234375
2015-11-09,75.48583221435547
2015-11-10,75.94245147705078
2015-11-11,76.2493667602539
2015-11-12,75.05912780761719
2015-11-13,74.76720428466797
2015-11-16,75.77027893066406
2015-11-17,75.97991180419922
2015-11-18,76.855712890625
2015-11-19,76.7209701538086
2015-11-20,77.27899932861328
2015-11-23,77.49765014648438
2015-11-24,76.94720458984375
2015-11-25,76.88687133789062
2015-11-27,77.1960678100586
2015-11-30,76.34392547607422
2015-12-01,77.18849182128906
2015-12-02,76.95475006103516
2015-12-03,76.00458526611328
2015-12-04,77.6334228515625
2015-12-07,77.91244506835938
2015-12-08,77.23374938964844
2015-12-09,77.03014373779297
2015-12-10,77.39965057373047
2015-12-11,76.67572021484375
2015-12-14,77.03014373779297
2015-12-15,78.52323150634766
2015-12-16,79.36780548095703
2015-12-17,78.15377044677734
2015-12-18,76.87935638427734
2015-12-21,76.60033416748047
2015-12-22,77.45243072509766
2015-12-23,78.04063415527344
2015-12-24,78.2140884399414
2015-12-28,77.83702087402344
2015-12-29,78.44782257080078
2015-12-30,78.2593002319336
2015-12-31,77.4599609375
2016-01-04,75.77082824707031
2016-01-05,76.08753204345703
2016-01-06,75.70292663574219
2016-01-07,74.8206787109375
2016-01-08,74.02134704589844
2016-01-11,73.57643127441406
2016-01-12,74.0816650390625
2016-01-13,73.16165161132812
2016-01-14,74.57180786132812
2016-01-15,73.14657592773438
2016-01-19,73.52362823486328
2016-01-20,72.2039794921875
2016-01-21,72.3472671508789
2016-01-22,72.95806121826172
2016-01-25,72.69416046142578
2016-01-26,76.2986831665039
2016-01-27,77.03768157958984
2016-01-28,77.12062072753906
2016-01-29,78.75701904296875
2016-02-01,78.70423889160156
2016-02-02,77.98028564453125
2016-02-03,78.53074645996094
2016-02-04,78.34980010986328
2016-02-05,75.8160629272461
2016-02-08,76.91703033447266
2016-02-09,76.89440155029297
2016-02-10,76.71342468261719
2016-02-11,76.69081115722656
2016-02-12,76.78131103515625
2016-02-16,77.15833282470703
2016-02-17,77.29405212402344
2016-02-18,78.606201171875
2016-02-19,79.11510467529297
2016-02-22,79.56321716308594
2016-02-23,79.0543441772461
2016-02-24,79.72272491455078
2016-02-25,80.80127716064453
2016-02-26,80.34556579589844
2016-02-29,79.91264343261719
2016-03-01,81.43932342529297
2016-03-02,81.30259704589844
2016-03-03,81.00639343261719
2016-03-04,80.8924560546875
2016-03-07,81.07472229003906
2016-03-08,80.67977142333984
2016-03-09,81.15070343017578
2016-03-10,81.3785400390625
2016-03-11,81.8115234375
2016-03-14,81.77352905273438
2016-03-15,81.84947967529297
2016-03-16,81.5836410522461
2016-03-17,81.07472229003906
2016-03-18,81.65199279785156
2016-03-21,81.48489379882812
2016-03-22,81.56085205078125
2016-03-23,82.4115219116211
2016-03-24,82.2672348022461
2016-03-28,82.20647430419922
2016-03-29,82.89765930175781
2016-03-30,82.77613830566406
2016-03-31,82.1836929321289
2016-04-01,82.93565368652344
2016-04-04,82.47990417480469
2016-04-05,82.75337982177734
2016-04-06,83.11034393310547
2016-04-07,82.99639892578125
2016-04-08,82.8672866821289
2016-04-11,82.76852416992188
2016-04-12,83.24705505371094
2016-04-13,83.45215606689453
2016-04-14,83.42935943603516
2016-04-15,83.68760681152344
2016-04-18,84.25726318359375
2016-04-19,85.58647155761719
2016-04-20,86.27008056640625
2016-04-21,86.26251983642578
2016-04-22,86.0726089477539
2016-04-25,86.21693420410156
2016-04-26,85.76118469238281
2016-04-27,85.65482330322266
2016-04-28,85.43457794189453
2016-04-29,85.13074493408203
2016-05-02,85.6396484375
2016-05-03,85.59407806396484
2016-05-04,85.23709106445312
2016-05-05,85.73841857910156
2016-05-06,85.63204956054688
2016-05-09,86.37643432617188
2016-05-10,87.0979995727539
2016-05-11,86.87012481689453
2016-05-12,86.76380157470703
2016-05-13,86.25489044189453
2016-05-16,86.92330169677734
2016-05-17,86.45996856689453
2016-05-18,86.27767944335938
2016-05-19,85.71562194824219
2016-05-20,86.16693115234375
2016-05-23,85.79977416992188
