Date,USB
2015-07-01,30.061172485351562
2015-07-02,29.70030403137207
2015-07-06,29.68667984008789
2015-07-07,29.59817123413086
2015-07-08,29.0534610748291
2015-07-09,29.25092315673828
2015-07-10,29.577733993530273
2015-07-13,29.84329605102539
2015-07-14,29.8773250579834
2015-07-15,31.000804901123047
2015-07-16,31.22549819946289
2015-07-17,31.21868896484375
2015-07-20,31.211881637573242
2015-07-21,31.14380645751953
2015-07-22,31.28677749633789
2015-07-23,31.089326858520508
2015-07-24,30.830577850341797
2015-07-27,30.503751754760742
2015-07-28,30.456085205078125
2015-07-29,30.64674186706543
2015-07-30,30.680782318115234
2015-07-31,30.782917022705078
2015-08-03,30.69440269470215
2015-08-04,30.78973960876465
2015-08-05,30.932701110839844
2015-08-06,30.782917022705078
2015-08-07,30.71482276916504
2015-08-10,31.334434509277344
2015-08-11,30.91228485107422
2015-08-12,30.565034866333008
2015-08-13,30.687591552734375
2015-08-14,31.048473358154297
2015-08-17,31.082508087158203
2015-08-18,31.150598526000977
2015-08-19,30.88505744934082
2015-08-20,30.027128219604492
2015-08-21,29.12836456298828
2015-08-24,27.74616241455078
2015-08-25,27.072072982788086
2015-08-26,28.19554328918457
2015-08-27,28.9921932220459
2015-08-28,28.998992919921875
2015-08-31,28.8355770111084
2015-09-01,27.419336318969727
2015-09-02,27.93000030517578
2015-09-03,28.215974807739258
2015-09-04,27.609981536865234
2015-09-08,28.20915412902832
2015-09-09,27.834672927856445
2015-09-10,27.98447036743164
2015-09-11,27.957239151000977
2015-09-14,27.861907958984375
2015-09-15,28.59728240966797
2015-09-16,28.842391967773438
2015-09-17,28.36577033996582
2015-09-18,28.032133102416992
2015-09-21,28.27043914794922
2015-09-22,27.98447036743164
2015-09-23,27.957239151000977
2015-09-24,27.75296401977539
2015-09-25,28.37257957458496
2015-09-28,27.690921783447266
2015-09-29,27.848493576049805
2015-09-30,28.095115661621094
2015-10-01,28.177330017089844
2015-10-02,27.9169979095459
2015-10-05,28.471912384033203
2015-10-06,28.42396354675293
2015-10-07,28.629487991333008
2015-10-08,28.704833984375
2015-10-09,28.485614776611328
2015-10-12,28.51987075805664
2015-10-13,28.382856369018555
2015-10-14,27.745723724365234
2015-10-15,28.095115661621094
2015-10-16,27.930700302124023
2015-10-19,27.90328598022461
2015-10-20,28.259538650512695
2015-10-21,28.156780242919922
2015-10-22,28.663740158081055
2015-10-23,29.19809913635254
2015-10-26,29.129592895507812
2015-10-27,28.841842651367188
2015-10-28,29.49952507019043
2015-10-29,29.458431243896484
2015-10-30,28.896657943725586
2015-11-02,29.17754554748535
2015-11-03,29.25289535522461
2015-11-04,29.19809913635254
2015-11-05,29.20494270324707
2015-11-06,29.951690673828125
2015-11-09,29.69135284423828
2015-11-10,29.705062866210938
2015-11-11,29.684507369995117
2015-11-12,29.2666072845459
2015-11-13,29.033674240112305
2015-11-16,29.53378677368164
2015-11-17,29.472129821777344
2015-11-18,30.068145751953125
2015-11-19,30.24626922607422
2015-11-20,30.170913696289062
2015-11-23,29.992786407470703
2015-11-24,30.04758644104004
2015-11-25,29.985931396484375
2015-11-27,30.074996948242188
2015-11-30,30.068145751953125
2015-12-01,30.355878829956055
2015-12-02,29.985931396484375
2015-12-03,29.595441818237305
2015-12-04,30.37643814086914
2015-12-07,30.218875885009766
2015-12-08,29.835220336914062
2015-12-09,29.465274810791016
2015-12-10,29.581741333007812
2015-12-11,28.924062728881836
2015-12-14,29.067935943603516
2015-12-15,29.917430877685547
2015-12-16,30.3901424407959
2015-12-17,30.027048110961914
2015-12-18,29.01998519897461
2015-12-21,29.17754554748535
2015-12-22,29.25289535522461
2015-12-23,29.787263870239258
2015-12-24,29.74616050720215
2015-12-28,29.49268341064453
2015-12-29,29.992326736450195
2015-12-30,29.640850067138672
2015-12-31,29.406530380249023
2016-01-04,28.586427688598633
2016-01-05,28.72426414489746
2016-01-06,28.29009437561035
2016-01-07,27.752544403076172
2016-01-08,27.359722137451172
2016-01-11,27.469987869262695
2016-01-12,27.99376106262207
2016-01-13,26.88419532775879
2016-01-14,27.518232345581055
2016-01-15,26.911775588989258
2016-01-19,26.966907501220703
2016-01-20,26.787717819213867
2016-01-21,26.5465145111084
2016-01-22,27.13229751586914
2016-01-25,26.38800621032715
2016-01-26,26.891098022460938
2016-01-27,27.001367568969727
2016-01-28,27.0289249420166
2016-01-29,27.607824325561523
2016-02-01,27.42863655090332
2016-02-02,26.70503044128418
2016-02-03,27.070280075073242
2016-02-04,27.64228630065918
2016-02-05,27.628509521484375
2016-02-08,27.242563247680664
2016-02-09,27.152976989746094
2016-02-10,26.904878616333008
2016-02-11,25.809114456176758
2016-02-12,26.94623565673828
2016-02-16,27.697412490844727
2016-02-17,27.649169921875
2016-02-18,27.21498680114746
2016-02-19,27.194326400756836
2016-02-22,27.72498321533203
2016-02-23,26.787717819213867
2016-02-24,26.49138069152832
2016-02-25,26.973798751831055
