Date,GIS
2015-07-01,38.354156494140625
2015-07-02,38.3272819519043
2015-07-06,38.01824188232422
2015-07-07,38.8916130065918
2015-07-08,38.55311965942383
2015-07-09,38.53957748413086
2015-07-10,38.769744873046875
2015-07-13,38.93899154663086
2015-07-14,38.75620651245117
2015-07-15,38.45833969116211
2015-07-16,38.60728454589844
2015-07-17,38.54635238647461
2015-07-20,38.47189712524414
2015-07-21,38.729129791259766
2015-07-22,39.013458251953125
2015-07-23,38.641117095947266
2015-07-24,38.53280258178711
2015-07-27,38.55989074707031
2015-07-28,38.95930099487305
2015-07-29,38.918678283691406
2015-07-30,39.43993377685547
2015-07-31,39.40609359741211
2015-08-03,39.89350891113281
2015-08-04,39.93412780761719
2015-08-05,40.2116813659668
2015-08-06,40.313228607177734
2015-08-07,40.01536178588867
2015-08-10,40.2116813659668
2015-08-11,40.035675048828125
2015-08-12,40.00859069824219
2015-08-13,39.86642837524414
2015-08-14,40.11690139770508
2015-08-17,40.137210845947266
2015-08-18,39.90027618408203
2015-08-19,39.62272644042969
2015-08-20,39.1420783996582
2015-08-21,38.05216598510742
2015-08-24,36.90810012817383
2015-08-25,37.104427337646484
2015-08-26,37.83553695678711
2015-08-27,38.55989074707031
2015-08-28,38.67498016357422
2015-08-31,38.42448806762695
2015-09-01,37.59183120727539
2015-09-02,38.46511459350586
2015-09-03,38.99990463256836
2015-09-04,38.309410095214844
2015-09-08,38.69527816772461
2015-09-09,37.76784896850586
2015-09-10,37.83553695678711
2015-09-11,38.22817611694336
2015-09-14,37.97093200683594
2015-09-15,38.41095733642578
2015-09-16,38.66820526123047
2015-09-17,38.91190719604492
2015-09-18,38.295867919921875
2015-09-21,38.44480895996094
2015-09-22,38.67498016357422
2015-09-23,38.86451721191406
2015-09-24,38.55311965942383
2015-09-25,38.878055572509766
2015-09-28,37.510589599609375
2015-09-29,37.61214828491211
2015-09-30,37.99800109863281
2015-10-01,37.90323257446289
2015-10-02,38.3297233581543
2015-10-05,38.735904693603516
2015-10-06,37.706905364990234
2015-10-07,38.02079772949219
2015-10-08,38.53938293457031
2015-10-09,38.62808609008789
2015-10-12,39.010215759277344
2015-10-13,38.614444732666016
