Date,OXY
2015-07-01,55.31268310546875
2015-07-02,55.152462005615234
2015-07-06,53.81971740722656
2015-07-07,54.03819274902344
2015-07-08,52.82925033569336
2015-07-09,53.25166320800781
2015-07-10,53.39003372192383
2015-07-13,53.49198913574219
2015-07-14,54.096466064453125
2015-07-15,53.22981262207031
2015-07-16,52.80012512207031
2015-07-17,52.37773895263672
2015-07-20,51.168785095214844
2015-07-21,51.139652252197266
2015-07-22,50.59346008300781
2015-07-23,50.753662109375
2015-07-24,49.828758239746094
2015-07-27,49.34809112548828
2015-07-28,50.70269012451172
2015-07-29,51.60575866699219
2015-07-30,51.9990234375
2015-07-31,51.125083923339844
2015-08-03,50.542476654052734
2015-08-04,50.273014068603516
2015-08-05,50.003543853759766
2015-08-06,50.55702590942383
2015-08-07,50.09095001220703
2015-08-10,51.91162872314453
2015-08-11,52.05727767944336
2015-08-12,53.69591522216797
2015-08-13,53.11329650878906
2015-08-14,53.455570220947266
2015-08-17,53.70317840576172
2015-08-18,53.739601135253906
2015-08-19,52.552528381347656
2015-08-20,51.321739196777344
2015-08-21,50.440513610839844
2015-08-24,47.86967468261719
2015-08-25,47.884246826171875
2015-08-26,48.90385055541992
2015-08-27,51.387264251708984
2015-08-28,52.31947326660156
2015-08-31,53.17155075073242
2015-09-01,50.9867057800293
2015-09-02,51.765968322753906
2015-09-03,51.60575866699219
2015-09-04,50.72453689575195
2015-09-08,51.166259765625
2015-09-09,49.79692077636719
2015-09-10,49.87053680419922
2015-09-11,49.25212478637695
2015-09-14,48.72942352294922
2015-09-15,49.14170837402344
2015-09-16,50.349082946777344
2015-09-17,50.312252044677734
2015-09-18,49.20794677734375
2015-09-21,49.178504943847656
2015-09-22,48.41284942626953
2015-09-23,47.720829010009766
2015-09-24,47.912227630615234
2015-09-25,48.67789077758789
2015-09-28,46.85210037231445
2015-09-29,47.46315383911133
2015-09-30,48.69997787475586
2015-10-01,48.56747055053711
2015-10-02,50.64356231689453
2015-10-05,52.01289749145508
2015-10-06,52.70492935180664
2015-10-07,52.92580032348633
2015-10-08,54.530731201171875
2015-10-09,54.1846923828125
2015-10-12,53.77241897583008
2015-10-13,53.52948760986328
2015-10-14,54.40554428100586
2015-10-15,55.00925064086914
2015-10-16,54.64850997924805
2015-10-19,53.52948760986328
