Date,DXC
2015-07-01,22.245121002197266
2015-07-02,22.305856704711914
2015-07-06,22.305856704711914
2015-07-07,22.373355865478516
2015-07-08,22.008901596069336
2015-07-09,22.100011825561523
2015-07-10,22.521831512451172
2015-07-13,22.734432220458984
2015-07-14,22.72093391418457
2015-07-15,22.913288116455078
2015-07-16,22.879539489746094
2015-07-17,22.778301239013672
2015-07-20,22.754684448242188
2015-07-21,22.444223403930664
2015-07-22,22.484712600708008
2015-07-23,22.457719802856445
2015-07-24,22.089889526367188
2015-07-27,21.796302795410156
2015-07-28,21.877294540405273
2015-07-29,21.948156356811523
2015-07-30,21.93128204345703
2015-07-31,22.079771041870117
2015-08-03,22.019031524658203
2015-08-04,21.981903076171875
2015-08-05,22.073015213012695
2015-08-06,21.441970825195312
2015-08-07,21.921161651611328
2015-08-10,22.056142807006836
2015-08-11,21.664695739746094
2015-08-12,22.531951904296875
2015-08-13,22.38347625732422
2015-08-14,22.76818084716797
2015-08-17,22.84579086303711
2015-08-18,22.866043090820312
2015-08-19,22.447593688964844
2015-08-20,22.019031524658203
2015-08-21,21.317113876342773
2015-08-24,20.416105270385742
2015-08-25,20.21700668334961
2015-08-26,20.90879249572754
2015-08-27,21.13826560974121
2015-08-28,21.2496280670166
2015-08-31,20.918916702270508
2015-09-01,20.287874221801758
2015-09-02,20.71131134033203
2015-09-03,20.870529174804688
2015-09-04,20.52499771118164
2015-09-08,21.046674728393555
2015-09-09,20.758737564086914
2015-09-10,20.99247932434082
2015-09-11,21.066997528076172
2015-09-14,20.829875946044922
2015-09-15,21.148303985595703
2015-09-16,21.256702423095703
2015-09-17,21.066997528076172
2015-09-18,20.626625061035156
2015-09-21,20.802776336669922
2015-09-22,20.630020141601562
2015-09-23,20.626625061035156
2015-09-24,20.49112319946289
2015-09-25,20.768905639648438
2015-09-28,20.281095504760742
2015-09-29,20.260774612426758
2015-09-30,20.792617797851562
2015-10-01,20.802776336669922
2015-10-02,21.13475227355957
2015-10-05,21.429468154907227
2015-10-06,21.388818740844727
2015-10-07,21.527706146240234
2015-10-08,21.791933059692383
2015-10-09,21.90372085571289
2015-10-12,22.02228355407715
2015-10-13,21.91388511657715
2015-10-14,21.791933059692383
2015-10-15,21.714021682739258
2015-10-16,21.788545608520508
2015-10-19,21.812257766723633
2015-10-20,21.934207916259766
2015-10-21,21.96469497680664
2015-10-22,22.323780059814453
2015-10-23,22.46266746520996
2015-10-26,22.48299217224121
2015-10-27,22.37796974182129
2015-10-28,22.709951400756836
2015-10-29,22.41862678527832
2015-10-30,22.557514190673828
2015-11-02,22.8319034576416
2015-11-03,22.86239242553711
2015-11-04,23.069028854370117
2015-11-05,22.696401596069336
2015-11-06,22.950464248657227
2015-11-09,22.84206771850586
2015-11-10,22.709951400756836
2015-11-11,22.730274200439453
2015-11-12,22.486377716064453
2015-11-13,21.951143264770508
2015-11-16,23.295997619628906
2015-11-17,23.871870040893555
2015-11-18,23.892196655273438
2015-11-19,23.726205825805664
2015-11-20,23.64151954650879
2015-11-23,23.695722579956055
2015-11-24,23.563610076904297
2015-11-25,23.52972984313965
2015-11-27,23.245182037353516
2015-11-30,25.191335678100586
2015-12-01,25.191335678100586
2015-12-02,24.82146644592285
2015-12-03,24.17821502685547
2015-12-04,24.612407684326172
2015-12-07,24.749099731445312
2015-12-08,24.491802215576172
2015-12-09,24.532005310058594
2015-12-10,24.620447158813477
