Date,SE
2016-01-04,18.371328353881836
2016-01-05,18.36574363708496
2016-01-06,17.684499740600586
2016-01-07,17.31037139892578
2016-01-08,17.70683479309082
2016-01-11,17.388547897338867
2016-01-12,17.44438362121582
2016-01-13,16.645872116088867
2016-01-14,17.405302047729492
2016-01-15,16.925077438354492
2016-01-19,16.908329010009766
2016-01-20,15.880873680114746
2016-01-21,17.455556869506836
2016-01-22,18.678449630737305
2016-01-25,17.617490768432617
2016-01-26,18.19822883605957
2016-01-27,17.96369743347168
2016-01-28,18.455087661743164
2016-01-29,19.32061004638672
2016-02-01,18.834800720214844
2016-02-02,18.354581832885742
2016-02-03,19.39879035949707
2016-02-04,19.359695434570312
2016-02-05,18.92414665222168
2016-02-08,18.611448287963867
2016-02-09,18.002788543701172
2016-02-10,17.628660202026367
2016-02-11,17.425745010375977
2016-02-12,18.019229888916016
2016-02-16,18.40357208251953
2016-02-17,18.754018783569336
2016-02-18,18.137922286987305
2016-02-19,17.714006423950195
2016-02-22,18.041833877563477
2016-02-23,17.544437408447266
2016-02-24,17.804439544677734
2016-02-25,19.04227066040039
2016-02-26,19.635761260986328
2016-02-29,19.963581085205078
2016-03-01,19.816631317138672
2016-03-02,19.647058486938477
2016-03-03,19.96923828125
2016-03-04,20.743595123291016
2016-03-07,21.28620147705078
2016-03-08,20.99228858947754
2016-03-09,21.58011245727539
2016-03-10,21.534894943237305
2016-03-11,21.874025344848633
2016-03-14,21.2748966217041
2016-03-15,21.173152923583984
2016-03-16,21.67620277404785
2016-03-17,22.071855545043945
2016-03-18,21.467063903808594
2016-03-21,21.404895782470703
2016-03-22,21.523597717285156
2016-03-23,21.071414947509766
2016-03-24,21.173152923583984
2016-03-28,21.36532974243164
2016-03-29,21.257944107055664
2016-03-30,21.862728118896484
2016-03-31,21.992717742919922
2016-04-01,21.44446563720703
2016-04-04,21.438812255859375
2016-04-05,20.952722549438477
2016-04-06,21.404895782470703
2016-04-07,21.303159713745117
2016-04-08,22.02663803100586
2016-04-11,22.111427307128906
2016-04-12,22.73881721496582
2016-04-13,22.947948455810547
2016-04-14,22.930994033813477
2016-04-15,22.897075653076172
2016-04-18,23.388824462890625
2016-04-19,23.908824920654297
2016-04-20,23.920127868652344
2016-04-21,23.835346221923828
2016-04-22,24.021867752075195
2016-04-25,23.654476165771484
2016-04-26,23.4962158203125
2016-04-27,23.705337524414062
2016-04-28,23.682737350463867
2016-04-29,23.4792537689209
2016-05-02,23.36056137084961
2016-05-03,22.84620475769043
2016-05-04,22.365766525268555
2016-05-05,22.100120544433594
2016-05-06,22.207509994506836
2016-05-09,21.772287368774414
2016-05-10,22.60881805419922
2016-05-11,22.501419067382812
2016-05-12,22.982316970825195
2016-05-13,22.82240104675293
2016-05-16,23.119384765625
2016-05-17,23.34783935546875
2016-05-18,22.965185165405273
2016-05-19,22.696754455566406
2016-05-20,23.010875701904297
2016-05-23,22.7710018157959
2016-05-24,23.010875701904297
2016-05-25,23.364973068237305
2016-05-26,23.205062866210938
2016-05-27,23.107967376708984
2016-05-31,22.782419204711914
2016-06-01,22.93092155456543
2016-06-02,23.096542358398438
2016-06-03,23.44493293762207
2016-06-06,23.95895004272461
2016-06-07,24.38730239868164
2016-06-08,24.29020118713379
2016-06-09,24.23309326171875
2016-06-10,23.947528839111328
2016-06-13,24.158843994140625
2016-06-14,23.707645416259766
2016-06-15,23.54774284362793
2016-06-16,23.205062866210938
2016-06-17,23.484912872314453
2016-06-20,23.993213653564453
2016-06-21,24.175981521606445
2016-06-22,24.198833465576172
2016-06-23,24.581480026245117
2016-06-24,23.72479248046875
2016-06-27,23.456348419189453
2016-06-28,23.633403778076172
2016-06-29,24.033201217651367
2016-06-30,24.193117141723633
2016-07-01,24.7813777923584
2016-07-05,24.067459106445312
2016-07-06,24.090312957763672
