Date,NXPI
2021-01-04,162.0399932861328
2021-01-05,165.6699981689453
2021-01-06,168.72000122070312
2021-01-07,174.99000549316406
2021-01-08,175.02999877929688
2021-01-11,173.2100067138672
2021-01-12,176.0800018310547
2021-01-13,177.4199981689453
2021-01-14,180.0
2021-01-15,172.22000122070312
2021-01-19,175.0
2021-01-20,174.49000549316406
2021-01-21,173.6199951171875
2021-01-22,172.3000030517578
2021-01-25,174.4199981689453
2021-01-26,168.75
2021-01-27,160.55999755859375
2021-01-28,164.3300018310547
2021-01-29,160.47000122070312
2021-02-01,171.52999877929688
2021-02-02,177.2100067138672
2021-02-03,174.10000610351562
2021-02-04,181.4499969482422
2021-02-05,181.99000549316406
2021-02-08,188.1199951171875
2021-02-09,188.0399932861328
2021-02-10,187.89999389648438
2021-02-11,194.0
2021-02-12,194.38999938964844
2021-02-16,195.42999267578125
2021-02-17,189.69000244140625
2021-02-18,185.8800048828125
2021-02-19,191.58999633789062
2021-02-22,185.61000061035156
2021-02-23,181.0800018310547
2021-02-24,186.2100067138672
2021-02-25,178.52000427246094
2021-02-26,182.5500030517578
2021-03-01,187.3000030517578
2021-03-02,182.27000427246094
2021-03-03,175.99000549316406
2021-03-04,167.27999877929688
2021-03-05,180.89999389648438
2021-03-08,171.0
2021-03-09,183.82000732421875
2021-03-10,180.42999267578125
2021-03-11,188.5
2021-03-12,183.47000122070312
2021-03-15,199.91000366210938
2021-03-16,202.77999877929688
2021-03-17,208.33999633789062
2021-03-18,198.58999633789062
2021-03-19,202.0399932861328
2021-03-22,200.39999389648438
2021-03-23,191.6199951171875
2021-03-24,187.27999877929688
2021-03-25,191.30999755859375
2021-03-26,199.0
2021-03-29,194.13999938964844
2021-03-30,197.77000427246094
2021-03-31,201.33999633789062
2021-04-01,208.0800018310547
2021-04-05,214.6999969482422
2021-04-06,212.91000366210938
2021-04-07,212.13999938964844
2021-04-08,209.2100067138672
2021-04-09,209.19000244140625
2021-04-12,207.94000244140625
2021-04-13,202.0
2021-04-14,199.88999938964844
2021-04-15,201.77000427246094
2021-04-16,199.3800048828125
2021-04-19,194.75999450683594
2021-04-20,193.86000061035156
2021-04-21,201.1300048828125
2021-04-22,196.25
2021-04-23,201.55999755859375
2021-04-26,205.02000427246094
2021-04-27,203.39999389648438
2021-04-28,198.64999389648438
2021-04-29,200.75999450683594
2021-04-30,192.50999450683594
2021-05-03,191.83999633789062
2021-05-04,191.08999633789062
2021-05-05,190.41000366210938
2021-05-06,192.52000427246094
2021-05-07,197.9199981689453
2021-05-10,189.02999877929688
2021-05-11,192.5399932861328
2021-05-12,182.77999877929688
2021-05-13,186.44000244140625
2021-05-14,192.27000427246094
2021-05-17,191.17999267578125
2021-05-18,191.25
2021-05-19,194.94000244140625
2021-05-20,199.6699981689453
2021-05-21,199.83999633789062
2021-05-24,204.3800048828125
2021-05-25,204.75999450683594
2021-05-26,206.13999938964844
2021-05-27,210.22000122070312
2021-05-28,211.4199981689453
2021-06-01,207.91000366210938
2021-06-02,207.85000610351562
2021-06-03,200.75
2021-06-04,202.0
2021-06-07,201.14999389648438
2021-06-08,198.25
2021-06-09,197.3800048828125
2021-06-10,201.0500030517578
2021-06-11,201.1300048828125
2021-06-14,203.57000732421875
2021-06-15,202.99000549316406
2021-06-16,200.25999450683594
2021-06-17,198.42999267578125
2021-06-18,193.10000610351562
2021-06-21,198.4600067138672
2021-06-22,197.39999389648438
2021-06-23,199.14999389648438
2021-06-24,203.8300018310547
2021-06-25,204.1699981689453
2021-06-28,206.17999267578125
2021-06-29,207.6999969482422
2021-06-30,205.72000122070312
2021-07-01,201.86000061035156
2021-07-02,202.72999572753906
2021-07-06,201.74000549316406
2021-07-07,198.35000610351562
2021-07-08,195.99000549316406
2021-07-09,200.35000610351562
2021-07-12,204.41000366210938
2021-07-13,204.0
2021-07-14,203.5500030517578
2021-07-15,194.41000366210938
2021-07-16,190.11000061035156
2021-07-19,188.6199951171875
2021-07-20,193.30999755859375
2021-07-21,198.6199951171875
2021-07-22,194.30999755859375
2021-07-23,196.35000610351562
2021-07-26,198.16000366210938
2021-07-27,194.25
2021-07-28,198.5800018310547
2021-07-29,204.27000427246094
2021-07-30,206.38999938964844
2021-08-02,208.97999572753906
2021-08-03,210.52999877929688
2021-08-04,212.42999267578125
2021-08-05,212.89999389648438
2021-08-06,213.75
2021-08-09,217.11000061035156
2021-08-10,217.25999450683594
2021-08-11,218.4199981689453
2021-08-12,214.52999877929688
2021-08-13,215.25999450683594
2021-08-16,213.17999267578125
2021-08-17,206.5
2021-08-18,203.82000732421875
2021-08-19,203.02000427246094
2021-08-20,205.0
2021-08-23,210.6300048828125
2021-08-24,214.52000427246094
2021-08-25,217.7899932861328
2021-08-26,222.24000549316406
2021-08-27,226.50999450683594
2021-08-30,227.63999938964844
2021-08-31,215.1300048828125
2021-09-01,211.5
2021-09-02,211.91000366210938
2021-09-03,212.99000549316406
2021-09-07,212.86000061035156
2021-09-08,208.1199951171875
2021-09-09,210.4600067138672
2021-09-10,212.1199951171875
2021-09-13,214.77000427246094
2021-09-14,211.47999572753906
2021-09-15,212.33999633789062
2021-09-16,213.02999877929688
2021-09-17,209.3300018310547
2021-09-20,202.77999877929688
2021-09-21,206.05999755859375
2021-09-22,213.0800018310547
2021-09-23,216.35000610351562
2021-09-24,216.6699981689453
2021-09-27,216.69000244140625
2021-09-28,206.19000244140625
2021-09-29,198.75
2021-09-30,195.8699951171875
2021-10-01,192.88999938964844
2021-10-04,188.9499969482422
2021-10-05,191.6300048828125
2021-10-06,190.89999389648438
2021-10-07,193.85000610351562
2021-10-08,190.30999755859375
2021-10-11,185.94000244140625
