Date,UNH
2015-07-01,103.40693664550781
2015-07-02,102.09107971191406
2015-07-06,102.38441467285156
2015-07-07,101.1607894897461
2015-07-08,99.55160522460938
2015-07-09,100.02092742919922
2015-07-10,102.37604522705078
2015-07-13,102.6274642944336
2015-07-14,104.76469421386719
2015-07-15,105.48545837402344
2015-07-16,104.70599365234375
2015-07-17,103.80083465576172
2015-07-20,102.79508209228516
2015-07-21,101.29488372802734
2015-07-22,101.0853500366211
2015-07-23,100.0125732421875
2015-07-24,98.84759521484375
2015-07-27,98.79727172851562
2015-07-28,101.8480224609375
2015-07-29,101.8480224609375
2015-07-30,101.0434341430664
2015-07-31,101.7474594116211
2015-08-03,101.32003021240234
2015-08-04,101.27812957763672
2015-08-05,103.85953521728516
2015-08-06,102.28385162353516
2015-08-07,102.09947204589844
2015-08-10,102.65264129638672
2015-08-11,102.46821594238281
2015-08-12,101.57984161376953
2015-08-13,101.0099105834961
2015-08-14,101.4289779663086
2015-08-17,103.77569580078125
2015-08-18,105.1837387084961
2015-08-19,103.2728500366211
2015-08-20,100.39808654785156
2015-08-21,97.45632934570312
2015-08-24,92.55329132080078
2015-08-25,92.17616271972656
2015-08-26,95.09281158447266
2015-08-27,98.7051010131836
2015-08-28,98.2944107055664
2015-08-31,96.97018432617188
2015-09-01,94.39718627929688
2015-09-02,95.73817443847656
2015-09-03,95.5369873046875
2015-09-04,94.17089080810547
2015-09-08,97.29704284667969
2015-09-09,96.86775970458984
2015-09-10,98.29031372070312
2015-09-11,99.91487884521484
2015-09-14,99.15731048583984
2015-09-15,101.03441619873047
2015-09-16,101.9771499633789
2015-09-17,103.75323486328125
2015-09-18,103.0882797241211
2015-09-21,104.32563018798828
2015-09-22,103.4754867553711
2015-09-23,103.77006530761719
2015-09-24,101.92662811279297
2015-09-25,97.95362091064453
2015-09-28,94.86442565917969
2015-09-29,96.14389038085938
2015-09-30,97.65058898925781
2015-10-01,98.15563201904297
2015-10-02,100.0242919921875
2015-10-05,100.71451568603516
2015-10-06,97.68426513671875
2015-10-07,98.0041275024414
2015-10-08,97.7094955444336
2015-10-09,100.39468383789062
2015-10-12,103.12194061279297
2015-10-13,104.36768341064453
2015-10-14,102.75154876708984
2015-10-15,101.1522216796875
2015-10-16,100.9923095703125
2015-10-19,101.62362670898438
2015-10-20,101.36267852783203
2015-10-21,99.41825103759766
2015-10-22,95.79875183105469
2015-10-23,97.57481384277344
2015-10-26,98.08828735351562
2015-10-27,100.47884368896484
2015-10-28,100.82395935058594
2015-10-29,100.76502990722656
2015-10-30,99.14048767089844
2015-11-02,99.90645599365234
2015-11-03,99.03948211669922
2015-11-04,96.49740600585938
2015-11-05,97.83578491210938
2015-11-06,96.64048767089844
2015-11-09,96.17754364013672
2015-11-10,97.5495834350586
2015-11-11,96.41323852539062
2015-11-12,94.96543884277344
2015-11-13,93.77855682373047
2015-11-16,95.80717468261719
2015-11-17,96.28694915771484
2015-11-18,98.6943359375
2015-11-19,93.12203979492188
2015-11-20,95.09172821044922
2015-11-23,94.40990447998047
2015-11-24,95.27687072753906
2015-11-25,96.30381774902344
2015-11-27,96.24488830566406
2015-11-30,94.8728256225586
2015-12-01,97.8610610961914
2015-12-02,99.45032501220703
2015-12-03,97.21855163574219
2015-12-04,99.53488159179688
2015-12-07,97.98782348632812
2015-12-08,97.96247100830078
2015-12-09,97.26079559326172
2015-12-10,98.24143981933594
2015-12-11,98.0469970703125
2015-12-14,97.93711853027344
2015-12-15,99.42497253417969
2015-12-16,100.45632934570312
2015-12-17,100.78604888916016
2015-12-18,97.9117660522461
2015-12-21,99.25590515136719
2015-12-22,99.28126525878906
2015-12-23,100.33799743652344
2015-12-24,100.04212188720703
2015-12-28,100.03366088867188
2015-12-29,101.29327392578125
2015-12-30,100.53242492675781
2015-12-31,99.45032501220703
2016-01-04,98.45278930664062
2016-01-05,98.63878631591797
2016-01-06,97.63276672363281
2016-01-07,94.75845336914062
2016-01-08,93.12690734863281
2016-01-11,92.6365966796875
2016-01-12,94.90221405029297
2016-01-13,92.34071350097656
2016-01-14,93.63410949707031
2016-01-15,92.37451934814453
2016-01-19,95.17272186279297
2016-01-20,97.04102325439453
2016-01-21,95.95046997070312
2016-01-22,96.65213012695312
2016-01-25,95.84903717041016
2016-01-26,96.3393325805664
2016-01-27,94.96138000488281
2016-01-28,94.15827941894531
2016-01-29,97.35380554199219
2016-02-01,97.9709243774414
2016-02-02,96.27172088623047
2016-02-03,95.31643676757812
2016-02-04,96.54222869873047
2016-02-05,94.44570922851562
2016-02-08,93.008544921875
2016-02-09,93.9722900390625
2016-02-10,95.3079833984375
2016-02-11,93.51578521728516
2016-02-12,94.53022766113281
2016-02-16,97.34536743164062
2016-02-17,100.00830078125
2016-02-18,99.28972625732422
2016-02-19,99.48416900634766
2016-02-22,102.51908111572266
2016-02-23,102.41763305664062
2016-02-24,101.61451721191406
2016-02-25,102.45988464355469
2016-02-26,102.56978607177734
2016-02-29,100.68458557128906
2016-03-01,102.85721588134766
2016-03-02,102.51908111572266
2016-03-03,102.98401641845703
2016-03-04,102.96711730957031
2016-03-07,102.93330383300781
2016-03-08,102.84877014160156
2016-03-09,102.79784393310547
2016-03-10,103.63821411132812
2016-03-11,106.19329833984375
2016-03-14,106.295166015625
2016-03-15,105.98107147216797
2016-03-16,106.0235366821289
2016-03-17,105.70943450927734
2016-03-18,107.56845092773438
2016-03-21,107.58544158935547
2016-03-22,108.67200469970703
2016-03-23,110.17446899414062
2016-03-24,109.15583801269531
2016-03-28,109.43598937988281
2016-03-29,110.20842742919922
2016-03-30,110.08108520507812
2016-03-31,109.41898345947266
2016-04-01,110.28483581542969
2016-04-04,109.9198226928711
2016-04-05,107.84009552001953
2016-04-06,108.68049621582031
2016-04-07,107.69578552246094
2016-04-08,106.68566131591797
2016-04-11,107.23739624023438
2016-04-12,107.63638305664062
2016-04-13,108.45128631591797
2016-04-14,108.63804626464844
2016-04-15,108.08626556396484
2016-04-18,108.49372100830078
2016-04-19,110.77719116210938
2016-04-20,113.68877410888672
2016-04-21,112.8653793334961
2016-04-22,113.85855865478516
2016-04-25,113.56145477294922
2016-04-26,113.95195770263672
