Date,DDOG
2025-07-01,132.3300018310547
2025-07-02,135.00999450683594
2025-07-03,155.14999389648438
2025-07-07,152.41000366210938
2025-07-08,145.94000244140625
2025-07-09,142.75
2025-07-10,137.49000549316406
2025-07-11,137.3699951171875
2025-07-14,138.8000030517578
2025-07-15,140.55999755859375
2025-07-16,139.36000061035156
2025-07-17,143.14999389648438
2025-07-18,145.02000427246094
2025-07-21,145.27000427246094
2025-07-22,144.88999938964844
2025-07-23,144.0
2025-07-24,146.55999755859375
2025-07-25,149.83999633789062
2025-07-28,150.77000427246094
2025-07-29,150.27000427246094
2025-07-30,148.8800048828125
2025-07-31,139.97999572753906
2025-08-01,135.60000610351562
2025-08-04,139.1300048828125
2025-08-05,132.94000244140625
2025-08-06,136.9600067138672
2025-08-07,136.3800048828125
2025-08-08,130.91000366210938
2025-08-11,128.8300018310547
2025-08-12,128.9600067138672
2025-08-13,128.7100067138672
2025-08-14,124.5199966430664
2025-08-15,127.25
2025-08-18,129.07000732421875
2025-08-19,128.99000549316406
2025-08-20,128.4600067138672
2025-08-21,129.14999389648438
2025-08-22,131.22000122070312
2025-08-25,128.3800048828125
2025-08-26,126.30999755859375
2025-08-27,131.72999572753906
2025-08-28,140.9600067138672
2025-08-29,136.67999267578125
2025-09-02,134.69000244140625
2025-09-03,132.60000610351562
2025-09-04,131.77999877929688
2025-09-05,136.0800018310547
2025-09-08,136.44000244140625
2025-09-09,140.4600067138672
2025-09-10,139.1300048828125
2025-09-11,139.14999389648438
2025-09-12,136.5
2025-09-15,138.64999389648438
2025-09-16,134.58999633789062
2025-09-17,134.22999572753906
2025-09-18,136.80999755859375
2025-09-19,138.82000732421875
2025-09-22,138.35000610351562
2025-09-23,137.49000549316406
2025-09-24,136.57000732421875
2025-09-25,136.60000610351562
2025-09-26,139.07000732421875
2025-09-29,145.25999450683594
2025-09-30,142.39999389648438
2025-10-01,152.6999969482422
2025-10-02,151.57000732421875
2025-10-03,151.82000732421875
2025-10-06,157.36000061035156
2025-10-07,154.52000427246094
2025-10-08,164.1199951171875
2025-10-09,164.07000732421875
2025-10-10,158.74000549316406
2025-10-13,164.1999969482422
2025-10-14,160.8800048828125
2025-10-15,160.02000427246094
2025-10-16,151.1699981689453
2025-10-17,152.8699951171875
2025-10-20,156.2949981689453
2025-10-21,156.25
2025-10-22,154.2100067138672
2025-10-23,156.58999633789062
2025-10-24,156.47000122070312
2025-10-27,157.6199951171875
2025-10-28,157.27000427246094
2025-10-29,156.0
2025-10-30,157.07000732421875
2025-10-31,162.80999755859375
2025-11-03,162.0800018310547
2025-11-04,157.50999450683594
2025-11-05,154.97999572753906
2025-11-06,190.82000732421875
2025-11-07,191.24000549316406
2025-11-10,199.72000122070312
2025-11-11,197.86000061035156
2025-11-12,190.88999938964844
2025-11-13,185.97000122070312
2025-11-14,185.00999450683594
2025-11-17,180.25999450683594
2025-11-18,176.4600067138672
2025-11-19,176.30999755859375
2025-11-20,159.57000732421875
2025-11-21,157.5500030517578
2025-11-24,158.44000244140625
2025-11-25,158.99000549316406
2025-11-26,158.39999389648438
2025-11-28,160.00999450683594
2025-12-01,157.89999389648438
2025-12-02,156.47999572753906
2025-12-03,155.8300018310547
2025-12-04,153.0
2025-12-05,151.41000366210938
2025-12-08,154.27999877929688
2025-12-09,152.57000732421875
2025-12-10,151.1999969482422
2025-12-11,149.89999389648438
2025-12-12,146.0
2025-12-15,142.0500030517578
2025-12-16,140.0500030517578
2025-12-17,136.7100067138672
2025-12-18,138.2899932861328
2025-12-19,140.38999938964844
2025-12-22,141.83999633789062
2025-12-23,141.22999572753906
2025-12-24,138.0399932861328
2025-12-26,138.31500244140625
2025-12-29,137.94000244140625
2025-12-30,137.47999572753906
