Date,PPG
2015-07-01,95.86834716796875
2015-07-02,95.3828353881836
2015-07-06,94.71630859375
2015-07-07,94.68338775634766
2015-07-08,93.07047271728516
2015-07-09,92.69193267822266
2015-07-10,94.55169677734375
2015-07-13,95.89305114746094
2015-07-14,96.78176879882812
2015-07-15,96.26334381103516
2015-07-16,92.01715850830078
2015-07-17,92.00072479248047
2015-07-20,91.21894836425781
2015-07-21,89.04647827148438
2015-07-22,88.9477310180664
2015-07-23,86.92340087890625
2015-07-24,84.96485137939453
2015-07-27,84.25716400146484
2015-07-28,87.98493194580078
2015-07-29,89.34273529052734
2015-07-30,89.30158233642578
2015-07-31,89.18636322021484
2015-08-03,88.7667007446289
2015-08-04,87.67221069335938
2015-08-05,87.71337127685547
2015-08-06,86.87115478515625
2015-08-07,85.8060073852539
2015-08-10,88.02716064453125
2015-08-11,86.21058654785156
2015-08-12,85.89686584472656
2015-08-13,85.47573852539062
2015-08-14,86.45006561279297
2015-08-17,86.08676147460938
2015-08-18,86.34271240234375
2015-08-19,84.63352966308594
2015-08-20,82.46199035644531
2015-08-21,80.26561737060547
2015-08-24,76.17845916748047
2015-08-25,75.17936706542969
2015-08-26,76.87201690673828
2015-08-27,78.59773254394531
2015-08-28,79.35735321044922
2015-08-31,78.6802749633789
2015-09-01,75.42703247070312
2015-09-02,77.22706604003906
2015-09-03,77.5986099243164
2015-09-04,77.04541778564453
2015-09-08,79.59683227539062
2015-09-09,79.34910583496094
2015-09-10,79.79497528076172
2015-09-11,79.86103057861328
2015-09-14,77.74726867675781
2015-09-15,77.84632873535156
2015-09-16,78.49864959716797
2015-09-17,77.9949722290039
2015-09-18,76.94631958007812
2015-09-21,77.16101837158203
2015-09-22,75.6500015258789
2015-09-23,74.26283264160156
2015-09-24,72.75182342529297
2015-09-25,72.94171142578125
2015-09-28,69.77930450439453
2015-09-29,70.96833038330078
2015-09-30,72.40502166748047
2015-10-01,74.41974639892578
2015-10-02,76.50872039794922
2015-10-05,78.10231018066406
2015-10-06,77.1197280883789
2015-10-07,77.8711166381836
2015-10-08,79.07661437988281
2015-10-09,79.24176788330078
2015-10-12,80.37295532226562
2015-10-13,80.24085235595703
2015-10-14,80.35643768310547
2015-10-15,81.95829010009766
2015-10-16,83.18030548095703
2015-10-19,83.54361724853516
2015-10-20,83.70873260498047
2015-10-21,83.09774017333984
2015-10-22,85.55833435058594
2015-10-23,85.86380004882812
2015-10-26,85.81427764892578
2015-10-27,84.98857879638672
2015-10-28,86.1445541381836
2015-10-29,86.10327911376953
2015-10-30,86.08676147460938
2015-11-02,85.87208557128906
2015-11-03,86.02896118164062
2015-11-04,85.75650024414062
2015-11-05,85.21977233886719
2015-11-06,85.34404754638672
2015-11-09,84.29175567626953
2015-11-10,83.78633117675781
2015-11-11,84.1923599243164
2015-11-12,82.20372772216797
2015-11-13,83.54602813720703
2015-11-16,84.47403717041016
2015-11-17,84.27518463134766
2015-11-18,86.36322784423828
2015-11-19,85.6506576538086
2015-11-20,86.68636322021484
2015-11-23,87.39069366455078
2015-11-24,87.40723419189453
2015-11-25,88.21099090576172
2015-11-27,88.00381469726562
2015-11-30,87.6143798828125
2015-12-01,88.45955657958984
2015-12-02,87.28294372558594
2015-12-03,86.42121887207031
2015-12-04,87.79667663574219
2015-12-07,86.9929428100586
2015-12-08,85.13693237304688
2015-12-09,84.14263916015625
2015-12-10,83.5875015258789
2015-12-11,81.8060073852539
2015-12-14,80.97745513916016
2015-12-15,81.65686798095703
2015-12-16,83.04061126708984
2015-12-17,81.4000244140625
2015-12-18,79.7842788696289
2015-12-21,80.56316375732422
2015-12-22,81.83086395263672
2015-12-23,83.05714416503906
2015-12-24,83.18148803710938
2015-12-28,82.77545928955078
2015-12-29,83.3388900756836
2015-12-30,82.66775512695312
2015-12-31,81.88059997558594
2016-01-04,81.16801452636719
2016-01-05,81.45799255371094
2016-01-06,79.93341827392578
2016-01-07,78.92254638671875
2016-01-08,78.29283142089844
2016-01-11,78.25970458984375
2016-01-12,78.8148193359375
2016-01-13,77.09966278076172
2016-01-14,77.53052520751953
2016-01-15,76.14679718017578
2016-01-19,75.8982162475586
2016-01-20,77.48908996582031
2016-01-21,76.16336822509766
2016-01-22,77.19081115722656
2016-01-25,75.49221801757812
2016-01-26,76.7102279663086
2016-01-27,76.89253234863281
2016-01-28,76.30422973632812
2016-01-29,78.8148193359375
2016-02-01,79.20427703857422
2016-02-02,77.09138488769531
2016-02-03,78.8065414428711
2016-02-04,79.29540252685547
2016-02-05,76.95050048828125
2016-02-08,74.28247833251953
2016-02-09,75.39277648925781
2016-02-10,75.68280029296875
2016-02-11,73.96763610839844
2016-02-12,76.04735565185547
2016-02-16,77.57196807861328
2016-02-17,79.01927185058594
