Date,CE
2015-07-01,58.74162673950195
2015-07-02,60.1448974609375
2015-07-06,59.36981964111328
2015-07-07,58.602901458740234
2015-07-08,55.60873794555664
2015-07-09,55.18449020385742
2015-07-10,55.72294235229492
2015-07-13,56.69380187988281
2015-07-14,57.64836120605469
2015-07-15,56.277740478515625
2015-07-16,56.465389251708984
2015-07-17,53.658843994140625
2015-07-20,54.066768646240234
2015-07-21,53.60171127319336
2015-07-22,52.981685638427734
2015-07-23,52.696109771728516
2015-07-24,50.96650695800781
2015-07-27,50.61569595336914
2015-07-28,52.32082748413086
2015-07-29,53.50380325317383
2015-07-30,53.93820571899414
2015-07-31,54.02836608886719
2015-08-03,53.503822326660156
2015-08-04,53.70873260498047
2015-08-05,53.897239685058594
2015-08-06,53.34809112548828
2015-08-07,53.24974822998047
2015-08-10,54.89714050292969
2015-08-11,53.22517395019531
2015-08-12,52.790771484375
2015-08-13,53.02845001220703
2015-08-14,52.51209259033203
2015-08-17,53.02024841308594
2015-08-18,52.692420959472656
2015-08-19,51.72526931762695
2015-08-20,50.80731201171875
2015-08-21,48.4140739440918
2015-08-24,45.799530029296875
2015-08-25,44.65208053588867
2015-08-26,46.31588363647461
2015-08-27,48.61078643798828
2015-08-28,49.151729583740234
2015-08-31,49.70085906982422
2015-09-01,47.668235778808594
2015-09-02,48.45505142211914
2015-09-03,49.217281341552734
2015-09-04,48.33211135864258
2015-09-08,49.47956466674805
2015-09-09,50.3073616027832
2015-09-10,50.27458572387695
2015-09-11,50.020503997802734
2015-09-14,49.69266128540039
2015-09-15,50.889286041259766
2015-09-16,51.29908752441406
2015-09-17,50.856483459472656
2015-09-18,49.68446731567383
2015-09-21,50.27458572387695
2015-09-22,49.40581130981445
2015-09-23,49.11073684692383
2015-09-24,49.24186325073242
2015-09-25,49.33203887939453
2015-09-28,46.05361557006836
2015-09-29,46.31588363647461
2015-09-30,48.496028900146484
2015-10-01,49.24186325073242
2015-10-02,50.3073616027832
2015-10-05,51.807247161865234
2015-10-06,52.96289825439453
2015-10-07,53.67594528198242
2015-10-08,54.78240966796875
2015-10-09,53.28252029418945
2015-10-12,52.64324951171875
2015-10-13,52.09410858154297
2015-10-14,52.241634368896484
2015-10-15,52.58586883544922
2015-10-16,52.7333869934082
2015-10-19,52.446529388427734
2015-10-20,53.946414947509766
2015-10-21,54.47095489501953
2015-10-22,56.30687713623047
2015-10-23,56.8887825012207
2015-10-26,57.282196044921875
2015-10-27,56.52816390991211
2015-10-28,57.478904724121094
2015-10-29,57.74231719970703
2015-10-30,58.48312759399414
2015-11-02,59.06755447387695
2015-11-03,58.85353088378906
2015-11-04,59.30624008178711
2015-11-05,58.21971130371094
2015-11-06,58.82884216308594
2015-11-09,58.28556823730469
2015-11-10,58.466644287109375
2015-11-11,57.948081970214844
2015-11-12,55.750343322753906
2015-11-13,57.783443450927734
2015-11-16,58.89468002319336
2015-11-17,58.83708572387695
2015-11-18,59.33915710449219
2015-11-19,59.10047149658203
2015-11-20,58.68889617919922
2015-11-23,58.17033386230469
2015-11-24,58.746524810791016
2015-11-25,58.1456413269043
2015-11-27,58.23617172241211
2015-11-30,58.23617172241211
2015-12-01,58.1044807434082
2015-12-02,56.77925109863281
2015-12-03,56.72163009643555
2015-12-04,57.651729583740234
2015-12-07,56.005523681640625
2015-12-08,54.86961364746094
2015-12-09,55.182373046875
