Date,VNT
2020-09-24,34.0
2020-09-25,34.0
2020-09-28,33.0
2020-09-29,30.5
2020-09-30,31.0
2020-10-01,34.0
2020-10-02,35.0
2020-10-05,34.25
2020-10-06,35.0
2020-10-07,34.25
2020-10-08,33.5
2020-10-09,28.280000686645508
2020-10-12,27.850000381469727
2020-10-13,26.760000228881836
2020-10-14,28.010000228881836
2020-10-15,27.75
2020-10-16,28.260000228881836
2020-10-19,28.25
2020-10-20,28.440000534057617
2020-10-21,28.549999237060547
2020-10-22,29.860000610351562
2020-10-23,30.290000915527344
2020-10-26,29.489999771118164
2020-10-27,28.65999984741211
2020-10-28,28.260000228881836
2020-10-29,28.280000686645508
2020-10-30,28.739999771118164
2020-11-02,29.959999084472656
2020-11-03,29.809999465942383
2020-11-04,29.5
2020-11-05,29.350000381469727
2020-11-06,28.940000534057617
2020-11-09,28.540000915527344
2020-11-10,28.260000228881836
2020-11-11,29.010000228881836
2020-11-12,28.540000915527344
2020-11-13,28.56999969482422
2020-11-16,29.110000610351562
2020-11-17,30.639999389648438
2020-11-18,31.190000534057617
2020-11-19,30.719999313354492
2020-11-20,31.18000030517578
2020-11-23,31.799999237060547
2020-11-24,32.7599983215332
2020-11-25,33.65999984741211
2020-11-27,34.09000015258789
2020-11-30,33.16999816894531
2020-12-01,33.0
2020-12-02,33.09000015258789
2020-12-03,33.18000030517578
2020-12-04,33.06999969482422
2020-12-07,32.5099983215332
2020-12-08,32.0
2020-12-09,31.959999084472656
2020-12-10,31.90999984741211
2020-12-11,31.18000030517578
2020-12-14,32.25
2020-12-15,32.779998779296875
2020-12-16,32.689998626708984
2020-12-17,33.5
2020-12-18,33.90999984741211
2020-12-21,34.16999816894531
2020-12-22,34.040000915527344
2020-12-23,34.150001525878906
2020-12-24,33.970001220703125
2020-12-28,33.380001068115234
2020-12-29,32.68000030517578
2020-12-30,32.86000061035156
