Date,GOOG
2015-07-01,25.879528045654297
2015-07-02,25.956897735595703
2015-07-06,25.93011474609375
2015-07-07,26.037235260009766
2015-07-08,25.63106918334961
2015-07-09,25.822002410888672
2015-07-10,26.2906551361084
2015-07-13,27.104970932006836
2015-07-14,27.82654571533203
2015-07-15,27.78290557861328
2015-07-16,28.756412506103516
2015-07-17,33.37251663208008
2015-07-20,32.88105392456055
2015-07-21,32.845340728759766
2015-07-22,32.83542251586914
2015-07-23,31.951677322387695
2015-07-24,30.924116134643555
2015-07-27,31.107606887817383
2015-07-28,31.144306182861328
2015-07-29,31.33920669555664
2015-07-30,31.371936798095703
2015-07-31,31.025779724121094
2015-08-03,31.30350112915039
2015-08-04,31.206298828125
2015-08-05,31.926883697509766
2015-08-06,31.872331619262695
2015-08-07,31.506332397460938
2015-08-10,31.428476333618164
2015-08-11,32.76996612548828
2015-08-12,32.70945358276367
2015-08-13,32.55522155761719
2015-08-14,32.58844757080078
2015-08-17,32.77442169189453
2015-08-18,32.53935241699219
2015-08-19,32.77590560913086
2015-08-20,32.07814025878906
2015-08-21,30.37462615966797
2015-08-24,29.240436553955078
2015-08-25,28.86601448059082
2015-08-26,31.1750545501709
2015-08-27,31.620895385742188
2015-08-28,31.2623348236084
2015-08-31,30.660776138305664
2015-09-01,29.646106719970703
2015-09-02,30.46686553955078
2015-09-03,30.06566619873047
2015-09-04,29.790420532226562
2015-09-08,30.482738494873047
2015-09-09,30.38652992248535
2015-09-10,30.814512252807617
2015-09-11,31.03371238708496
2015-09-14,30.908245086669922
2015-09-15,31.49839973449707
2015-09-16,31.540056228637695
2015-09-17,31.883243560791016
2015-09-18,31.206298828125
2015-09-21,31.513277053833008
2015-09-22,30.880971908569336
2015-09-23,30.864601135253906
2015-09-24,31.035202026367188
2015-09-25,30.349332809448242
2015-09-28,29.502286911010742
2015-09-29,29.506256103515625
2015-09-30,30.173276901245117
2015-10-01,30.315610885620117
2015-10-02,31.09025001525879
2015-10-05,31.81232452392578
2015-10-06,32.00920867919922
2015-10-07,31.856460571289062
2015-10-08,31.697765350341797
2015-10-09,31.91844940185547
2015-10-12,32.0702018737793
2015-10-13,32.34941482543945
2015-10-14,32.292877197265625
2015-10-15,32.81757736206055
2015-10-16,32.84038162231445
2015-10-19,33.03379440307617
2015-10-20,32.24924087524414
2015-10-21,31.868858337402344
2015-10-22,32.324119567871094
2015-10-23,34.81417465209961
2015-10-26,35.34878921508789
2015-10-27,35.13603591918945
2015-10-28,35.357215881347656
2015-10-29,35.554107666015625
2015-10-30,35.251094818115234
2015-11-02,35.76190185546875
2015-11-03,35.813968658447266
2015-11-04,36.109046936035156
2015-11-05,36.26476287841797
2015-11-06,36.389244079589844
2015-11-09,35.9493522644043
2015-11-10,36.11946105957031
2015-11-11,36.470577239990234
2015-11-12,36.2637825012207
2015-11-13,35.558067321777344
2015-11-16,36.15120315551758
2015-11-17,35.96969223022461
2015-11-18,36.69870376586914
2015-11-19,36.61985778808594
2015-11-20,37.521949768066406
2015-11-23,37.49119567871094
2015-11-24,37.10934066772461
2015-11-25,37.10289001464844
2015-11-27,37.207523345947266
2015-11-30,36.8276481628418
2015-12-01,38.03969955444336
2015-12-02,37.80859375
2015-12-03,37.32059860229492
2015-12-04,38.02829360961914
2015-12-07,37.85173797607422
2015-12-08,37.808101654052734
2015-12-09,37.27448272705078
2015-12-10,37.16785430908203
2015-12-11,36.642669677734375
2015-12-14,37.084041595458984
2015-12-15,36.8673210144043
2015-12-16,37.59584045410156
2015-12-17,37.16636657714844
2015-12-18,36.66448974609375
2015-12-21,37.084041595458984
2015-12-22,37.19463348388672
2015-12-23,37.21001052856445
2015-12-24,37.11528015136719
2015-12-28,37.815032958984375
2015-12-29,38.51380157470703
2015-12-30,38.236083984375
2015-12-31,37.6350212097168
2016-01-04,36.78995895385742
2016-01-05,36.82665252685547
2016-01-06,36.87822723388672
2016-01-07,36.023746490478516
2016-01-08,35.43259811401367
2016-01-11,35.50996398925781
2016-01-12,36.007877349853516
2016-01-13,34.742767333984375
2016-01-14,35.44499969482422
2016-01-15,34.43975067138672
2016-01-19,34.80376052856445
2016-01-20,34.638126373291016
2016-01-21,35.04180908203125
2016-01-22,35.96720886230469
2016-01-25,35.293739318847656
2016-01-26,35.36168670654297
2016-01-27,34.71449661254883
2016-01-28,36.25038528442383
2016-01-29,36.845008850097656
2016-02-01,37.29381561279297
2016-02-02,37.921173095703125
2016-02-03,36.051517486572266
2016-02-04,35.11223602294922
2016-02-05,33.900184631347656
2016-02-08,33.85902404785156
2016-02-09,33.62940216064453
2016-02-10,33.927459716796875
2016-02-11,33.87736511230469
2016-02-12,33.842159271240234
2016-02-16,34.26865768432617
2016-02-17,35.131561279296875
2016-02-18,34.58357238769531
2016-02-19,34.76012420654297
2016-02-22,35.035362243652344
2016-02-23,34.50918197631836
2016-02-24,34.69317626953125
2016-02-25,35.000152587890625
2016-02-26,34.9664306640625
2016-02-29,34.60439682006836
2016-03-01,35.64783477783203
2016-03-02,35.649818420410156
2016-03-03,35.330928802490234
2016-03-04,35.25505065917969
2016-03-07,34.47496032714844
2016-03-08,34.415950775146484
2016-03-09,34.974853515625
2016-03-10,35.35076904296875
2016-03-11,36.04507064819336
2016-03-14,36.227081298828125
2016-03-15,36.11995315551758
2016-03-16,36.504791259765625
2016-03-17,36.58860778808594
2016-03-18,36.579689025878906
2016-03-21,36.80235290527344
2016-03-22,36.73590087890625
2016-03-23,36.60249710083008
2016-03-24,36.46561813354492
2016-03-28,36.377838134765625
2016-03-29,36.93526840209961
2016-03-30,37.22092056274414
2016-03-31,36.944190979003906
2016-04-01,37.19017028808594
2016-04-04,36.96105194091797
2016-04-05,36.589599609375
2016-04-06,36.980892181396484
2016-04-07,36.71259307861328
2016-04-08,36.65654754638672
2016-04-11,36.50529098510742
2016-04-12,36.85194396972656
2016-04-13,37.27993392944336
2016-04-14,37.35333251953125
2016-04-15,37.640968322753906
2016-04-18,38.018375396728516
2016-04-19,37.38953399658203
2016-04-20,37.32704544067383
2016-04-21,37.647911071777344
2016-04-22,35.64584732055664
2016-04-25,35.86306381225586
2016-04-26,35.118682861328125
2016-04-27,35.00461196899414
2016-04-28,34.26964569091797
2016-04-29,34.36833953857422
2016-05-02,34.626224517822266
2016-05-03,34.336097717285156
2016-05-04,34.50174331665039
2016-05-05,34.785911560058594
2016-05-06,35.26646423339844
2016-05-09,35.35474395751953
2016-05-10,35.86455535888672
2016-05-11,35.4732666015625
2016-05-12,35.37507629394531
2016-05-13,35.252079010009766
2016-05-16,35.532779693603516
2016-05-17,35.02396011352539
2016-05-18,35.04379653930664
2016-05-19,34.73086166381836
2016-05-20,35.19802474975586
2016-05-23,34.92526626586914
2016-05-24,35.7113151550293
2016-05-25,35.968204498291016
2016-05-26,35.911170959472656
2016-05-27,36.33469009399414
2016-05-31,36.486446380615234
2016-06-01,36.40858840942383
2016-06-02,36.222618103027344
2016-06-03,35.82289505004883
2016-06-06,35.53574752807617
2016-06-07,35.540714263916016
2016-06-08,36.11747741699219
2016-06-09,36.132354736328125
2016-06-10,35.677589416503906
2016-06-13,35.62551498413086
2016-06-14,35.621055603027344
2016-06-15,35.65328598022461
2016-06-16,35.22877502441406
2016-06-17,34.30436706542969
2016-06-20,34.40304946899414
2016-06-21,34.513641357421875
2016-06-22,34.58902359008789
2016-06-23,34.8077278137207
2016-06-24,33.486083984375
2016-06-27,33.140907287597656
2016-06-28,33.72511672973633
2016-06-29,33.92696762084961
2016-06-30,34.32320785522461
2016-07-01,34.675819396972656
2016-07-05,34.46455383300781
2016-07-06,34.60439682006836
2016-07-07,34.48488235473633
2016-07-08,34.99420166015625
2016-07-11,35.463348388671875
2016-07-12,35.738590240478516
2016-07-13,35.55707931518555
2016-07-14,35.753963470458984
2016-07-15,35.69940948486328
2016-07-18,36.39023971557617
2016-07-19,36.547943115234375
2016-07-20,36.75772476196289
2016-07-21,36.630767822265625
2016-07-22,36.834590911865234
2016-07-25,36.68729782104492
2016-07-26,36.6203498840332
2016-07-27,36.7864875793457
2016-07-28,36.991798400878906
2016-07-29,38.12648391723633
2016-08-01,38.32931900024414
2016-08-02,38.23955535888672
2016-08-03,38.34419631958008
2016-08-04,38.266334533691406
2016-08-05,38.79252243041992
2016-08-08,38.76970672607422
2016-08-09,38.8936882019043
2016-08-10,38.91451644897461
2016-08-11,38.922943115234375
2016-08-12,38.842105865478516
2016-08-15,38.80343246459961
2016-08-16,38.54058074951172
2016-08-17,38.67795181274414
2016-08-18,38.55843734741211
2016-08-19,38.455284118652344
2016-08-22,38.29310989379883
2016-08-23,38.289642333984375
2016-08-24,38.168636322021484
2016-08-25,38.157230377197266
2016-08-26,38.16368103027344
2016-08-29,38.29310989379883
2016-08-30,38.14136505126953
2016-08-31,38.040191650390625
2016-09-01,38.12599182128906
2016-09-02,38.2588996887207
2016-09-06,38.68638610839844
2016-09-07,38.69978332519531
2016-09-08,38.450321197509766
2016-09-09,37.673702239990234
2016-09-12,38.13789367675781
2016-09-13,37.67518997192383
2016-09-14,37.81405258178711
2016-09-15,38.273773193359375
2016-09-16,38.13094711303711
2016-09-19,37.973243713378906
2016-09-20,38.25641632080078
2016-09-21,38.49496078491211
2016-09-22,39.03998565673828
2016-09-23,39.02460861206055
2016-09-26,38.39527893066406
2016-09-27,38.83169174194336
2016-09-28,38.75978469848633
2016-09-29,38.43495178222656
2016-09-30,38.54801940917969
2016-10-03,38.313446044921875
2016-10-04,38.505374908447266
2016-10-05,38.50735855102539
2016-10-06,38.52669143676758
2016-10-07,38.43842315673828
2016-10-10,38.97700119018555
2016-10-11,38.83466339111328
2016-10-12,38.98691177368164
2016-10-13,38.5926628112793
2016-10-14,38.60952377319336
2016-10-17,38.68043518066406
2016-10-18,39.439205169677734
2016-10-19,39.7486686706543
2016-10-20,39.52401351928711
2016-10-21,39.643035888671875
2016-10-24,40.32443618774414
2016-10-25,40.05465316772461
2016-10-26,39.62815475463867
2016-10-27,39.44367218017578
2016-10-28,39.44466018676758
2016-10-31,38.907569885253906
2016-11-01,38.8614501953125
2016-11-02,38.12202072143555
2016-11-03,37.79619598388672
2016-11-04,37.79074478149414
2016-11-07,38.80739212036133
2016-11-08,39.203636169433594
2016-11-09,38.94575500488281
2016-11-10,37.81752395629883
2016-11-11,37.39399719238281
2016-11-14,36.504302978515625
2016-11-15,37.61567687988281
2016-11-16,37.91273498535156
2016-11-17,38.24748992919922
2016-11-18,37.71734619140625
2016-11-21,38.14681625366211
2016-11-22,38.10070037841797
2016-11-23,37.739662170410156
2016-11-25,37.77388000488281
2016-11-28,38.099205017089844
2016-11-29,38.228153228759766
2016-11-30,37.59336471557617
2016-12-01,37.091487884521484
2016-12-02,37.21943283081055
2016-12-05,37.81553268432617
2016-12-06,37.64643096923828
2016-12-07,38.245506286621094
2016-12-08,38.50487518310547
2016-12-09,39.14313888549805
2016-12-12,39.14215087890625
2016-12-13,39.48086929321289
2016-12-14,39.52897644042969
2016-12-15,39.567657470703125
2016-12-16,39.21802520751953
2016-12-19,39.386634826660156
2016-12-20,39.496734619140625
2016-12-21,39.40449523925781
2016-12-22,39.240840911865234
2016-12-23,39.173885345458984
2016-12-27,39.25521469116211
2016-12-28,38.932865142822266
2016-12-29,38.82078552246094
2016-12-30,38.27675247192383
2017-01-03,38.98691177368164
2017-01-04,39.02460861206055
2017-01-05,39.377708435058594
2017-01-06,39.979270935058594
2017-01-09,40.004066467285156
2017-01-10,39.911827087402344
