Date,HUBB
2015-07-01,86.2862777709961
2015-07-02,86.06316375732422
2015-07-06,85.58502197265625
2015-07-07,86.19062805175781
2015-07-08,84.82798767089844
2015-07-09,84.87578582763672
2015-07-10,85.16265869140625
2015-07-13,86.1189193725586
2015-07-14,86.38189697265625
2015-07-15,85.60096740722656
2015-07-16,85.4574966430664
2015-07-17,85.10689544677734
2015-07-20,84.92359924316406
2015-07-21,83.93547821044922
2015-07-22,83.23421478271484
2015-07-23,85.01923370361328
2015-07-24,83.13858032226562
2015-07-27,82.35763549804688
2015-07-28,82.6764144897461
2015-07-29,83.94343566894531
2015-07-30,83.45734405517578
2015-07-31,83.20233917236328
2015-08-03,82.66044616699219
2015-08-04,83.30592346191406
2015-08-05,83.68843078613281
2015-08-06,82.81983947753906
2015-08-07,82.79592895507812
2015-08-10,84.08688354492188
2015-08-11,83.1864013671875
2015-08-12,82.76403045654297
2015-08-13,82.27000427246094
2015-08-14,82.48514556884766
2015-08-17,82.62860107421875
2015-08-18,82.3337631225586
2015-08-19,81.4013900756836
2015-08-20,80.25386047363281
2015-08-21,78.82745361328125
2015-08-24,76.34915924072266
2015-08-25,75.65587615966797
2015-08-26,76.93885040283203
2015-08-27,79.14303588867188
2015-08-28,78.98277282714844
2015-08-31,79.08694458007812
2015-09-01,77.72435760498047
2015-09-02,78.02091979980469
2015-09-03,78.27743530273438
2015-09-04,76.86671447753906
2015-09-08,78.05298614501953
2015-09-09,76.97090148925781
2015-09-10,75.97702026367188
2015-09-11,76.21748352050781
2015-09-14,75.42396545410156
2015-09-15,76.34571838378906
2015-09-16,76.90678405761719
2015-09-17,76.21748352050781
2015-09-18,72.13770294189453
2015-09-21,70.63079071044922
2015-09-22,68.87548065185547
2015-09-23,68.36249542236328
2015-09-24,67.69719696044922
2015-09-25,68.1621322631836
2015-09-28,66.49491882324219
2015-09-29,66.59910583496094
2015-09-30,68.08995819091797
2015-10-01,68.3304443359375
2015-10-02,69.11592102050781
2015-10-05,70.95944213867188
2015-10-06,71.05561065673828
2015-10-07,71.63272094726562
2015-10-08,72.76288604736328
2015-10-09,73.27587127685547
2015-10-12,72.3941879272461
2015-10-13,71.60065460205078
2015-10-14,70.72699737548828
2015-10-15,71.32015991210938
2015-10-16,69.73310852050781
2015-10-19,70.0537109375
2015-10-20,70.71097564697266
2015-10-21,70.0857925415039
2015-10-22,74.82280731201172
2015-10-23,75.44001007080078
2015-10-26,75.50411987304688
2015-10-27,75.28770446777344
2015-10-28,77.1312255859375
2015-10-29,77.14724731445312
2015-10-30,77.6281967163086
2015-11-02,78.17322540283203
2015-11-03,77.60414123535156
2015-11-04,77.30755615234375
2015-11-05,77.2915267944336
2015-11-06,76.81061553955078
2015-11-09,75.80868530273438
2015-11-10,75.52015686035156
2015-11-11,76.0892333984375
2015-11-12,74.94304656982422
2015-11-13,76.48198699951172
2015-11-16,77.98884582519531
2015-11-17,76.9468765258789
2015-11-18,78.71024322509766
2015-11-19,78.36559295654297
2015-11-20,78.01288604736328
2015-11-23,78.20526885986328
2015-11-24,78.99879455566406
2015-11-25,80.06362915039062
2015-11-27,80.37821197509766
2015-11-30,80.09589385986328
2015-12-01,80.55569458007812
2015-12-02,79.70063018798828
2015-12-03,78.80520629882812
2015-12-04,79.11981201171875
2015-12-07,78.62771606445312
2015-12-08,77.42575073242188
2015-12-09,76.90946960449219
2015-12-10,76.78846740722656
2015-12-11,76.44158935546875
2015-12-14,75.86076354980469
2015-12-15,75.26380920410156
2015-12-16,76.44966125488281
2015-12-17,75.31221008300781
2015-12-18,74.2554702758789
2015-12-21,76.07049560546875
2015-12-22,78.23241424560547
2015-12-23,80.79768371582031
2015-12-24,81.8141098022461
2015-12-28,81.9673843383789
2015-12-29,83.08869171142578
2015-12-30,83.33069610595703
2015-12-31,81.5075912475586
2016-01-04,82.265869140625
2016-01-05,80.91065216064453
2016-01-06,79.65217590332031
2016-01-07,76.63520812988281
2016-01-08,76.5625991821289
2016-01-11,74.19898986816406
2016-01-12,74.44102478027344
2016-01-13,71.81120300292969
2016-01-14,73.15031433105469
2016-01-15,71.85155487060547
2016-01-19,71.38365173339844
2016-01-20,69.98809051513672
2016-01-21,70.38335418701172
2016-01-22,71.35140228271484
2016-01-25,69.97199249267578
2016-01-26,70.79478454589844
2016-01-27,69.60894775390625
2016-01-28,71.31106567382812
2016-01-29,72.94860076904297
2016-02-01,72.68243408203125
2016-02-02,70.95611572265625
2016-02-03,72.40011596679688
2016-02-04,74.11835479736328
2016-02-05,72.75504302978516
2016-02-08,72.49688720703125
2016-02-09,72.56947326660156
2016-02-10,72.44042205810547
2016-02-11,72.08548736572266
2016-02-12,72.55338287353516
2016-02-16,74.52971649169922
2016-02-17,75.06216430664062
2016-02-18,74.94921875
2016-02-19,75.46549987792969
2016-02-22,77.21599578857422
2016-02-23,77.49834442138672
2016-02-24,77.9985122680664
2016-02-25,79.4438247680664
2016-02-26,80.27201843261719
2016-02-29,80.67803192138672
2016-03-01,81.8635025024414
2016-03-02,82.8866195678711
2016-03-03,82.46439361572266
2016-03-04,82.06651306152344
