Date,MLM
2015-07-01,143.86000061035156
2015-07-02,144.0
2015-07-06,144.4600067138672
2015-07-07,145.02999877929688
2015-07-08,144.60000610351562
2015-07-09,146.77000427246094
2015-07-10,152.89999389648438
2015-07-13,153.36000061035156
2015-07-14,151.86000061035156
2015-07-15,150.9499969482422
2015-07-16,153.7899932861328
2015-07-17,156.52999877929688
2015-07-20,160.22999572753906
2015-07-21,160.24000549316406
2015-07-22,160.83999633789062
2015-07-23,159.27999877929688
2015-07-24,157.8300018310547
2015-07-27,153.60000610351562
2015-07-28,156.00999450683594
2015-07-29,157.3800048828125
2015-07-30,157.47000122070312
2015-07-31,156.82000732421875
2015-08-03,156.52000427246094
2015-08-04,165.42999267578125
2015-08-05,170.13999938964844
2015-08-06,167.72000122070312
2015-08-07,167.5800018310547
2015-08-10,172.0
2015-08-11,171.0
2015-08-12,172.61000061035156
2015-08-13,172.14999389648438
2015-08-14,175.02999877929688
2015-08-17,175.1199951171875
2015-08-18,175.69000244140625
2015-08-19,170.88999938964844
2015-08-20,166.9499969482422
2015-08-21,161.63999938964844
2015-08-24,154.82000732421875
2015-08-25,154.33999633789062
2015-08-26,157.94000244140625
2015-08-27,164.99000549316406
2015-08-28,165.5
2015-08-31,167.8000030517578
2015-09-01,163.72000122070312
2015-09-02,168.5500030517578
2015-09-03,167.91000366210938
2015-09-04,166.4600067138672
2015-09-08,169.99000549316406
2015-09-09,168.60000610351562
2015-09-10,170.77000427246094
2015-09-11,171.47999572753906
2015-09-14,172.8800048828125
2015-09-15,175.08999633789062
2015-09-16,176.50999450683594
2015-09-17,175.92999267578125
2015-09-18,169.88999938964844
2015-09-21,171.58999633789062
2015-09-22,166.02000427246094
2015-09-23,161.4499969482422
2015-09-24,159.69000244140625
2015-09-25,159.38999938964844
2015-09-28,152.74000549316406
2015-09-29,148.3699951171875
2015-09-30,151.9499969482422
2015-10-01,156.72000122070312
2015-10-02,163.0800018310547
2015-10-05,164.3300018310547
2015-10-06,159.33999633789062
2015-10-07,159.74000549316406
2015-10-08,163.05999755859375
2015-10-09,165.07000732421875
2015-10-12,162.02000427246094
2015-10-13,155.11000061035156
2015-10-14,151.75
2015-10-15,149.22000122070312
2015-10-16,151.44000244140625
2015-10-19,148.44000244140625
2015-10-20,148.3800048828125
2015-10-21,145.89999389648438
2015-10-22,152.39999389648438
2015-10-23,152.8800048828125
2015-10-26,148.5800018310547
2015-10-27,147.02000427246094
2015-10-28,152.86000061035156
2015-10-29,151.67999267578125
2015-10-30,155.14999389648438
2015-11-02,155.27000427246094
2015-11-03,142.11000061035156
2015-11-04,145.85000610351562
2015-11-05,155.3300018310547
2015-11-06,154.97999572753906
2015-11-09,152.14999389648438
2015-11-10,153.55999755859375
2015-11-11,155.80999755859375
2015-11-12,151.5
2015-11-13,153.42999267578125
2015-11-16,157.5
2015-11-17,156.97000122070312
2015-11-18,159.3000030517578
2015-11-19,160.6199951171875
2015-11-20,160.8699951171875
2015-11-23,159.9199981689453
2015-11-24,160.97000122070312
2015-11-25,160.25
2015-11-27,161.0
2015-11-30,157.39999389648438
2015-12-01,159.33999633789062
2015-12-02,157.9600067138672
2015-12-03,153.63999938964844
2015-12-04,155.27000427246094
2015-12-07,147.30999755859375
2015-12-08,148.55999755859375
2015-12-09,144.4600067138672
2015-12-10,143.64999389648438
2015-12-11,142.08999633789062
2015-12-14,142.6199951171875
2015-12-15,145.10000610351562
2015-12-16,147.6699981689453
2015-12-17,142.74000549316406
2015-12-18,139.91000366210938
2015-12-21,141.0
2015-12-22,139.83999633789062
2015-12-23,142.9600067138672
2015-12-24,142.3300018310547
2015-12-28,139.80999755859375
2015-12-29,140.66000366210938
2015-12-30,137.2899932861328
2015-12-31,136.5800018310547
2016-01-04,135.80999755859375
2016-01-05,133.17999267578125
2016-01-06,129.8300018310547
2016-01-07,129.55999755859375
2016-01-08,126.12999725341797
2016-01-11,124.7300033569336
2016-01-12,127.95999908447266
2016-01-13,122.87999725341797
2016-01-14,123.61000061035156
2016-01-15,124.69000244140625
2016-01-19,119.19000244140625
2016-01-20,117.0
2016-01-21,118.37000274658203
2016-01-22,123.5999984741211
2016-01-25,117.36000061035156
2016-01-26,119.62999725341797
2016-01-27,120.0
2016-01-28,118.45999908447266
2016-01-29,125.58000183105469
2016-02-01,123.72000122070312
2016-02-02,121.19000244140625
2016-02-03,121.30999755859375
2016-02-04,124.41000366210938
2016-02-05,123.05000305175781
2016-02-08,117.8499984741211
2016-02-09,128.8800048828125
2016-02-10,131.3800048828125
2016-02-11,129.39999389648438
2016-02-12,132.86000061035156
2016-02-16,135.41000366210938
2016-02-17,138.91000366210938
2016-02-18,136.05999755859375
2016-02-19,135.97999572753906
2016-02-22,140.0500030517578
2016-02-23,138.38999938964844
2016-02-24,142.74000549316406
2016-02-25,143.5
2016-02-26,142.1999969482422
2016-02-29,142.6199951171875
2016-03-01,146.75999450683594
2016-03-02,147.55999755859375
2016-03-03,148.42999267578125
2016-03-04,147.85000610351562
2016-03-07,154.63999938964844
2016-03-08,152.1999969482422
2016-03-09,152.72999572753906
2016-03-10,153.38999938964844
2016-03-11,156.5800018310547
2016-03-14,154.57000732421875
2016-03-15,153.22000122070312
2016-03-16,154.0399932861328
2016-03-17,155.91000366210938
2016-03-18,156.8300018310547
2016-03-21,156.14999389648438
2016-03-22,155.83999633789062
2016-03-23,153.83999633789062
2016-03-24,153.6699981689453
2016-03-28,153.88999938964844
2016-03-29,154.22000122070312
2016-03-30,154.8300018310547
2016-03-31,159.50999450683594
2016-04-01,162.0500030517578
2016-04-04,159.91000366210938
2016-04-05,159.36000061035156
2016-04-06,163.83999633789062
2016-04-07,161.9600067138672
2016-04-08,166.17999267578125
2016-04-11,164.10000610351562
2016-04-12,163.85000610351562
2016-04-13,165.33999633789062
2016-04-14,165.35000610351562
2016-04-15,165.6300048828125
2016-04-18,168.3300018310547
2016-04-19,167.60000610351562
2016-04-20,169.77000427246094
2016-04-21,168.7100067138672
2016-04-22,170.60000610351562
2016-04-25,169.5399932861328
2016-04-26,170.25
2016-04-27,172.5399932861328
2016-04-28,170.07000732421875
2016-04-29,169.22999572753906
2016-05-02,172.13999938964844
2016-05-03,173.19000244140625
2016-05-04,169.4600067138672
2016-05-05,175.0
2016-05-06,177.91000366210938
2016-05-09,182.25
2016-05-10,187.85000610351562
2016-05-11,186.72000122070312
2016-05-12,186.77000427246094
2016-05-13,184.75
2016-05-16,186.57000732421875
2016-05-17,186.22999572753906
2016-05-18,185.74000549316406
2016-05-19,184.94000244140625
2016-05-20,187.17999267578125
2016-05-23,188.7899932861328
2016-05-24,190.6199951171875
2016-05-25,193.14999389648438
2016-05-26,191.6999969482422
2016-05-27,191.8300018310547
2016-05-31,189.0399932861328
2016-06-01,188.72999572753906
2016-06-02,187.89999389648438
2016-06-03,186.72999572753906
