Date,MS
2015-07-01,29.083818435668945
2015-07-02,28.817813873291016
2015-07-06,28.70697593688965
2015-07-07,28.537019729614258
2015-07-08,27.92372703552246
2015-07-09,28.152790069580078
2015-07-10,28.551799774169922
2015-07-13,29.05426788330078
2015-07-14,29.342437744140625
2015-07-15,29.33506202697754
2015-07-16,29.490219116210938
2015-07-17,29.70452117919922
2015-07-20,29.586288452148438
2015-07-21,29.615848541259766
2015-07-22,29.95575714111328
2015-07-23,29.512399673461914
2015-07-24,29.26116943359375
2015-07-27,29.00253677368164
2015-07-28,29.00253677368164
2015-07-29,29.143468856811523
2015-07-30,29.15089225769043
2015-07-31,28.8096866607666
2015-08-03,28.750350952148438
2015-08-04,28.86902618408203
2015-08-05,28.928369522094727
2015-08-06,28.876436233520508
2015-08-07,28.616825103759766
2015-08-10,28.98770523071289
2015-08-11,28.12726593017578
2015-08-12,27.867660522460938
2015-08-13,28.00118064880371
2015-08-14,28.223697662353516
2015-08-17,28.290456771850586
2015-08-18,28.05309295654297
2015-08-19,27.7712345123291
2015-08-20,26.82920265197754
2015-08-21,25.375368118286133
2015-08-24,23.928945541381836
2015-08-25,23.55807113647461
2015-08-26,24.700376510620117
2015-08-27,25.442121505737305
2015-08-28,25.256694793701172
2015-08-31,25.55339241027832
2015-09-01,24.566856384277344
2015-09-02,25.0638370513916
2015-09-03,25.071245193481445
2015-09-04,24.61878776550293
2015-09-08,25.419878005981445
2015-09-09,25.034162521362305
2015-09-10,25.1231746673584
2015-09-11,25.212182998657227
2015-09-14,25.07866859436035
2015-09-15,25.649812698364258
2015-09-16,25.679489135742188
2015-09-17,25.256694793701172
2015-09-18,24.500097274780273
2015-09-21,24.73004150390625
2015-09-22,24.06246566772461
2015-09-23,23.973451614379883
2015-09-24,23.713836669921875
2015-09-25,23.877031326293945
2015-09-28,23.061100006103516
2015-09-29,23.00176239013672
2015-09-30,23.365219116210938
2015-10-01,23.365219116210938
2015-10-02,23.313295364379883
2015-10-05,23.95120620727539
2015-10-06,24.003129959106445
2015-10-07,24.425922393798828
2015-10-08,24.470430374145508
2015-10-09,24.270156860351562
2015-10-12,24.32950210571289
2015-10-13,24.188556671142578
2015-10-14,24.136646270751953
2015-10-15,24.930320739746094
2015-10-16,25.182512283325195
2015-10-19,23.973451614379883
2015-10-20,23.92152976989746
2015-10-21,23.350385665893555
