Date,HIG
2015-07-01,35.182193756103516
2015-07-02,35.0547981262207
2015-07-06,35.094635009765625
2015-07-07,35.13442611694336
2015-07-08,34.25865936279297
2015-07-09,34.354183197021484
2015-07-10,34.855770111083984
2015-07-13,35.90669250488281
2015-07-14,36.384395599365234
2015-07-15,37.16463088989258
2015-07-16,37.642311096191406
2015-07-17,37.29201126098633
2015-07-20,36.86207580566406
2015-07-21,37.196475982666016
2015-07-22,36.94965744018555
2015-07-23,36.878021240234375
2015-07-24,36.9974250793457
2015-07-27,36.352542877197266
2015-07-28,37.29997253417969
2015-07-29,37.952823638916016
2015-07-30,38.215553283691406
2015-07-31,37.85726547241211
2015-08-03,38.39865493774414
2015-08-04,38.03243637084961
2015-08-05,37.79359436035156
2015-08-06,37.96874237060547
2015-08-07,38.159820556640625
2015-08-10,38.518089294433594
2015-08-11,38.08816146850586
2015-08-12,37.801551818847656
2015-08-13,38.86840057373047
2015-08-14,39.31425094604492
2015-08-17,39.13908767700195
2015-08-18,39.43367385864258
2015-08-19,39.17094802856445
2015-08-20,38.56587219238281
2015-08-21,37.212406158447266
2015-08-24,35.41307830810547
2015-08-25,35.58027267456055
2015-08-26,36.80635452270508
2015-08-27,37.42736053466797
2015-08-28,36.96352005004883
2015-08-31,36.74758529663086
2015-09-01,35.78791427612305
2015-09-02,36.45167922973633
2015-09-03,36.62762451171875
2015-09-04,35.76393508911133
2015-09-08,36.70759963989258
2015-09-09,36.22775650024414
2015-09-10,36.6356201171875
2015-09-11,36.74758529663086
2015-09-14,36.435691833496094
2015-09-15,36.96352005004883
2015-09-16,37.195438385009766
2015-09-17,36.6356201171875
2015-09-18,35.444034576416016
2015-09-21,35.72393035888672
2015-09-22,35.28407669067383
2015-09-23,35.54800033569336
2015-09-24,36.06781768798828
2015-09-25,36.29174041748047
2015-09-28,35.563995361328125
2015-09-29,36.0278205871582
2015-09-30,36.61162567138672
2015-10-01,36.779579162597656
2015-10-02,36.715599060058594
2015-10-05,37.32339859008789
2015-10-06,37.21944808959961
2015-10-07,37.5073356628418
2015-10-08,37.67526626586914
2015-10-09,37.49134063720703
2015-10-12,37.475337982177734
2015-10-13,37.20343017578125
2015-10-14,36.69159698486328
2015-10-15,37.54731369018555
2015-10-16,37.69925308227539
2015-10-19,37.97917556762695
2015-10-20,38.451019287109375
2015-10-21,38.71491622924805
2015-10-22,39.01081466674805
2015-10-23,39.37868881225586
2015-10-26,39.034812927246094
2015-10-27,36.25974655151367
2015-10-28,37.12346267700195
2015-10-29,37.68326187133789
2015-10-30,36.99550247192383
2015-11-02,37.395362854003906
2015-11-03,37.187442779541016
2015-11-04,37.259422302246094
2015-11-05,37.5073356628418
2015-11-06,38.06713104248047
2015-11-09,37.49134063720703
2015-11-10,37.859214782714844
2015-11-11,37.37937927246094
2015-11-12,36.57163619995117
2015-11-13,36.09980010986328
2015-11-16,36.69159698486328
