Date,RVTY
2023-01-03,141.13999938964844
2023-01-04,142.30999755859375
2023-01-05,138.80999755859375
2023-01-06,133.52999877929688
2023-01-09,133.88999938964844
2023-01-10,133.39999389648438
2023-01-11,135.52999877929688
2023-01-12,132.16000366210938
2023-01-13,133.77000427246094
2023-01-17,132.47999572753906
2023-01-18,132.57000732421875
2023-01-19,133.00999450683594
2023-01-20,137.82000732421875
2023-01-23,140.75
2023-01-24,134.8699951171875
2023-01-25,135.0800018310547
2023-01-26,134.9600067138672
2023-01-27,138.55999755859375
2023-01-30,135.27999877929688
2023-01-31,137.52999877929688
2023-02-01,139.27000427246094
2023-02-02,144.3800048828125
2023-02-03,141.75
2023-02-06,137.89999389648438
2023-02-07,139.5
2023-02-08,139.30999755859375
2023-02-09,136.75
2023-02-10,135.72999572753906
2023-02-13,138.6999969482422
2023-02-14,137.97000122070312
2023-02-15,135.3300018310547
2023-02-16,134.8800048828125
2023-02-17,133.44000244140625
2023-02-21,128.30999755859375
2023-02-22,128.85000610351562
2023-02-23,128.00999450683594
2023-02-24,125.12999725341797
2023-02-27,123.20999908447266
2023-02-28,124.56999969482422
2023-03-01,123.5
2023-03-02,128.1999969482422
2023-03-03,131.33999633789062
2023-03-06,128.49000549316406
2023-03-07,124.80000305175781
2023-03-08,124.18000030517578
2023-03-09,123.5
2023-03-10,120.2300033569336
2023-03-13,120.16000366210938
2023-03-14,123.31999969482422
2023-03-15,122.54000091552734
2023-03-16,126.08000183105469
2023-03-17,122.55999755859375
2023-03-20,123.7699966430664
2023-03-21,125.55000305175781
2023-03-22,125.08999633789062
2023-03-23,125.0999984741211
2023-03-24,127.58000183105469
2023-03-27,128.0
2023-03-28,128.2899932861328
2023-03-29,129.39999389648438
2023-03-30,131.0
2023-03-31,133.25999450683594
2023-04-03,131.3699951171875
2023-04-04,131.88999938964844
2023-04-05,133.36000061035156
2023-04-06,133.57000732421875
2023-04-10,132.8699951171875
2023-04-11,134.19000244140625
2023-04-12,134.33999633789062
2023-04-13,136.97000122070312
2023-04-14,137.11000061035156
2023-04-17,135.9499969482422
2023-04-18,134.1300048828125
2023-04-19,135.5500030517578
2023-04-20,132.4499969482422
2023-04-21,132.94000244140625
2023-04-24,134.86000061035156
2023-04-25,127.5199966430664
2023-04-26,129.63999938964844
2023-04-27,128.55999755859375
2023-04-28,130.49000549316406
2023-05-01,130.25999450683594
2023-05-02,128.72999572753906
2023-05-03,130.22999572753906
2023-05-04,131.1300048828125
2023-05-05,129.8699951171875
2023-05-08,128.0
2023-05-09,124.81999969482422
