Date,APO
2015-07-01,13.70992374420166
2015-07-02,13.784603118896484
2015-07-06,13.672584533691406
2015-07-07,13.591682434082031
2015-07-08,13.230731964111328
2015-07-09,13.36764144897461
2015-07-10,13.597906112670898
2015-07-13,13.691251754760742
2015-07-14,13.91529655456543
2015-07-15,13.871731758117676
2015-07-16,13.753484725952148
2015-07-17,13.7908296585083
2015-07-20,13.560566902160645
2015-07-21,13.597906112670898
2015-07-22,13.199615478515625
2015-07-23,12.882225036621094
2015-07-24,12.670632362365723
2015-07-27,12.558614730834961
2015-07-28,12.670632362365723
2015-07-29,12.714198112487793
2015-07-30,12.863554954528809
2015-07-31,12.801318168640137
2015-08-03,12.66441535949707
2015-08-04,12.78265380859375
2015-08-05,12.583504676818848
2015-08-06,12.533723831176758
2015-08-07,13.180946350097656
2015-08-10,13.629019737243652
2015-08-11,13.019136428833008
2015-08-12,12.963127136230469
2015-08-13,13.068926811218262
2015-08-14,13.151477813720703
2015-08-17,13.030826568603516
2015-08-18,12.706958770751953
2015-08-19,12.370392799377441
2015-08-20,11.970318794250488
2015-08-21,11.963974952697754
2015-08-24,11.48134708404541
2015-08-25,11.24638843536377
2015-08-26,11.443245887756348
2015-08-27,11.932214736938477
2015-08-28,12.097329139709473
2015-08-31,11.798864364624023
2015-09-01,11.627402305603027
2015-09-02,12.00207233428955
2015-09-03,12.071924209594727
2015-09-04,11.944918632507324
2015-09-08,12.395792007446289
2015-09-09,12.1608304977417
2015-09-10,12.090977668762207
2015-09-11,11.995721817016602
2015-09-14,11.856016159057617
2015-09-15,12.052875518798828
2015-09-16,12.237034797668457
2015-09-17,12.021122932434082
2015-09-18,11.849665641784668
2015-09-21,11.875065803527832
2015-09-22,11.557554244995117
2015-09-23,11.405141830444336
2015-09-24,11.271788597106934
2015-09-25,11.233689308166504
2015-09-28,11.005074501037598
2015-09-29,10.617705345153809
2015-09-30,10.909819602966309
2015-10-01,11.176533699035645
2015-10-02,11.367042541503906
2015-10-05,11.608353614807129
2015-10-06,11.68455696105957
2015-10-07,11.811562538146973
2015-10-08,11.849665641784668
2015-10-09,11.824261665344238
2015-10-12,11.798864364624023
2015-10-13,11.754414558410645
2015-10-14,11.68455696105957
2015-10-15,11.805213928222656
