Date,WMT
2015-07-01,23.959999084472656
2015-07-02,23.953332901000977
2015-07-06,24.176666259765625
2015-07-07,24.59666633605957
2015-07-08,24.35333251953125
2015-07-09,24.260000228881836
2015-07-10,24.373332977294922
2015-07-13,24.626667022705078
2015-07-14,24.59666633605957
2015-07-15,24.549999237060547
2015-07-16,24.610000610351562
2015-07-17,24.463333129882812
2015-07-20,24.366666793823242
2015-07-21,24.246667861938477
2015-07-22,24.386667251586914
2015-07-23,24.170000076293945
2015-07-24,23.860000610351562
2015-07-27,23.793333053588867
2015-07-28,24.03333282470703
2015-07-29,24.07666778564453
2015-07-30,24.053333282470703
2015-07-31,23.99333381652832
2015-08-03,24.059999465942383
2015-08-04,24.083332061767578
2015-08-05,24.503332138061523
2015-08-06,24.26333236694336
2015-08-07,23.75
2015-08-10,23.82666778564453
2015-08-11,23.976667404174805
2015-08-12,24.19333267211914
2015-08-13,24.036666870117188
2015-08-14,24.126667022705078
2015-08-17,23.969999313354492
2015-08-18,23.15999984741211
2015-08-19,22.856666564941406
2015-08-20,22.809999465942383
2015-08-21,22.18000030517578
2015-08-24,21.316667556762695
2015-08-25,21.03333282470703
2015-08-26,21.610000610351562
2015-08-27,22.02666664123535
2015-08-28,21.64666748046875
2015-08-31,21.57666778564453
2015-09-01,21.273332595825195
2015-09-02,21.479999542236328
2015-09-03,21.6200008392334
2015-09-04,21.296667098999023
2015-09-08,22.126667022705078
2015-09-09,21.706666946411133
2015-09-10,21.373332977294922
2015-09-11,21.549999237060547
2015-09-14,21.426666259765625
2015-09-15,21.440000534057617
2015-09-16,21.56333351135254
2015-09-17,21.489999771118164
2015-09-18,21.113332748413086
2015-09-21,21.239999771118164
2015-09-22,21.196666717529297
2015-09-23,21.239999771118164
2015-09-24,21.27666664123535
2015-09-25,21.260000228881836
2015-09-28,21.219999313354492
2015-09-29,21.260000228881836
2015-09-30,21.613332748413086
2015-10-01,21.42333221435547
2015-10-02,21.65999984741211
2015-10-05,21.956666946411133
2015-10-06,21.893333435058594
2015-10-07,22.1200008392334
2015-10-08,22.293333053588867
2015-10-09,22.229999542236328
2015-10-12,22.309999465942383
2015-10-13,22.24333381652832
2015-10-14,20.010000228881836
2015-10-15,19.77666664123535
2015-10-16,19.6299991607666
2015-10-19,19.616666793823242
2015-10-20,19.583332061767578
2015-10-21,19.546667098999023
2015-10-22,19.633333206176758
2015-10-23,19.433332443237305
2015-10-26,19.34000015258789
2015-10-27,19.15999984741211
2015-10-28,19.213333129882812
2015-10-29,19.31999969482422
2015-10-30,19.079999923706055
2015-11-02,19.203332901000977
2015-11-03,19.3700008392334
2015-11-04,19.456666946411133
2015-11-05,19.536666870117188
2015-11-06,19.593332290649414
2015-11-09,19.496667861938477
2015-11-10,19.559999465942383
2015-11-11,19.19333267211914
2015-11-12,18.983333587646484
2015-11-13,18.80666732788086
2015-11-16,19.290000915527344
2015-11-17,19.97333335876465
2015-11-18,20.309999465942383
2015-11-19,20.233333587646484
2015-11-20,20.023332595825195
2015-11-23,20.086666107177734
2015-11-24,19.97333335876465
2015-11-25,20.079999923706055
2015-11-27,19.963333129882812
2015-11-30,19.613332748413086
2015-12-01,19.663333892822266
2015-12-02,19.450000762939453
2015-12-03,19.68000030517578
2015-12-04,19.886667251586914
2015-12-07,20.166667938232422
2015-12-08,19.8700008392334
2015-12-09,19.709999084472656
2015-12-10,19.85333251953125
2015-12-11,19.786666870117188
2015-12-14,20.1299991607666
2015-12-15,19.8799991607666
2015-12-16,20.100000381469727
2015-12-17,19.65999984741211
2015-12-18,19.616666793823242
2015-12-21,19.850000381469727
2015-12-22,20.18000030517578
2015-12-23,20.363332748413086
2015-12-24,20.27666664123535
2015-12-28,20.25
2015-12-29,20.536666870117188
2015-12-30,20.559999465942383
2015-12-31,20.433332443237305
2016-01-04,20.48666763305664
2016-01-05,20.97333335876465
2016-01-06,21.183332443237305
2016-01-07,21.676666259765625
2016-01-08,21.18000030517578
2016-01-11,21.406667709350586
2016-01-12,21.206666946411133
2016-01-13,20.639999389648438
2016-01-14,21.020000457763672
2016-01-15,20.643333435058594
2016-01-19,20.85333251953125
2016-01-20,20.280000686645508
2016-01-21,20.626667022705078
