Date,CF
2015-07-01,48.152809143066406
2015-07-02,47.73858642578125
2015-07-06,47.00630569458008
2015-07-07,45.94118118286133
2015-07-08,44.49140930175781
2015-07-09,44.972206115722656
2015-07-10,45.64529800415039
2015-07-13,45.93378448486328
2015-07-14,46.362789154052734
2015-07-15,45.97075653076172
2015-07-16,46.407161712646484
2015-07-17,50.97835159301758
2015-07-20,48.078834533691406
2015-07-21,47.2947883605957
2015-07-22,46.24445343017578
2015-07-23,46.09650421142578
2015-07-24,45.009185791015625
2015-07-27,43.70735168457031
2015-07-28,43.56681442260742
2015-07-29,43.810916900634766
2015-07-30,43.72956085205078
2015-07-31,43.788719177246094
2015-08-03,43.65558624267578
2015-08-04,44.77248764038086
2015-08-05,45.578731536865234
2015-08-06,46.59950256347656
2015-08-07,43.59642028808594
2015-08-10,45.083152770996094
2015-08-11,42.361148834228516
2015-08-12,45.8336181640625
2015-08-13,47.00846862792969
2015-08-14,47.46205520629883
2015-08-17,47.610755920410156
2015-08-18,47.194366455078125
2015-08-19,46.04926681518555
2015-08-20,45.409786224365234
2015-08-21,44.257259368896484
2015-08-24,41.56554412841797
2015-08-25,41.483741760253906
2015-08-26,41.7216911315918
2015-08-27,43.03779983520508
2015-08-28,42.73295211791992
2015-08-31,42.666019439697266
2015-09-01,40.77736282348633
2015-09-02,41.30527877807617
2015-09-03,42.36115264892578
2015-09-04,41.253238677978516
2015-09-08,42.31653594970703
2015-09-09,42.35371780395508
2015-09-10,41.93731689453125
2015-09-11,41.55066680908203
2015-09-14,40.04121017456055
2015-09-15,40.73272705078125
2015-09-16,40.73272705078125
2015-09-17,40.04121017456055
2015-09-18,38.68791580200195
2015-09-21,38.45741653442383
2015-09-22,37.99639892578125
2015-09-23,35.498023986816406
2015-09-24,34.51649856567383
2015-09-25,34.47930908203125
2015-09-28,32.76166915893555
2015-09-29,32.85832595825195
2015-09-30,33.38627243041992
2015-10-01,33.31192398071289
2015-10-02,35.02954864501953
2015-10-05,36.464637756347656
2015-10-06,36.84386444091797
2015-10-07,38.82919692993164
2015-10-08,39.30508804321289
2015-10-09,37.75846481323242
2015-10-12,37.46103286743164
2015-10-13,37.981536865234375
2015-10-14,39.05970764160156
2015-10-15,39.714046478271484
2015-10-16,38.90355682373047
2015-10-19,38.27896499633789
2015-10-20,38.494598388671875
2015-10-21,38.821754455566406
2015-10-22,39.9296760559082
2015-10-23,40.24197769165039
2015-10-26,39.48353958129883
2015-10-27,38.345882415771484
2015-10-28,38.858943939208984
2015-10-29,38.145118713378906
2015-10-30,37.75102233886719
2015-11-02,38.92586898803711
2015-11-03,38.63587188720703
2015-11-04,38.48715591430664
2015-11-05,34.82879638671875
2015-11-06,34.59085464477539
2015-11-09,35.8177490234375
2015-11-10,35.200584411621094
2015-11-11,35.40134811401367
2015-11-12,35.25167465209961
2015-11-13,35.955074310302734
2015-11-16,35.89521789550781
2015-11-17,37.0326042175293
2015-11-18,37.09994888305664
2015-11-19,34.847599029541016
2015-11-20,32.849693298339844
2015-11-23,33.67281723022461
2015-11-24,34.27143096923828
2015-11-25,33.949668884277344
2015-11-27,33.75511932373047
2015-11-30,34.52585220336914
2015-12-01,33.67281723022461
2015-12-02,33.71770095825195
2015-12-03,34.31633377075195
2015-12-04,33.25376510620117
2015-12-07,32.36330795288086
2015-12-08,31.487825393676758
2015-12-09,32.26604461669922
2015-12-10,31.607545852661133
2015-12-11,30.76198387145996
2015-12-14,29.983755111694336
2015-12-15,30.537490844726562
2015-12-16,31.00142478942871
2015-12-17,30.859264373779297
2015-12-18,31.136123657226562
2015-12-21,30.919116973876953
2015-12-22,31.981693267822266
2015-12-23,33.05173110961914
2015-12-24,32.36330795288086
2015-12-28,31.607545852661133
2015-12-29,31.90685272216797
2015-12-30,30.799400329589844
2015-12-31,30.537490844726562
2016-01-04,30.305526733398438
2016-01-05,29.355207443237305
2016-01-06,26.818525314331055
2016-01-07,25.54644012451172
2016-01-08,25.306983947753906
2016-01-11,24.281837463378906
2016-01-12,24.34918785095215
2016-01-13,23.765520095825195
2016-01-14,24.40904426574707
2016-01-15,23.62334632873535
2016-01-19,22.63560676574707
2016-01-20,21.86487579345703
2016-01-21,22.650577545166016
2016-01-22,22.41860580444336
2016-01-25,21.400941848754883
2016-01-26,22.066913604736328
2016-01-27,22.493436813354492
2016-01-28,22.695476531982422
2016-01-29,22.448537826538086
2016-02-01,22.628128051757812
2016-02-02,22.03697967529297
2016-02-03,22.48595428466797
2016-02-04,22.890026092529297
2016-02-05,22.426090240478516
2016-02-08,20.95945167541504
2016-02-09,21.303668975830078
2016-02-10,21.046539306640625
2016-02-11,21.961606979370117
2016-02-12,22.687606811523438
2016-02-16,23.549741744995117
2016-02-17,23.973234176635742
2016-02-18,25.99242401123047
2016-02-19,24.956361770629883
2016-02-22,25.364742279052734
2016-02-23,24.298429489135742
2016-02-24,24.011051177978516
2016-02-25,25.077363967895508
2016-02-26,26.431060791015625
2016-02-29,27.57300567626953
2016-03-01,27.414194107055664
2016-03-02,26.272253036499023
2016-03-03,27.368816375732422
2016-03-04,26.1588077545166
2016-03-07,27.8906307220459
2016-03-08,26.665496826171875
2016-03-09,26.786500930786133
2016-03-10,25.440366744995117
2016-03-11,26.952878952026367
2016-03-14,26.87725067138672
2016-03-15,25.432809829711914
2016-03-16,25.8260555267334
2016-03-17,26.506675720214844
2016-03-18,26.46131706237793
2016-03-21,26.514253616333008
2016-03-22,25.65968132019043
2016-03-23,24.933683395385742
2016-03-24,24.154741287231445
2016-03-28,24.04129981994629
2016-03-29,24.132043838500977
2016-03-30,24.184986114501953
2016-03-31,23.700986862182617
2016-04-01,24.298429489135742
2016-04-04,23.60267448425293
2016-04-05,22.770793914794922
2016-04-06,22.173358917236328
2016-04-07,22.07504653930664
2016-04-08,22.513671875
2016-04-11,22.801042556762695
2016-04-12,23.09598159790039
2016-04-13,23.610239028930664
2016-04-14,23.1337947845459
2016-04-15,23.466550827026367
2016-04-18,23.723669052124023
2016-04-19,25.485742568969727
2016-04-20,26.370559692382812
2016-04-21,25.894119262695312
2016-04-22,25.13787078857422
2016-04-25,25.08493423461914
2016-04-26,25.47818374633789
2016-04-27,25.553810119628906
2016-04-28,25.954626083374023
2016-04-29,25.009307861328125
2016-05-02,25.213491439819336
2016-05-03,23.950544357299805
2016-05-04,24.28330421447754
2016-05-05,23.285045623779297
2016-05-06,23.443859100341797
2016-05-09,22.99767303466797
2016-05-10,23.065738677978516
2016-05-11,22.50054168701172
2016-05-12,21.27088165283203
2016-05-13,21.118131637573242
2016-05-16,21.858985900878906
2016-05-17,22.240869522094727
2016-05-18,21.828433990478516
2016-05-19,21.95063591003418
2016-05-20,21.836069107055664
2016-05-23,22.798419952392578
2016-05-24,21.08757972717285
2016-05-25,22.546377182006836
2016-05-26,22.118663787841797
2016-05-27,21.156320571899414
2016-05-31,21.125762939453125
2016-06-01,21.110490798950195
2016-06-02,21.37017059326172
2016-06-03,21.851348876953125
2016-06-06,23.79131317138672
2016-06-07,24.409957885742188
2016-06-08,23.73784637451172
2016-06-09,22.75259017944336
2016-06-10,22.324878692626953
2016-06-13,21.858985900878906
2016-06-14,21.179231643676758
2016-06-15,21.14104652404785
2016-06-16,21.072303771972656
2016-06-17,21.652767181396484
2016-06-20,21.354894638061523
2016-06-21,20.858455657958984
2016-06-22,20.63695526123047
2016-06-23,21.110490798950195
2016-06-24,19.42256736755371
2016-06-27,17.9332275390625
2016-06-28,18.376211166381836
2016-06-29,18.590059280395508
2016-06-30,18.406757354736328
2016-07-01,18.498411178588867
2016-07-05,17.97905158996582
2016-07-06,18.13944435119629
2016-07-07,17.94850730895996
2016-07-08,18.987224578857422
2016-07-11,18.842113494873047
2016-07-12,19.880828857421875
2016-07-13,20.560579299926758
2016-07-14,21.28615951538086
2016-07-15,20.957738876342773
2016-07-18,21.148681640625
2016-07-19,20.27798843383789
2016-07-20,20.323814392089844
2016-07-21,20.079408645629883
2016-07-22,19.23162841796875
2016-07-25,19.34619903564453
2016-07-26,19.705156326293945
2016-07-27,19.407289505004883
2016-07-28,18.83447265625
2016-07-29,18.849742889404297
2016-08-01,18.651166915893555
2016-08-02,18.70462989807129
2016-08-03,18.727540969848633
2016-08-04,16.367504119873047
2016-08-05,16.871593475341797
2016-08-08,17.711734771728516
2016-08-09,16.89451026916504
2016-08-10,16.47443389892578
2016-08-11,17.241226196289062
2016-08-12,17.310941696166992
2016-08-15,17.969297409057617
2016-08-16,17.969297409057617
2016-08-17,18.05448341369629
2016-08-18,17.613000869750977
2016-08-19,17.829872131347656
2016-08-22,18.34881591796875
2016-08-23,19.23179054260254
2016-08-24,18.619909286499023
2016-08-25,18.76706886291504
2016-08-26,18.57343101501465
2016-08-29,19.34796714782715
2016-08-30,20.269676208496094
2016-08-31,20.138002395629883
2016-09-01,19.82818603515625
2016-09-02,20.091527938842773
2016-09-06,19.866910934448242
2016-09-07,19.773963928222656
2016-09-08,20.10701560974121
2016-09-09,19.36345863342285
2016-09-12,19.75847816467285
2016-09-13,18.596668243408203
2016-09-14,18.612165451049805
2016-09-15,18.65863037109375
2016-09-16,18.604421615600586
2016-09-19,18.34107208251953
2016-09-20,18.046743392944336
2016-09-21,17.837615966796875
2016-09-22,17.992525100708008
2016-09-23,17.527803421020508
2016-09-26,17.53554916381836
2016-09-27,17.729183197021484
2016-09-28,18.550195693969727
2016-09-29,18.743833541870117
2016-09-30,18.860013961791992
2016-10-03,18.75157928466797
2016-10-04,18.898740768432617
2016-10-05,19.25502586364746
2016-10-06,19.100122451782227
2016-10-07,18.550195693969727
2016-10-10,18.48048973083496
2016-10-11,18.170669555664062
2016-10-12,17.752424240112305
2016-10-13,17.845365524291992
2016-10-14,17.256715774536133
2016-10-17,17.504566192626953
2016-10-18,18.170669555664062
2016-10-19,18.705101013183594
2016-10-20,19.34796714782715
2016-10-21,20.076038360595703
2016-10-24,19.63455581665039
2016-10-25,19.781713485717773
2016-10-26,19.789457321166992
2016-10-27,18.999420166015625
2016-10-28,18.99168586730957
2016-10-31,18.596668243408203
2016-11-01,19.27825927734375
2016-11-02,19.131099700927734
2016-11-03,17.504566192626953
2016-11-04,17.89958381652832
2016-11-07,18.038999557495117
2016-11-08,18.852262496948242
2016-11-09,20.50977897644043
2016-11-10,21.25402069091797
2016-11-11,21.76323890686035
2016-11-14,22.092269897460938
2016-11-15,21.778913497924805
2016-11-16,21.496883392333984
2016-11-17,21.222684860229492
2016-11-18,22.68766975402832
2016-11-21,23.400575637817383
2016-11-22,22.241117477416992
2016-11-23,22.23328399658203
2016-11-25,22.366472244262695
2016-11-28,22.084444046020508
2016-11-29,21.489044189453125
2016-11-30,22.67200469970703
2016-12-01,22.499650955200195
2016-12-02,22.23328399658203
2016-12-05,22.38997459411621
2016-12-06,22.382137298583984
2016-12-07,23.283063888549805
2016-12-08,23.792280197143555
2016-12-09,24.246665954589844
2016-12-12,22.719009399414062
2016-12-13,22.256792068481445
2016-12-14,22.02176856994629
2016-12-15,22.44481086730957
2016-12-16,23.09504508972168
2016-12-19,22.16278076171875
2016-12-20,22.711170196533203
2016-12-21,22.640663146972656
2016-12-22,23.588598251342773
2016-12-23,24.05864715576172
2016-12-27,25.030073165893555
2016-12-28,24.779380798339844
2016-12-29,24.990909576416016
2016-12-30,24.6618709564209
2017-01-03,24.967409133911133
2017-01-04,25.884000778198242
2017-01-05,25.891836166381836
2017-01-06,26.220863342285156
2017-01-09,26.455886840820312
2017-01-10,25.641141891479492
2017-01-11,26.784921646118164
2017-01-12,27.035621643066406
2017-01-13,26.62040901184082
2017-01-17,25.766481399536133
2017-01-18,25.31993865966797
2017-01-19,25.265098571777344
2017-01-20,26.792762756347656
2017-01-23,27.61533546447754
2017-01-24,28.86881446838379
2017-01-25,28.62594223022461
2017-01-26,28.367427825927734
2017-01-27,28.602441787719727
2017-01-30,27.725021362304688
2017-01-31,27.646682739257812
2017-02-01,28.69645881652832
2017-02-02,27.913034439086914
2017-02-03,27.952213287353516
2017-02-06,27.803361892700195
2017-02-07,27.33330726623535
2017-02-08,27.372482299804688
2017-02-09,27.01995086669922
2017-02-10,28.077558517456055
2017-02-13,28.75912094116211
2017-02-14,28.453588485717773
2017-02-15,27.244991302490234
2017-02-16,26.478744506835938
2017-02-17,26.944812774658203
2017-02-21,26.802621841430664
2017-02-22,26.241769790649414
2017-02-23,25.135848999023438
2017-02-24,24.606595993041992
2017-02-27,24.87517547607422
2017-02-28,24.819875717163086
2017-03-01,25.39653205871582
2017-03-02,24.93046760559082
2017-03-03,24.448606491088867
2017-03-06,24.353809356689453
2017-03-07,23.856151580810547
2017-03-08,23.397987365722656
2017-03-09,23.176807403564453
2017-03-10,23.23999786376953
2017-03-13,23.23999786376953
2017-03-14,22.655445098876953
2017-03-15,22.789735794067383
2017-03-16,22.67914581298828
2017-03-17,23.13730812072754
2017-03-20,24.00623321533203
2017-03-21,23.33479118347168
2017-03-22,23.089908599853516
2017-03-23,23.2163028717041
2017-03-24,23.050411224365234
2017-03-27,23.097816467285156
2017-03-28,23.887754440307617
2017-03-29,24.377511978149414
2017-03-30,23.437480926513672
2017-03-31,23.18470001220703
2017-04-03,22.450054168701172
2017-04-04,23.089908599853516
2017-04-05,22.75023651123047
2017-04-06,23.429588317871094
2017-04-07,23.311092376708984
2017-04-10,23.587568283081055
2017-04-11,23.421689987182617
2017-04-12,22.60804557800293
2017-04-13,22.450054168701172
2017-04-17,21.731218338012695
2017-04-18,21.391544342041016
2017-04-19,21.01237678527832
2017-04-20,20.996578216552734
2017-04-21,20.538414001464844
2017-04-24,20.862287521362305
2017-04-25,21.596921920776367
2017-04-26,21.53373146057129
2017-04-27,21.66801643371582
2017-04-28,21.122962951660156
2017-05-01,21.115060806274414
2017-05-02,20.830686569213867
2017-05-03,20.151334762573242
2017-05-04,21.383642196655273
2017-05-05,22.450054168701172
2017-05-08,21.928701400756836
2017-05-09,21.660118103027344
2017-05-10,21.818111419677734
2017-05-11,21.722278594970703
2017-05-12,21.386856079101562
2017-05-15,22.153528213500977
2017-05-16,22.417062759399414
2017-05-17,21.929916381835938
2017-05-18,21.88998031616211
2017-05-19,22.808385848999023
2017-05-22,22.592763900756836
2017-05-23,23.11984634399414
2017-05-24,22.71255874633789
2017-05-25,22.43303871154785
2017-05-26,22.464988708496094
2017-05-30,22.289289474487305
2017-05-31,21.482694625854492
2017-06-01,21.586509704589844
2017-06-02,21.083383560180664
2017-06-05,20.987552642822266
2017-06-06,20.843795776367188
2017-06-07,20.939638137817383
2017-06-08,21.378873825073242
2017-06-09,21.762210845947266
2017-06-12,21.850053787231445
2017-06-13,22.744508743286133
2017-06-14,21.858041763305664
2017-06-15,21.362899780273438
2017-06-16,22.025747299194336
2017-06-19,22.552827835083008
2017-06-20,21.706300735473633
2017-06-21,21.322967529296875
2017-06-22,21.834083557128906
2017-06-23,21.921932220458984
2017-06-26,21.88998031616211
2017-06-27,21.4587345123291
2017-06-28,21.69831657409668
2017-06-29,21.905954360961914
2017-06-30,22.329219818115234
2017-07-03,23.33547019958496
2017-07-05,22.93617057800293
2017-07-06,22.025747299194336
2017-07-07,22.273317337036133
2017-07-10,23.73478126525879
2017-07-11,23.51116180419922
2017-07-12,23.09588623046875
2017-07-13,23.56707000732422
2017-07-14,23.551095962524414
2017-07-17,23.375404357910156
2017-07-18,23.503183364868164
2017-07-19,24.605260848999023
2017-07-20,24.860824584960938
2017-07-21,24.868812561035156
2017-07-24,24.134090423583984
2017-07-25,24.09415626525879
2017-07-26,23.063949584960938
2017-07-27,23.00804328918457
2017-07-28,23.151790618896484
2017-07-31,23.439294815063477
2017-08-01,23.33547019958496
2017-08-02,22.93617057800293
2017-08-03,24.525409698486328
2017-08-04,25.72332763671875
2017-08-07,25.499711990356445
2017-08-08,25.148326873779297
2017-08-09,25.45978546142578
2017-08-10,24.565338134765625
2017-08-11,24.605661392211914
2017-08-14,24.371782302856445
2017-08-15,24.43630027770996
2017-08-16,24.363718032836914
2017-08-17,23.516910552978516
2017-08-18,23.412076950073242
2017-08-21,23.53304672241211
2017-08-22,23.581436157226562
2017-08-23,23.331424713134766
2017-08-24,23.412076950073242
2017-08-25,23.371753692626953
2017-08-28,23.412076950073242
2017-08-29,23.250776290893555
2017-08-30,23.339492797851562
2017-08-31,23.379812240600586
2017-09-01,24.178226470947266
2017-09-05,23.452394485473633
2017-09-06,25.16213035583496
2017-09-07,25.549243927001953
2017-09-08,25.839570999145508
2017-09-11,26.057327270507812
2017-09-12,25.960546493530273
2017-09-13,25.887958526611328
2017-09-14,26.0976505279541
2017-09-15,26.525075912475586
2017-09-18,28.307395935058594
2017-09-19,28.662250518798828
2017-09-20,28.379976272583008
2017-09-21,29.0009708404541
2017-09-22,28.41223907470703
