Date,AEP
2015-07-01,36.42226028442383
2015-07-02,37.06473159790039
2015-07-06,37.269775390625
2015-07-07,38.32915496826172
2015-07-08,38.29498291015625
2015-07-09,37.946414947509766
2015-07-10,37.97373962402344
2015-07-13,37.8233757019043
2015-07-14,37.72086715698242
2015-07-15,38.05577087402344
2015-07-16,38.52052688598633
2015-07-17,38.0831184387207
2015-07-20,37.960079193115234
2015-07-21,37.51582336425781
2015-07-22,37.734527587890625
2015-07-23,37.31078338623047
2015-07-24,37.3176155090332
2015-07-27,38.096778869628906
2015-07-28,38.19929504394531
2015-07-29,38.233463287353516
2015-07-30,38.49319076538086
2015-07-31,38.6640510559082
2015-08-03,38.99896240234375
2015-08-04,38.54104232788086
2015-08-05,38.7187385559082
2015-08-06,38.81532287597656
2015-08-07,39.16718673706055
2015-08-10,39.125789642333984
2015-08-11,39.22238540649414
2015-08-12,39.71912384033203
2015-08-13,39.7053337097168
2015-08-14,40.15378189086914
2015-08-17,40.25727081298828
2015-08-18,40.20206069946289
2015-08-19,40.5677490234375
2015-08-20,40.27106475830078
2015-08-21,39.52593994140625
2015-08-24,37.8287353515625
2015-08-25,36.579952239990234
2015-08-26,37.26298904418945
2015-08-27,37.883907318115234
2015-08-28,37.877037048339844
2015-08-31,37.45616912841797
2015-09-01,36.559268951416016
2015-09-02,36.573055267333984
2015-09-03,36.807640075683594
2015-09-04,36.2487907409668
2015-09-08,37.311279296875
2015-09-09,36.821434020996094
2015-09-10,36.835235595703125
2015-09-11,37.104312896728516
2015-09-14,37.03530502319336
2015-09-15,37.152591705322266
2015-09-16,37.69074249267578
2015-09-17,38.5462532043457
2015-09-18,38.27718734741211
2015-09-21,38.35995864868164
2015-09-22,37.752830505371094
2015-09-23,37.959808349609375
2015-09-24,38.26337432861328
2015-09-25,38.62904739379883
2015-09-28,38.53934860229492
2015-09-29,38.725624084472656
2015-09-30,39.229286193847656
2015-10-01,38.73253631591797
2015-10-02,38.856719970703125
2015-10-05,39.64323806762695
2015-10-06,39.063697814941406
2015-10-07,38.663536071777344
2015-10-08,39.236175537109375
2015-10-09,39.146484375
2015-10-12,39.71223068237305
2015-10-13,39.77431869506836
2015-10-14,40.119285583496094
2015-10-15,40.512550354003906
2015-10-16,40.388362884521484
2015-10-19,40.4228630065918
2015-10-20,40.47114944458008
2015-10-21,40.664329528808594
2015-10-22,40.82301330566406
2015-10-23,39.65703201293945
2015-10-26,39.8916130065918
2015-10-27,39.78812789916992
2015-10-28,39.374168395996094
2015-10-29,38.78083801269531
2015-10-30,39.084388732910156
2015-11-02,39.249977111816406
2015-11-03,39.153385162353516
2015-11-04,39.125789642333984
2015-11-05,38.974002838134766
2015-11-06,37.60124588012695
2015-11-09,37.92874526977539
2015-11-10,38.395633697509766
2015-11-11,38.7161750793457
2015-11-12,38.5489387512207
2015-11-13,38.36775207519531
2015-11-16,39.16912841796875
2015-11-17,38.36078643798828
2015-11-18,38.61164474487305
2015-11-19,39.24576950073242
2015-11-20,39.399078369140625
2015-11-23,39.01582717895508
2015-11-24,38.8764533996582
2015-11-25,38.75101089477539
2015-11-27,38.9809684753418
2015-11-30,39.02975082397461
2015-12-01,39.53147888183594
2015-12-02,38.555908203125
2015-12-03,38.116905212402344
2015-12-04,38.91130447387695
2015-12-07,39.19697952270508
2015-12-08,38.93916702270508
2015-12-09,39.19697952270508
2015-12-10,38.242332458496094
2015-12-11,38.01934051513672
2015-12-14,38.00541305541992
2015-12-15,39.0506591796875
2015-12-16,39.72658920288086
2015-12-17,40.01229476928711
2015-12-18,39.2178955078125
