Date,RCL
2015-07-01,69.40290832519531
2015-07-02,69.20964050292969
2015-07-06,68.87579345703125
2015-07-07,70.28141784667969
2015-07-08,68.93730926513672
2015-07-09,68.9724349975586
2015-07-10,72.39866638183594
2015-07-13,73.03997802734375
2015-07-14,73.46165466308594
2015-07-15,73.43531799316406
2015-07-16,74.63011169433594
2015-07-17,74.0414810180664
2015-07-20,74.45437622070312
2015-07-21,74.32262420654297
2015-07-22,74.5861587524414
2015-07-23,73.06632995605469
2015-07-24,72.5655746459961
2015-07-27,71.76612854003906
2015-07-28,72.6534423828125
2015-07-29,73.71642303466797
2015-07-30,72.68856811523438
2015-07-31,78.9348373413086
2015-08-03,79.58493041992188
2015-08-04,78.31988525390625
2015-08-05,79.02268981933594
2015-08-06,79.06660461425781
2015-08-07,80.11204528808594
2015-08-10,80.8587875366211
2015-08-11,79.8572769165039
2015-08-12,78.81184387207031
2015-08-13,79.13688659667969
2015-08-14,78.96997833251953
2015-08-17,79.48829650878906
2015-08-18,79.40923309326172
2015-08-19,79.10176086425781
2015-08-20,76.68582153320312
2015-08-21,75.2977523803711
2015-08-24,73.78673553466797
2015-08-25,74.72673797607422
2015-08-26,78.1002426147461
2015-08-27,78.81184387207031
2015-08-28,78.0650863647461
2015-08-31,77.45013427734375
2015-09-01,75.81610107421875
2015-09-02,78.31988525390625
2015-09-03,78.44286346435547
2015-09-04,77.78397369384766
2015-09-08,80.41951751708984
2015-09-09,80.69185638427734
2015-09-10,81.09598541259766
2015-09-11,81.57915496826172
2015-09-14,82.26441955566406
2015-09-15,84.06541442871094
2015-09-16,85.29571533203125
2015-09-17,85.08405303955078
2015-09-18,84.21971893310547
2015-09-21,85.72789764404297
2015-09-22,81.4944076538086
2015-09-23,82.65860748291016
2015-09-24,80.75355529785156
2015-09-25,80.32140350341797
2015-09-28,77.03162384033203
2015-09-29,75.71749114990234
2015-09-30,78.5750732421875
2015-10-01,79.27183532714844
2015-10-02,80.48014831542969
2015-10-05,82.3675765991211
2015-10-06,79.65108489990234
2015-10-07,80.33903503417969
2015-10-08,81.07106018066406
2015-10-09,81.58262634277344
2015-10-12,81.93540954589844
2015-10-13,80.9564208984375
2015-10-14,76.81995391845703
2015-10-15,80.224365234375
2015-10-16,80.98287963867188
2015-10-19,82.82620239257812
2015-10-20,82.87028503417969
2015-10-21,82.34992980957031
2015-10-22,83.52295684814453
2015-10-23,86.42464447021484
2015-10-26,87.07733917236328
2015-10-27,87.98575592041016
2015-10-28,86.05421447753906
2015-10-29,86.398193359375
2015-10-30,86.74215698242188
2015-11-02,86.75981140136719
2015-11-03,85.25162506103516
2015-11-04,86.38937377929688
2015-11-05,87.52710723876953
2015-11-06,87.67707824707031
2015-11-09,86.23062133789062
2015-11-10,87.0949478149414
2015-11-11,86.56578063964844
2015-11-12,86.18653106689453
2015-11-13,84.22854614257812
2015-11-16,83.22309112548828
2015-11-17,82.74684143066406
2015-11-18,83.05552673339844
2015-11-19,83.21426391601562
