Date,CTRA
2021-07-01,17.850000381469727
2021-07-02,17.84000015258789
2021-07-06,17.0
2021-07-07,17.020000457763672
2021-07-08,17.40999984741211
2021-07-09,17.610000610351562
2021-07-12,17.690000534057617
2021-07-13,17.690000534057617
2021-07-14,16.809999465942383
2021-07-15,16.479999542236328
2021-07-16,16.15999984741211
2021-07-19,15.640000343322754
2021-07-20,15.539999961853027
2021-07-21,16.15999984741211
2021-07-22,15.6899995803833
2021-07-23,15.779999732971191
2021-07-26,16.18000030517578
2021-07-27,15.869999885559082
2021-07-28,15.859999656677246
2021-07-29,15.899999618530273
2021-07-30,16.0
2021-08-02,16.1200008392334
2021-08-03,16.360000610351562
2021-08-04,15.859999656677246
2021-08-05,16.040000915527344
2021-08-06,16.280000686645508
2021-08-09,16.0
2021-08-10,16.3799991607666
2021-08-11,16.270000457763672
2021-08-12,16.09000015258789
2021-08-13,15.819999694824219
2021-08-16,15.470000267028809
2021-08-17,15.5
2021-08-18,15.029999732971191
2021-08-19,14.59000015258789
2021-08-20,14.420000076293945
2021-08-23,14.649999618530273
2021-08-24,14.699999809265137
2021-08-25,15.0
2021-08-26,14.710000038146973
2021-08-27,15.630000114440918
2021-08-30,15.739999771118164
2021-08-31,15.890000343322754
2021-09-01,16.260000228881836
2021-09-02,17.350000381469727
2021-09-03,17.809999465942383
2021-09-07,17.760000228881836
2021-09-08,18.40999984741211
2021-09-09,18.530000686645508
2021-09-10,18.31999969482422
2021-09-13,18.979999542236328
2021-09-14,18.65999984741211
2021-09-15,19.979999542236328
2021-09-16,19.3700008392334
2021-09-17,19.40999984741211
2021-09-20,19.3700008392334
2021-09-21,18.979999542236328
2021-09-22,19.360000610351562
2021-09-23,19.780000686645508
2021-09-24,20.34000015258789
2021-09-27,22.059999465942383
2021-09-28,21.81999969482422
2021-09-29,22.549999237060547
2021-09-30,21.760000228881836
2021-10-01,22.25
2021-10-04,22.770000457763672
2021-10-05,22.649999618530273
2021-10-06,22.06999969482422
2021-10-07,22.010000228881836
2021-10-08,22.270000457763672
2021-10-11,21.520000457763672
2021-10-12,21.450000762939453
2021-10-13,20.899999618530273
2021-10-14,20.75
2021-10-15,20.34000015258789
2021-10-18,20.399999618530273
2021-10-19,20.860000610351562
2021-10-20,21.40999984741211
2021-10-21,20.780000686645508
2021-10-22,21.290000915527344
2021-10-25,22.559999465942383
2021-10-26,22.469999313354492
2021-10-27,22.110000610351562
2021-10-28,21.8799991607666
2021-10-29,21.31999969482422
2021-11-01,21.59000015258789
2021-11-02,21.450000762939453
2021-11-03,22.09000015258789
2021-11-04,21.75
2021-11-05,21.579999923706055
2021-11-08,21.65999984741211
2021-11-09,21.360000610351562
2021-11-10,20.270000457763672
2021-11-11,20.850000381469727
