Date,INTU
2015-07-01,92.95536041259766
2015-07-02,92.76324462890625
2015-07-06,93.22976684570312
2015-07-07,94.74826049804688
2015-07-08,94.83992004394531
2015-07-09,94.97747802734375
2015-07-10,95.69270324707031
2015-07-13,96.67384338378906
2015-07-14,97.04058837890625
2015-07-15,97.49906158447266
2015-07-16,99.12208557128906
2015-07-17,97.90253448486328
2015-07-20,97.77418518066406
2015-07-21,97.33406066894531
2015-07-22,97.85669708251953
2015-07-23,98.34270477294922
2015-07-24,97.82919311523438
2015-07-27,96.2795639038086
2015-07-28,96.86637115478516
2015-07-29,96.7563705444336
2015-07-30,96.95807647705078
2015-07-31,96.98558807373047
2015-08-03,96.32538604736328
2015-08-04,96.820556640625
2015-08-05,97.9117202758789
2015-08-06,95.51850128173828
2015-08-07,96.68302917480469
2015-08-10,96.27037811279297
2015-08-11,95.93112182617188
2015-08-12,96.02278900146484
2015-08-13,96.18785095214844
2015-08-14,96.84803771972656
2015-08-17,96.79299926757812
2015-08-18,96.93976593017578
2015-08-19,97.44405364990234
2015-08-20,94.38145446777344
2015-08-21,81.86509704589844
2015-08-24,77.25286865234375
2015-08-25,73.23666381835938
2015-08-26,76.37261962890625
2015-08-27,79.4076919555664
2015-08-28,79.05010223388672
2015-08-31,78.62831115722656
2015-09-01,77.11532592773438
2015-09-02,78.7016372680664
2015-09-03,78.89420318603516
2015-09-04,78.0597915649414
2015-09-08,80.4530258178711
2015-09-09,79.44436645507812
2015-09-10,80.96653747558594
2015-09-11,81.89262390136719
2015-09-14,81.44330596923828
2015-09-15,81.59918975830078
2015-09-16,82.03932189941406
2015-09-17,78.6466064453125
2015-09-18,78.38990020751953
2015-09-21,79.60023498535156
2015-09-22,79.6369400024414
2015-09-23,80.31546783447266
2015-09-24,80.56307220458984
2015-09-25,80.58137512207031
2015-09-28,79.05928039550781
2015-09-29,79.61862182617188
2015-09-30,81.37914276123047
2015-10-01,81.48001098632812
2015-10-02,82.06682586669922
2015-10-05,83.72648620605469
2015-10-06,83.26805114746094
2015-10-07,83.6820297241211
2015-10-08,84.90564727783203
2015-10-09,85.28284454345703
2015-10-12,85.75201416015625
2015-10-13,84.05004119873047
2015-10-14,83.17605590820312
2015-10-15,85.03443145751953
2015-10-16,86.12920379638672
2015-10-19,86.55242919921875
2015-10-20,86.75479888916016
2015-10-21,86.35921478271484
2015-10-22,89.10997009277344
2015-10-23,90.10356903076172
2015-10-26,89.89195251464844
2015-10-27,90.18636322021484
2015-10-28,90.1495590209961
2015-10-29,89.92877197265625
2015-10-30,89.63434600830078
2015-11-02,89.70793914794922
2015-11-03,89.89195251464844
2015-11-04,90.94073486328125
2015-11-05,89.95636749267578
2015-11-06,90.41637420654297
2015-11-09,89.70793914794922
2015-11-10,90.96835327148438
2015-11-11,91.43756103515625
2015-11-12,90.20475006103516
2015-11-13,88.80638122558594
2015-11-16,89.14676666259766
2015-11-17,88.71438598632812
2015-11-18,88.88916778564453
2015-11-19,89.62516021728516
2015-11-20,94.94269561767578
2015-11-23,92.9463119506836
2015-11-24,91.77791595458984
2015-11-25,91.86072540283203
2015-11-27,92.16436004638672
2015-11-30,92.1827163696289
2015-12-01,93.64551544189453
2015-12-02,91.53874969482422
2015-12-03,88.66837310791016
2015-12-04,90.73837280273438
2015-12-07,90.92233276367188
2015-12-08,90.45316314697266
2015-12-09,89.90116119384766
2015-12-10,89.22957611083984
2015-12-11,88.42916870117188
2015-12-14,88.59476470947266
2015-12-15,90.14032745361328
2015-12-16,91.12474060058594
2015-12-17,90.0391616821289
2015-12-18,87.92317199707031
2015-12-21,88.02438354492188
2015-12-22,89.4319839477539
2015-12-23,90.15876770019531
2015-12-24,89.78154754638672
2015-12-28,90.36116790771484
2015-12-29,91.39156341552734
2015-12-30,90.41637420654297
2015-12-31,88.77875518798828
2016-01-04,86.82840728759766
2016-01-05,88.27278900146484
2016-01-06,88.5855712890625
2016-01-07,87.15514373779297
2016-01-08,85.95539855957031
2016-01-11,86.74906921386719
2016-01-12,87.53349304199219
2016-01-13,84.62649536132812
2016-01-14,87.04440307617188
2016-01-15,84.4327163696289
2016-01-19,83.86974334716797
2016-01-20,84.89412689208984
2016-01-21,84.85722351074219
2016-01-22,86.38919067382812
2016-01-25,84.65419006347656
2016-01-26,85.4939956665039
2016-01-27,83.76824188232422
2016-01-28,84.93106079101562
2016-01-29,88.14260864257812
2016-02-01,88.93626403808594
2016-02-02,86.88752746582031
2016-02-03,88.49327850341797
2016-02-04,89.2869644165039
2016-02-05,84.70956420898438
2016-02-08,83.90666198730469
2016-02-09,83.1775894165039
2016-02-10,83.29757690429688
2016-02-11,84.35885620117188
2016-02-12,87.26587677001953
2016-02-16,88.00414276123047
2016-02-17,90.77276611328125
2016-02-18,89.02854919433594
2016-02-19,89.69300079345703
2016-02-22,90.67127990722656
2016-02-23,89.84989929199219
2016-02-24,91.20649719238281
2016-02-25,92.35086059570312
2016-02-26,88.36407470703125
2016-02-29,89.18543243408203
2016-03-01,91.23418426513672
2016-03-02,91.02193450927734
2016-03-03,90.17290496826172
2016-03-04,91.5295181274414
2016-03-07,91.71407318115234
2016-03-08,91.61255645751953
2016-03-09,91.79714965820312
2016-03-10,90.458984375
2016-03-11,92.24934387207031
2016-03-14,91.76022338867188
2016-03-15,91.66793823242188
2016-03-16,92.55388641357422
2016-03-17,93.05225372314453
2016-03-18,94.14122009277344
2016-03-21,94.14122009277344
2016-03-22,94.2704086303711
2016-03-23,93.8551254272461
2016-03-24,94.03047180175781
2016-03-28,94.17811584472656
2016-03-29,94.65802001953125
2016-03-30,95.22096252441406
2016-03-31,95.9869613647461
2016-04-01,96.614501953125
2016-04-04,96.8636474609375
2016-04-05,95.88542175292969
2016-04-06,97.02056121826172
2016-04-07,95.48421478271484
2016-04-08,95.67854309082031
2016-04-11,94.97517395019531
2016-04-12,95.05848693847656
2016-04-13,95.61376953125
2016-04-14,95.26207733154297
2016-04-15,95.1695327758789
2016-04-18,96.05803680419922
2016-04-19,96.17833709716797
2016-04-20,96.01174926757812
2016-04-21,94.67902374267578
2016-04-22,94.70680236816406
2016-04-25,94.73455047607422
2016-04-26,96.17833709716797
2016-04-27,95.79889678955078
2016-04-28,93.81830596923828
2016-04-29,93.37407684326172
2016-05-02,94.595703125
2016-05-03,93.84609985351562
2016-05-04,92.44857788085938
2016-05-05,92.92058563232422
2016-05-06,93.51286315917969
2016-05-09,94.0959701538086
2016-05-10,95.14177703857422
2016-05-11,94.69752502441406
2016-05-12,94.595703125
2016-05-13,94.42913818359375
2016-05-16,96.00250244140625
2016-05-17,94.54019165039062
2016-05-18,95.0492172241211
2016-05-19,93.86455535888672
2016-05-20,95.3546371459961
2016-05-23,96.82618713378906
2016-05-24,99.31578826904297
2016-05-25,97.19639587402344
2016-05-26,98.87153625488281
2016-05-27,99.85259246826172
2016-05-31,98.7142105102539
2016-06-01,99.21398162841797
2016-06-02,100.06543731689453
2016-06-03,99.44534301757812
2016-06-06,100.07471466064453
2016-06-07,100.37085723876953
2016-06-08,99.42684173583984
2016-06-09,99.51014709472656
2016-06-10,98.51060485839844
2016-06-13,97.7887191772461
2016-06-14,98.30699920654297
2016-06-15,98.36251831054688
2016-06-16,98.5568618774414
2016-06-17,97.51106262207031
2016-06-20,99.35281372070312
2016-06-21,99.86186218261719
2016-06-22,98.5198745727539
2016-06-23,100.83360290527344
2016-06-24,97.48331451416016
2016-06-27,96.41897583007812
2016-06-28,98.0941390991211
2016-06-29,101.1482925415039
2016-06-30,103.29547882080078
2016-07-01,103.5731201171875
2016-07-05,104.34126281738281
2016-07-06,104.8410415649414
2016-07-07,105.73880004882812
2016-07-08,107.1585464477539
2016-07-11,107.2977294921875
2016-07-12,107.95655822753906
2016-07-13,107.56682586669922
2016-07-14,108.00296020507812
2016-07-15,106.694580078125
2016-07-18,106.94511413574219
2016-07-19,106.50898742675781
2016-07-20,106.51828002929688
2016-07-21,105.03357696533203
2016-07-22,105.84087371826172
2016-07-25,105.7387924194336
2016-07-26,105.43257141113281
2016-07-27,104.4303970336914
2016-07-28,103.9664306640625
2016-07-29,102.99208068847656
2016-08-01,102.77867126464844
2016-08-02,101.34962463378906
2016-08-03,101.91568756103516
2016-08-04,101.98066711425781
2016-08-05,103.45606231689453
2016-08-08,103.94786834716797
2016-08-09,104.04991149902344
2016-08-10,104.72734832763672
2016-08-11,104.99642944335938
2016-08-12,104.0127944946289
2016-08-15,105.15418243408203
2016-08-16,104.36544036865234
2016-08-17,104.61595916748047
2016-08-18,104.4303970336914
2016-08-19,104.67166900634766
2016-08-22,104.4303970336914
2016-08-23,105.63671875
2016-08-24,101.9342269897461
2016-08-25,102.07341003417969
2016-08-26,102.370361328125
2016-08-29,102.77867126464844
2016-08-30,103.14057159423828
2016-08-31,103.4189453125
2016-09-01,104.24479675292969
2016-09-02,103.99427032470703
2016-09-06,103.34468841552734
2016-09-07,103.90147399902344
2016-09-08,102.96424102783203
2016-09-09,101.37745666503906
2016-09-12,101.64657592773438
2016-09-13,99.01119995117188
2016-09-14,100.31961822509766
2016-09-15,101.8507308959961
2016-09-16,101.14549255371094
2016-09-19,101.12689208984375
2016-09-20,101.1176528930664
2016-09-21,102.79722595214844
2016-09-22,102.77867126464844
2016-09-23,101.98066711425781
2016-09-26,101.12689208984375
2016-09-27,102.17550659179688
2016-09-28,102.24044036865234
2016-09-29,101.43313598632812
2016-09-30,102.08271026611328
2016-10-03,101.29395294189453
2016-10-04,101.48886108398438
2016-10-05,101.0978775024414
2016-10-06,101.31198120117188
2016-10-07,100.01811981201172
2016-10-10,100.6697006225586
2016-10-11,99.58992767333984
2016-10-12,100.09255981445312
2016-10-13,99.41304779052734
2016-10-14,99.58992767333984
2016-10-17,99.4875259399414
2016-10-18,99.73885345458984
2016-10-19,100.70692443847656
2016-10-20,100.43698120117188
2016-10-21,100.94893646240234
2016-10-24,102.04732513427734
2016-10-25,100.82794189453125
2016-10-26,100.36250305175781
2016-10-27,99.88780212402344
2016-10-28,100.68830108642578
2016-10-31,101.21890258789062
2016-11-01,99.96224975585938
2016-11-02,98.85455322265625
2016-11-03,98.29605102539062
2016-11-04,97.99820709228516
2016-11-07,100.43698120117188
2016-11-08,100.85585021972656
2016-11-09,101.79600524902344
2016-11-10,101.67498016357422
2016-11-11,103.67628479003906
