Date,KIM
2015-07-01,13.5675048828125
2015-07-02,13.66897964477539
2015-07-06,13.836111068725586
2015-07-07,14.134560585021973
2015-07-08,14.230061531066895
2015-07-09,14.104715347290039
2015-07-10,14.253937721252441
2015-07-13,14.349442481994629
2015-07-14,14.391228675842285
2015-07-15,14.48076057434082
2015-07-16,14.647891998291016
2015-07-17,14.594168663024902
2015-07-20,14.594168663024902
2015-07-21,14.522544860839844
2015-07-22,14.653862953186035
2015-07-23,14.415101051330566
2015-07-24,14.498662948608398
2015-07-27,14.522544860839844
2015-07-28,14.570291519165039
2015-07-29,14.629988670349121
2015-07-30,14.594168663024902
2015-07-31,14.749361038208008
2015-08-03,14.958276748657227
2015-08-04,14.850836753845215
2015-08-05,14.713549613952637
2015-08-06,14.815020561218262
2015-08-07,14.868744850158691
2015-08-10,14.725483894348145
2015-08-11,14.862776756286621
2015-08-12,15.017970085144043
2015-08-13,15.113471984863281
2015-08-14,15.161223411560059
2015-08-17,15.25075912475586
2015-08-18,15.31641674041748
2015-08-19,15.161223411560059
2015-08-20,15.029906272888184
2015-08-21,14.653862953186035
2015-08-24,13.907737731933594
2015-08-25,13.489911079406738
2015-08-26,14.056963920593262
2015-08-27,14.212158203125
2015-08-28,14.074867248535156
2015-08-31,13.758516311645508
2015-09-01,13.454092025756836
2015-09-02,13.585411071777344
2015-09-03,13.627197265625
2015-09-04,13.298901557922363
2015-09-08,13.513784408569336
2015-09-09,13.286961555480957
2015-09-10,13.406343460083008
2015-09-11,13.728666305541992
2015-09-14,13.704793930053711
2015-09-15,13.8898286819458
2015-09-16,14.080838203430176
2015-09-17,14.230061531066895
2015-09-18,14.403162002563477
2015-09-21,14.498662948608398
2015-09-22,14.361383438110352
2015-09-23,14.462852478027344
2015-09-24,14.283782005310059
2015-09-25,14.397194862365723
2015-09-28,14.134560585021973
2015-09-29,14.373324394226074
2015-09-30,14.582230567932129
2015-10-01,14.763083457946777
2015-10-02,15.004207611083984
2015-10-05,15.227249145507812
2015-10-06,15.076542854309082
