Date,AMP
2015-07-01,126.1500015258789
2015-07-02,125.2300033569336
2015-07-06,123.68000030517578
2015-07-07,123.83000183105469
2015-07-08,121.97000122070312
2015-07-09,123.08999633789062
2015-07-10,123.68000030517578
2015-07-13,125.44999694824219
2015-07-14,125.66999816894531
2015-07-15,125.93000030517578
2015-07-16,127.88999938964844
2015-07-17,127.62999725341797
2015-07-20,128.2899932861328
2015-07-21,127.63999938964844
2015-07-22,126.80999755859375
2015-07-23,126.20999908447266
2015-07-24,124.04000091552734
2015-07-27,122.95999908447266
2015-07-28,125.26000213623047
2015-07-29,126.72000122070312
2015-07-30,126.58000183105469
2015-07-31,125.66999816894531
2015-08-03,125.58999633789062
2015-08-04,125.13999938964844
2015-08-05,125.16999816894531
2015-08-06,123.69999694824219
2015-08-07,123.05000305175781
2015-08-10,125.13999938964844
2015-08-11,123.41999816894531
2015-08-12,121.8499984741211
2015-08-13,121.62000274658203
2015-08-14,122.95999908447266
2015-08-17,124.13999938964844
2015-08-18,122.47000122070312
2015-08-19,120.97000122070312
2015-08-20,118.87999725341797
2015-08-21,114.83999633789062
2015-08-24,109.12999725341797
2015-08-25,107.27999877929688
2015-08-26,112.05000305175781
2015-08-27,114.95999908447266
2015-08-28,114.13999938964844
2015-08-31,112.66999816894531
2015-09-01,109.0999984741211
2015-09-02,109.55999755859375
2015-09-03,109.62000274658203
2015-09-04,108.5199966430664
2015-09-08,111.06999969482422
2015-09-09,108.88999938964844
2015-09-10,109.55999755859375
2015-09-11,109.72000122070312
2015-09-14,108.91999816894531
2015-09-15,109.83999633789062
2015-09-16,110.62999725341797
2015-09-17,109.5199966430664
2015-09-18,107.41000366210938
2015-09-21,108.79000091552734
2015-09-22,107.5
2015-09-23,106.91999816894531
2015-09-24,106.88999938964844
2015-09-25,108.05999755859375
2015-09-28,103.79000091552734
2015-09-29,106.44999694824219
2015-09-30,109.12999725341797
2015-10-01,109.61000061035156
2015-10-02,108.58999633789062
2015-10-05,111.87999725341797
2015-10-06,111.0199966430664
2015-10-07,111.86000061035156
2015-10-08,112.05000305175781
2015-10-09,111.0999984741211
2015-10-12,109.83000183105469
2015-10-13,107.98999786376953
2015-10-14,107.56999969482422
2015-10-15,110.62000274658203
2015-10-16,111.56999969482422
2015-10-19,111.25
2015-10-20,112.30000305175781
2015-10-21,111.55999755859375
2015-10-22,114.08999633789062
2015-10-23,116.08000183105469
2015-10-26,115.5
2015-10-27,113.0
2015-10-28,115.9800033569336
2015-10-29,115.41000366210938
2015-10-30,115.36000061035156
2015-11-02,117.20999908447266
2015-11-03,117.80000305175781
2015-11-04,115.88999938964844
2015-11-05,117.05000305175781
2015-11-06,119.27999877929688
2015-11-09,117.38999938964844
2015-11-10,116.55000305175781
2015-11-11,116.05000305175781
2015-11-12,113.75
2015-11-13,112.48999786376953
2015-11-16,113.47000122070312
2015-11-17,112.97000122070312
2015-11-18,115.47000122070312
2015-11-19,114.97000122070312
2015-11-20,114.48999786376953
2015-11-23,113.62000274658203
2015-11-24,112.5999984741211
2015-11-25,113.0199966430664
2015-11-27,113.51000213623047
2015-11-30,112.94999694824219
2015-12-01,114.61000061035156
2015-12-02,113.0
2015-12-03,111.30000305175781
2015-12-04,114.94000244140625
2015-12-07,113.30999755859375
2015-12-08,111.56999969482422
2015-12-09,108.83000183105469
2015-12-10,108.79000091552734
2015-12-11,105.1500015258789
2015-12-14,104.95999908447266
2015-12-15,105.87999725341797
2015-12-16,107.55999755859375
2015-12-17,105.0999984741211
2015-12-18,103.08000183105469
2015-12-21,105.43000030517578
2015-12-22,107.16999816894531
2015-12-23,108.68000030517578
2015-12-24,107.94000244140625
2015-12-28,107.80000305175781
2015-12-29,108.58000183105469
2015-12-30,107.29000091552734
2015-12-31,106.41999816894531
2016-01-04,104.25
2016-01-05,103.83999633789062
2016-01-06,100.30999755859375
2016-01-07,97.12999725341797
2016-01-08,94.94000244140625
2016-01-11,95.66000366210938
