Date,EL
2015-07-01,76.41273498535156
2015-07-02,76.2820053100586
2015-07-06,75.76778411865234
2015-07-07,76.9095687866211
2015-07-08,75.13150024414062
2015-07-09,75.14894104003906
2015-07-10,76.19486236572266
2015-07-13,77.72887420654297
2015-07-14,77.74629974365234
2015-07-15,77.93803405761719
2015-07-16,77.84217834472656
2015-07-17,77.29306030273438
2015-07-20,77.16233825683594
2015-07-21,77.78114318847656
2015-07-22,77.85089874267578
2015-07-23,77.70269775390625
2015-07-24,77.04901123046875
2015-07-27,75.71546173095703
2015-07-28,76.71781158447266
2015-07-29,78.11237335205078
2015-07-30,78.0339126586914
2015-07-31,77.66785430908203
2015-08-03,78.01648712158203
2015-08-04,78.60916900634766
2015-08-05,79.32389831542969
2015-08-06,78.47843170166016
2015-08-07,78.85321044921875
2015-08-10,78.34768676757812
2015-08-11,78.6875991821289
2015-08-12,77.43251037597656
2015-08-13,78.2779541015625
2015-08-14,77.41506958007812
2015-08-17,72.16808319091797
2015-08-18,73.05709075927734
2015-08-19,72.70846557617188
2015-08-20,71.6277084350586
2015-08-21,69.57943725585938
2015-08-24,66.72933197021484
2015-08-25,66.00588989257812
2015-08-26,68.33305358886719
2015-08-27,70.0029296875
2015-08-28,70.24771881103516
2015-08-31,69.74063110351562
2015-09-01,67.52001190185547
2015-09-02,68.84014892578125
2015-09-03,69.30349731445312
2015-09-04,67.6249008178711
2015-09-08,67.88719177246094
2015-09-09,66.84680938720703
2015-09-10,66.4533920288086
2015-09-11,66.81182098388672
2015-09-14,66.7768783569336
2015-09-15,67.66861724853516
2015-09-16,68.28937530517578
2015-09-17,68.94506072998047
2015-09-18,67.87845611572266
2015-09-21,68.6390609741211
2015-09-22,67.6249008178711
2015-09-23,68.49915313720703
2015-09-24,68.66529083251953
2015-09-25,69.74063110351562
2015-09-28,67.48504638671875
2015-09-29,68.8314208984375
2015-09-30,70.53621673583984
2015-10-01,70.77228546142578
2015-10-02,71.01708984375
2015-10-05,72.63446807861328
2015-10-06,72.63446807861328
2015-10-07,72.54703521728516
2015-10-08,73.3601303100586
2015-10-09,73.83224487304688
2015-10-12,73.90215301513672
2015-10-13,72.6082534790039
2015-10-14,72.6781997680664
2015-10-15,73.74481964111328
2015-10-16,74.11199951171875
2015-10-19,73.26396942138672
2015-10-20,73.21150970458984
2015-10-21,72.8617935180664
2015-10-22,73.95460510253906
2015-10-23,73.62240600585938
2015-10-26,73.34264373779297
2015-10-27,73.15030670166016
2015-10-28,72.78311920166016
2015-10-29,71.90007781982422
2015-10-30,70.3438949584961
2015-11-02,76.0354232788086
2015-11-03,75.91301727294922
2015-11-04,75.09994506835938
2015-11-05,75.8255844116211
2015-11-06,74.89885711669922
2015-11-09,74.007080078125
2015-11-10,74.65400695800781
2015-11-11,75.03873443603516
2015-11-12,73.74481964111328
2015-11-13,72.26728820800781
2015-11-16,72.6082534790039
2015-11-17,71.74273681640625
2015-11-18,73.22026824951172
2015-11-19,73.9371337890625
2015-11-20,73.78849792480469
2015-11-23,74.6715316772461
2015-11-24,74.81141662597656
2015-11-25,74.92546844482422
2015-11-27,74.82897186279297
2015-11-30,73.802490234375
2015-12-01,74.60086059570312
2015-12-02,73.51294708251953
2015-12-03,73.54802703857422
2015-12-04,74.9518051147461
2015-12-07,76.31169128417969
2015-12-08,76.39942932128906
2015-12-09,75.66246032714844
2015-12-10,76.20637512207031
2015-12-11,74.1358642578125
2015-12-14,75.05709838867188
2015-12-15,76.75035858154297
2015-12-16,78.31201934814453
2015-12-17,78.2681655883789
2015-12-18,76.6889419555664
2015-12-21,77.39080810546875
2015-12-22,77.77685546875
2015-12-23,78.3997802734375
2015-12-24,77.90843963623047
2015-12-28,77.78565979003906
2015-12-29,78.43486785888672
2015-12-30,78.1102294921875
2015-12-31,77.25918579101562
2016-01-04,76.51348876953125
2016-01-05,77.2153549194336
2016-01-06,74.65350341796875
2016-01-07,73.10936737060547
2016-01-08,72.66191864013672
2016-01-11,72.71456909179688
2016-01-12,73.89897155761719
2016-01-13,72.90756225585938
2016-01-14,73.94283294677734
2016-01-15,72.24958038330078
2016-01-19,73.5918960571289
2016-01-20,72.75845336914062
2016-01-21,73.08304595947266
2016-01-22,75.17991638183594
2016-01-25,73.23219299316406
2016-01-26,73.33748626708984
