Date,CI
2015-07-01,147.24830627441406
2015-07-02,146.5667724609375
2015-07-06,145.44906616210938
2015-07-07,140.3330078125
2015-07-08,136.70721435546875
2015-07-09,142.26852416992188
2015-07-10,142.85923767089844
2015-07-13,140.8964385986328
2015-07-14,141.71424865722656
2015-07-15,141.8233184814453
2015-07-16,140.20578002929688
2015-07-17,139.4061279296875
2015-07-20,138.9699249267578
2015-07-21,137.47959899902344
2015-07-22,137.27969360351562
2015-07-23,140.2693634033203
2015-07-24,132.4180450439453
2015-07-27,132.58163452148438
2015-07-28,132.5543975830078
2015-07-29,132.1363983154297
2015-07-30,130.76419067382812
2015-07-31,130.9096221923828
2015-08-03,130.27352905273438
2015-08-04,130.75514221191406
2015-08-05,134.0810089111328
2015-08-06,133.3994903564453
2015-08-07,132.5362091064453
2015-08-10,132.38168334960938
2015-08-11,131.47300720214844
2015-08-12,130.26443481445312
2015-08-13,130.1099395751953
2015-08-14,130.96412658691406
2015-08-17,133.20864868164062
2015-08-18,134.93521118164062
2015-08-19,135.5349578857422
2015-08-20,131.98191833496094
2015-08-21,129.68284606933594
2015-08-24,123.3581771850586
2015-08-25,121.57709503173828
2015-08-26,124.99388122558594
2015-08-27,125.67539978027344
2015-08-28,125.28463745117188
2015-08-31,127.93810272216797
2015-09-01,126.3115234375
2015-09-02,126.62047576904297
2015-09-03,128.6923370361328
2015-09-04,126.65682220458984
2015-09-08,128.17440795898438
2015-09-09,126.99303436279297
2015-09-10,124.9120864868164
2015-09-11,126.87490844726562
2015-09-14,126.62047576904297
2015-09-15,127.8472671508789
2015-09-16,129.5738067626953
2015-09-17,129.7191925048828
2015-09-18,128.6923370361328
2015-09-21,129.11941528320312
2015-09-22,128.2652587890625
2015-09-23,129.68284606933594
2015-09-24,128.14712524414062
2015-09-25,124.93026733398438
2015-09-28,120.85922241210938
2015-09-29,120.40484619140625
2015-09-30,122.69478607177734
2015-10-01,123.06737518310547
2015-10-02,125.92987823486328
2015-10-05,126.93848419189453
2015-10-06,124.23052215576172
2015-10-07,124.15782928466797
2015-10-08,121.43170928955078
2015-10-09,123.91254425048828
2015-10-12,125.04839324951172
2015-10-13,126.17522430419922
2015-10-14,125.03932189941406
2015-10-15,126.393310546875
2015-10-16,127.89265441894531
2015-10-19,128.94676208496094
2015-10-20,129.22850036621094
2015-10-21,124.13968658447266
2015-10-22,117.66963195800781
2015-10-23,120.44119262695312
2015-10-26,120.97731018066406
2015-10-27,124.46683502197266
2015-10-28,123.63080596923828
2015-10-29,123.17643737792969
2015-10-30,121.80426025390625
2015-11-02,121.54077911376953
2015-11-03,119.90503692626953
2015-11-04,118.07853698730469
2015-11-05,120.31398010253906
2015-11-06,120.68656158447266
2015-11-09,120.80469512939453
