Date,PRU
2015-07-01,55.29066467285156
2015-07-02,54.7873420715332
2015-07-06,54.377220153808594
2015-07-07,54.06031799316406
2015-07-08,52.73056411743164
2015-07-09,53.264957427978516
2015-07-10,54.28402328491211
2015-07-13,55.06074905395508
2015-07-14,55.14772415161133
2015-07-15,55.1042366027832
2015-07-16,55.632423400878906
2015-07-17,55.15394973754883
2015-07-20,55.08560562133789
2015-07-21,55.12288284301758
2015-07-22,55.14772415161133
2015-07-23,54.9116325378418
2015-07-24,54.58848571777344
2015-07-27,54.078975677490234
2015-07-28,54.681705474853516
2015-07-29,55.65107345581055
2015-07-30,55.71940231323242
2015-07-31,54.90538787841797
2015-08-03,55.39006423950195
2015-08-04,55.825050354003906
2015-08-05,55.83747863769531
2015-08-06,56.334590911865234
2015-08-07,55.55785369873047
2015-08-10,56.96839141845703
2015-08-11,55.582706451416016
2015-08-12,54.97996520996094
2015-08-13,55.470848083496094
2015-08-14,55.98662185668945
2015-08-17,55.4957275390625
2015-08-18,55.38387680053711
2015-08-19,54.49529266357422
2015-08-20,52.74919891357422
2015-08-21,50.53438186645508
2015-08-24,47.49367141723633
2015-08-25,46.43629837036133
2015-08-26,48.463443756103516
2015-08-27,50.753360748291016
2015-08-28,50.80340576171875
2015-08-31,50.49056625366211
2015-09-01,48.250728607177734
2015-09-02,49.3894157409668
2015-09-03,49.433204650878906
2015-09-04,48.23821258544922
2015-09-08,49.98377227783203
2015-09-09,49.10787582397461
2015-09-10,49.39567947387695
2015-09-11,49.420711517333984
2015-09-14,49.120391845703125
2015-09-15,50.340423583984375
2015-09-16,50.60319519042969
2015-09-17,48.9201774597168
2015-09-18,47.44361877441406
2015-09-21,48.26948165893555
2015-09-22,47.44987487792969
2015-09-23,47.69388961791992
2015-09-24,47.56874465942383
2015-09-25,48.33208084106445
2015-09-28,46.63652420043945
2015-09-29,46.91807556152344
2015-09-30,47.68138122558594
2015-10-01,47.73769760131836
2015-10-02,47.174564361572266
2015-10-05,48.3508186340332
2015-10-06,47.994205474853516
2015-10-07,48.66365051269531
2015-10-08,48.97649002075195
2015-10-09,48.85136795043945
2015-10-12,48.763771057128906
2015-10-13,48.26948165893555
2015-10-14,47.862815856933594
2015-10-15,49.04531478881836
2015-10-16,49.59588623046875
2015-10-19,49.558349609375
