Date,NWSA
2015-07-01,12.803150177001953
2015-07-02,12.768167495727539
2015-07-06,12.505810737609863
2015-07-07,12.54953670501709
2015-07-08,12.383374214172363
2015-07-09,12.400864601135254
2015-07-10,12.462081909179688
2015-07-13,12.619498252868652
2015-07-14,12.619498252868652
2015-07-15,12.619498252868652
2015-07-16,12.820640563964844
2015-07-17,12.95181941986084
2015-07-20,13.030529022216797
2015-07-21,12.750679016113281
2015-07-22,12.776912689208984
2015-07-23,12.8731107711792
2015-07-24,12.995545387268066
2015-07-27,12.96930980682373
2015-07-28,12.934330940246582
2015-07-29,12.96930980682373
2015-07-30,12.943077087402344
2015-07-31,12.881855964660645
2015-08-03,12.715696334838867
2015-08-04,12.73318862915039
2015-08-05,12.768167495727539
2015-08-06,12.260940551757812
2015-08-07,12.339646339416504
2015-08-10,12.54953670501709
2015-08-11,12.208468437194824
2015-08-12,12.348392486572266
2015-08-13,13.284139633178711
2015-08-14,13.275398254394531
2015-08-17,13.336614608764648
2015-08-18,13.231670379638672
2015-08-19,13.144218444824219
2015-08-20,12.47082805633545
2015-08-21,12.164743423461914
2015-08-24,11.403899192810059
2015-08-25,11.31644344329834
2015-08-26,11.561314582824707
2015-08-27,11.911127090454102
2015-08-28,12.06854248046875
2015-08-31,11.919870376586914
2015-09-01,11.430134773254395
2015-09-02,11.4826078414917
2015-09-03,11.64876651763916
2015-09-04,11.211503028869629
2015-09-08,11.675003051757812
2015-09-09,11.561314582824707
2015-09-10,11.377663612365723
2015-09-11,11.412642478942871
2015-09-14,11.289264678955078
2015-09-15,11.403829574584961
2015-09-16,11.491961479187012
2015-09-17,11.641778945922852
2015-09-18,11.386205673217773
2015-09-21,11.395018577575684
2015-09-22,11.271636962890625
2015-09-23,11.236385345458984
2015-09-24,11.306889533996582
2015-09-25,11.236385345458984
2015-09-28,10.830994606018066
2015-09-29,10.804557800292969
2015-09-30,11.121819496154785
2015-10-01,11.218761444091797
2015-10-02,11.491961479187012
2015-10-05,11.818036079406738
2015-10-06,11.897350311279297
2015-10-07,12.011916160583496
2015-10-08,12.382059097290039
2015-10-09,12.302742004394531
2015-10-12,12.25867748260498
2015-10-13,12.25867748260498
2015-10-14,12.320366859436035
2015-10-15,12.593564987182617
2015-10-16,12.857952117919922
2015-10-19,12.849136352539062
2015-10-20,12.840325355529785
2015-10-21,12.549500465393066
2015-10-22,12.946078300476074
2015-10-23,13.21927547454834
2015-10-26,12.963706970214844
2015-10-27,12.946078300476074
2015-10-28,13.21927547454834
2015-10-29,13.325033187866211
2015-10-30,13.571791648864746
2015-11-02,13.77448844909668
2015-11-03,13.580605506896973
2015-11-04,13.607044219970703
2015-11-05,13.527728080749512
2015-11-06,13.113524436950684
2015-11-09,12.708131790161133
2015-11-10,12.725757598876953
2015-11-11,12.672879219055176
2015-11-12,12.434934616088867
2015-11-13,12.144110679626465
2015-11-16,12.46137523651123
2015-11-17,12.46137523651123
2015-11-18,12.575940132141113
2015-11-19,12.505436897277832
2015-11-20,12.567127227783203
2015-11-23,12.620004653930664
2015-11-24,12.716947555541992
2015-11-25,12.716947555541992
2015-11-27,12.558316230773926
2015-11-30,12.646442413330078
2015-12-01,12.893203735351562
2015-12-02,12.699320793151855
2015-12-03,12.144110679626465
2015-12-04,12.39087200164795
2015-12-07,12.223426818847656
2015-12-08,11.897350311279297
2015-12-09,11.897350311279297
2015-12-10,12.117673873901367
2015-12-11,11.738718032836914
2015-12-14,11.68584156036377
2015-12-15,11.862098693847656
2015-12-16,12.047171592712402
2015-12-17,11.773970603942871
2015-12-18,11.615339279174805
2015-12-21,11.773970603942871
2015-12-22,11.729907035827637
2015-12-23,12.073607444763184
2015-12-24,12.003103256225586
2015-12-28,11.914976119995117
2015-12-29,12.091233253479004
2015-12-30,11.914976119995117
2015-12-31,11.773970603942871
2016-01-04,11.641778945922852
2016-01-05,11.254013061523438
2016-01-06,11.20113468170166
2016-01-07,10.945562362670898
2016-01-08,11.086565971374512
2016-01-11,10.760492324829102
2016-01-12,10.954375267028809
2016-01-13,10.742865562438965
2016-01-14,11.20113468170166
2016-01-15,11.024882316589355
2016-01-19,10.883871078491211
2016-01-20,10.707615852355957
2016-01-21,10.901498794555664
2016-01-22,11.192320823669434
2016-01-25,11.016066551208496
2016-01-26,11.280449867248535
2016-01-27,11.192320823669434
2016-01-28,11.315701484680176
2016-01-29,11.430268287658691
2016-02-01,11.192320823669434
2016-02-02,10.681175231933594
2016-02-03,10.786930084228516
2016-02-04,10.760492324829102
2016-02-05,9.782265663146973
2016-02-08,9.306373596191406
2016-02-09,9.244683265686035
2016-02-10,9.341621398925781
2016-02-11,9.165365219116211
2016-02-12,9.47381591796875
2016-02-16,9.64126205444336
2016-02-17,9.694138526916504
2016-02-18,9.561945915222168
2016-02-19,9.623634338378906
2016-02-22,9.782265663146973
2016-02-23,9.597193717956543
2016-02-24,9.509065628051758
2016-02-25,9.579571723937988
2016-02-26,9.623634338378906
2016-02-29,9.535508155822754
2016-03-01,9.491442680358887
2016-03-02,9.597193717956543
2016-03-03,9.614822387695312
2016-03-04,9.694138526916504
2016-03-07,10.058781623840332
2016-03-08,9.71192455291748
2016-03-09,9.863119125366211
2016-03-10,9.863119125366211
2016-03-11,10.450103759765625
2016-03-14,10.281124114990234
2016-03-15,10.29001522064209
2016-03-16,10.725808143615723
2016-03-17,11.06376838684082
2016-03-18,10.948151588439941
2016-03-21,11.010405540466309
2016-03-22,11.241643905639648
2016-03-23,11.152705192565918
2016-03-24,11.117131233215332
2016-03-28,11.428410530090332
2016-03-29,11.43730354309082
2016-03-30,11.339471817016602
2016-03-31,11.357260704040527
2016-04-01,11.588496208190918
2016-04-04,11.348366737365723
2016-04-05,11.214960098266602
2016-04-06,11.357260704040527
2016-04-07,11.197174072265625
2016-04-08,11.037088394165039
2016-04-11,10.9303617477417
2016-04-12,11.090448379516602
2016-04-13,11.295002937316895
2016-04-14,11.321685791015625
2016-04-15,11.295002937316895
2016-04-18,11.081554412841797
2016-04-19,11.152705192565918
2016-04-20,11.152705192565918
