Date,EFX
2015-07-01,98.4000015258789
2015-07-02,98.20999908447266
2015-07-06,97.80000305175781
2015-07-07,97.94999694824219
2015-07-08,96.29000091552734
2015-07-09,96.45999908447266
2015-07-10,97.7699966430664
2015-07-13,99.30000305175781
2015-07-14,98.55999755859375
2015-07-15,98.62999725341797
2015-07-16,100.12999725341797
2015-07-17,98.55000305175781
2015-07-20,98.75
2015-07-21,98.08999633789062
2015-07-22,98.83999633789062
2015-07-23,100.12999725341797
2015-07-24,100.04000091552734
2015-07-27,98.51000213623047
2015-07-28,100.18000030517578
2015-07-29,102.20999908447266
2015-07-30,102.16000366210938
2015-07-31,102.12999725341797
2015-08-03,102.0
2015-08-04,102.62000274658203
2015-08-05,103.5199966430664
2015-08-06,102.30999755859375
2015-08-07,103.08999633789062
2015-08-10,104.63999938964844
2015-08-11,103.52999877929688
2015-08-12,102.66999816894531
2015-08-13,103.86000061035156
2015-08-14,104.4800033569336
2015-08-17,105.47000122070312
2015-08-18,105.20999908447266
2015-08-19,104.7300033569336
2015-08-20,101.81999969482422
2015-08-21,99.36000061035156
2015-08-24,93.83000183105469
2015-08-25,92.69999694824219
2015-08-26,96.37000274658203
2015-08-27,98.8499984741211
2015-08-28,98.44999694824219
2015-08-31,97.9000015258789
2015-09-01,95.23999786376953
2015-09-02,97.58000183105469
2015-09-03,98.30999755859375
2015-09-04,97.01000213623047
2015-09-08,99.44000244140625
2015-09-09,98.5
2015-09-10,97.86000061035156
2015-09-11,98.0
2015-09-14,97.83000183105469
2015-09-15,99.43000030517578
2015-09-16,99.22000122070312
2015-09-17,98.36000061035156
2015-09-18,97.04000091552734
2015-09-21,98.12000274658203
2015-09-22,97.7300033569336
2015-09-23,98.1500015258789
2015-09-24,97.38999938964844
2015-09-25,97.44999694824219
2015-09-28,95.33000183105469
2015-09-29,95.80000305175781
2015-09-30,97.18000030517578
2015-10-01,98.37999725341797
2015-10-02,99.31999969482422
2015-10-05,100.94999694824219
2015-10-06,100.94000244140625
2015-10-07,102.7300033569336
2015-10-08,104.69999694824219
