Date,LNT
2015-07-01,20.47425079345703
2015-07-02,20.78419303894043
2015-07-06,20.81589126586914
2015-07-07,21.407611846923828
2015-07-08,21.277292251586914
2015-07-09,20.988479614257812
2015-07-10,21.164587020874023
2015-07-13,21.227985382080078
2015-07-14,21.238554000854492
2015-07-15,21.273773193359375
2015-07-16,21.604860305786133
2015-07-17,21.298433303833008
2015-07-20,21.220947265625
2015-07-21,21.00257110595703
2015-07-22,21.157535552978516
2015-07-23,20.840551376342773
2015-07-24,20.872249603271484
2015-07-27,21.220947265625
2015-07-28,21.323081970214844
2015-07-29,21.475921630859375
2015-07-30,21.671419143676758
2015-07-31,21.863357543945312
2015-08-03,21.89179039001465
2015-08-04,21.610986709594727
2015-08-05,21.71051597595215
2015-08-06,21.550559997558594
2015-08-07,21.58255958557129
2015-08-10,21.550559997558594
2015-08-11,21.557676315307617
2015-08-12,21.795822143554688
2015-08-13,21.86691665649414
2015-08-14,21.945110321044922
2015-08-17,22.364530563354492
2015-08-18,22.154823303222656
2015-08-19,22.21169662475586
2015-08-20,21.980655670166016
2015-08-21,21.58611488342285
2015-08-24,20.629962921142578
2015-08-25,19.940412521362305
2015-08-26,20.139453887939453
2015-08-27,20.519773483276367
2015-08-28,20.544660568237305
2015-08-31,20.143007278442383
2015-09-01,19.592069625854492
2015-09-02,19.595623016357422
2015-09-03,19.684484481811523
2015-09-04,19.38945960998535
2015-09-08,19.762680053710938
2015-09-09,19.55296516418457
2015-09-10,19.49254608154297
2015-09-11,19.63827896118164
2015-09-14,19.69159698486328
2015-09-15,19.762680053710938
2015-09-16,19.979509353637695
2015-09-17,20.28874397277832
2015-09-18,20.171443939208984
2015-09-21,20.31361961364746
2015-09-22,20.15367889404297
2015-09-23,20.182111740112305
2015-09-24,20.38826560974121
2015-09-25,20.608640670776367
2015-09-28,20.629962921142578
2015-09-29,20.523324966430664
2015-09-30,20.7899169921875
2015-10-01,20.470012664794922
2015-10-02,20.74725914001465
2015-10-05,20.956974029541016
2015-10-06,20.782804489135742
2015-10-07,20.693946838378906
2015-10-08,20.949867248535156
2015-10-09,20.87166976928711
2015-10-12,21.10270881652832
2015-10-13,21.113370895385742
2015-10-14,21.159574508666992
2015-10-15,21.515026092529297
2015-10-16,21.58255958557129
2015-10-19,21.678525924682617
2015-10-20,21.753170013427734
2015-10-21,21.618101119995117
2015-10-22,21.874019622802734
2015-10-23,21.454593658447266
2015-10-26,21.53635025024414
2015-10-27,21.461708068847656
2015-10-28,21.271587371826172
2015-10-29,21.04559898376465
2015-10-30,21.171157836914062
2015-11-02,21.35767936706543
2015-11-03,21.42224884033203
2015-11-04,21.562149047851562
2015-11-05,21.533443450927734
2015-11-06,20.442964553833008
2015-11-09,20.378395080566406
2015-11-10,20.859066009521484
2015-11-11,21.10299301147461
2015-11-12,20.959508895874023
2015-11-13,20.981033325195312
2015-11-16,21.51551055908203
2015-11-17,21.156801223754883
2015-11-18,21.271587371826172
2015-11-19,21.684101104736328
2015-11-20,21.910093307495117
2015-11-23,21.61237144470215
2015-11-24,21.554973602294922
2015-11-25,21.418663024902344
2015-11-27,21.479637145996094
2015-11-30,21.59084129333496
2015-12-01,22.024883270263672
2015-12-02,21.745084762573242
2015-12-03,21.303874969482422
2015-12-04,21.648231506347656
2015-12-07,21.641061782836914
2015-12-08,21.77019500732422
2015-12-09,21.623123168945312
2015-12-10,21.09581756591797
2015-12-11,21.016902923583984
2015-12-14,21.088645935058594
2015-12-15,21.27517318725586
2015-12-16,21.795303344726562
2015-12-17,22.8535099029541
2015-12-18,22.405115127563477
2015-12-21,22.21500587463379
2015-12-22,22.344139099121094
2015-12-23,22.555776596069336
2015-12-24,22.487619400024414
2015-12-28,22.68132781982422
2015-12-29,22.735132217407227
2015-12-30,22.760244369506836
2015-12-31,22.401527404785156
2016-01-04,22.34054946899414
2016-01-05,22.440988540649414
2016-01-06,22.46968650817871
2016-01-07,22.232934951782227
2016-01-08,22.225765228271484
