Date,TPR
2015-07-01,35.130001068115234
2015-07-02,35.0
2015-07-06,34.09000015258789
2015-07-07,34.15999984741211
2015-07-08,32.900001525878906
2015-07-09,33.08000183105469
2015-07-10,33.380001068115234
2015-07-13,33.34000015258789
2015-07-14,33.43000030517578
2015-07-15,32.58000183105469
2015-07-16,32.29999923706055
2015-07-17,31.850000381469727
2015-07-20,31.719999313354492
2015-07-21,31.360000610351562
2015-07-22,31.049999237060547
2015-07-23,31.0
2015-07-24,30.469999313354492
2015-07-27,30.75
2015-07-28,30.8799991607666
2015-07-29,31.450000762939453
2015-07-30,31.299999237060547
2015-07-31,31.200000762939453
2015-08-03,30.43000030517578
2015-08-04,31.40999984741211
2015-08-05,31.729999542236328
2015-08-06,31.559999465942383
2015-08-07,33.06999969482422
2015-08-10,33.06999969482422
2015-08-11,32.63999938964844
2015-08-12,31.190000534057617
2015-08-13,31.459999084472656
2015-08-14,31.93000030517578
2015-08-17,32.02000045776367
2015-08-18,32.630001068115234
2015-08-19,32.08000183105469
2015-08-20,31.209999084472656
2015-08-21,30.709999084472656
2015-08-24,28.719999313354492
2015-08-25,28.399999618530273
2015-08-26,29.399999618530273
2015-08-27,30.100000381469727
2015-08-28,29.959999084472656
2015-08-31,30.25
2015-09-01,29.59000015258789
2015-09-02,29.799999237060547
2015-09-03,29.850000381469727
2015-09-04,29.15999984741211
2015-09-08,30.149999618530273
2015-09-09,29.059999465942383
2015-09-10,29.510000228881836
2015-09-11,29.440000534057617
2015-09-14,28.989999771118164
2015-09-15,29.3799991607666
2015-09-16,29.920000076293945
2015-09-17,29.850000381469727
2015-09-18,29.100000381469727
2015-09-21,29.290000915527344
2015-09-22,28.920000076293945
2015-09-23,28.399999618530273
2015-09-24,28.729999542236328
2015-09-25,28.479999542236328
2015-09-28,27.440000534057617
2015-09-29,27.739999771118164
2015-09-30,28.93000030517578
2015-10-01,28.450000762939453
2015-10-02,29.350000381469727
2015-10-05,30.309999465942383
2015-10-06,30.40999984741211
2015-10-07,30.350000381469727
2015-10-08,31.450000762939453
2015-10-09,31.280000686645508
2015-10-12,30.829999923706055
2015-10-13,30.799999237060547
2015-10-14,30.770000457763672
2015-10-15,29.860000610351562
2015-10-16,29.690000534057617
2015-10-19,30.170000076293945
2015-10-20,30.059999465942383
2015-10-21,30.059999465942383
2015-10-22,30.149999618530273
2015-10-23,30.1299991607666
2015-10-26,30.31999969482422
2015-10-27,31.649999618530273
2015-10-28,31.0
2015-10-29,30.860000610351562
2015-10-30,31.200000762939453
2015-11-02,31.739999771118164
2015-11-03,32.54999923706055
2015-11-04,32.279998779296875
2015-11-05,32.720001220703125
2015-11-06,32.060001373291016
2015-11-09,30.8799991607666
2015-11-10,31.3700008392334
2015-11-11,30.239999771118164
2015-11-12,30.020000457763672
2015-11-13,29.229999542236328
2015-11-16,29.3799991607666
2015-11-17,28.93000030517578
2015-11-18,29.59000015258789
2015-11-19,29.65999984741211
2015-11-20,30.549999237060547
2015-11-23,31.549999237060547
2015-11-24,32.16999816894531
2015-11-25,32.38999938964844
2015-11-27,31.81999969482422
2015-11-30,31.770000457763672
2015-12-01,31.56999969482422
2015-12-02,30.8799991607666
2015-12-03,29.8700008392334
2015-12-04,30.579999923706055
2015-12-07,31.06999969482422
2015-12-08,31.219999313354492
2015-12-09,30.510000228881836
