Date,STLD
2022-07-01,66.2300033569336
2022-07-05,64.5
2022-07-06,64.41000366210938
2022-07-07,66.58000183105469
2022-07-08,66.16000366210938
2022-07-11,65.88999938964844
2022-07-12,65.69999694824219
2022-07-13,67.26000213623047
2022-07-14,65.93000030517578
2022-07-15,67.05999755859375
2022-07-18,67.70999908447266
2022-07-19,66.62000274658203
2022-07-20,68.0999984741211
2022-07-21,70.7300033569336
2022-07-22,66.5999984741211
2022-07-25,70.0
2022-07-26,70.4800033569336
2022-07-27,72.83000183105469
2022-07-28,74.16999816894531
2022-07-29,77.87999725341797
2022-08-01,77.37999725341797
2022-08-02,76.55000305175781
2022-08-03,76.36000061035156
2022-08-04,77.4800033569336
2022-08-05,78.77999877929688
2022-08-08,78.75
2022-08-09,81.13999938964844
2022-08-10,83.01000213623047
2022-08-11,83.48999786376953
2022-08-12,84.61000061035156
2022-08-15,83.55000305175781
2022-08-16,84.6500015258789
2022-08-17,83.04000091552734
2022-08-18,84.43000030517578
2022-08-19,81.80000305175781
2022-08-22,80.25
2022-08-23,81.02999877929688
2022-08-24,81.38999938964844
2022-08-25,86.76000213623047
2022-08-26,86.87000274658203
2022-08-29,86.23999786376953
2022-08-30,81.41999816894531
2022-08-31,80.72000122070312
2022-09-01,77.33999633789062
2022-09-02,77.94000244140625
2022-09-06,79.36000061035156
2022-09-07,79.69999694824219
2022-09-08,82.98999786376953
2022-09-09,86.5199966430664
2022-09-12,83.48999786376953
2022-09-13,81.91000366210938
2022-09-14,74.55000305175781
2022-09-15,76.2300033569336
2022-09-16,75.0199966430664
2022-09-19,77.19000244140625
2022-09-20,75.8499984741211
2022-09-21,74.19999694824219
2022-09-22,72.55999755859375
2022-09-23,70.19000244140625
2022-09-26,69.68000030517578
2022-09-27,70.76000213623047
2022-09-28,72.63999938964844
2022-09-29,70.70999908447266
2022-09-30,70.94999694824219
2022-10-03,75.38999938964844
2022-10-04,78.0199966430664
2022-10-05,77.83000183105469
2022-10-06,77.13999938964844
2022-10-07,75.88999938964844
2022-10-10,77.72000122070312
2022-10-11,79.11000061035156
2022-10-12,78.87000274658203
2022-10-13,81.0199966430664
2022-10-14,78.05999755859375
2022-10-17,80.0199966430664
2022-10-18,81.73999786376953
2022-10-19,80.68000030517578
2022-10-20,85.6500015258789
2022-10-21,92.91999816894531
2022-10-24,96.26000213623047
2022-10-25,97.70999908447266
2022-10-26,98.04000091552734
2022-10-27,97.47000122070312
2022-10-28,94.43000030517578
2022-10-31,94.05000305175781
2022-11-01,96.70999908447266
2022-11-02,92.36000061035156
2022-11-03,91.55000305175781
2022-11-04,95.4000015258789
