Date,SJM
2015-07-01,78.97700500488281
2015-07-02,78.64434051513672
2015-07-06,78.12361145019531
2015-07-07,79.410888671875
2015-07-08,78.43458557128906
2015-07-09,78.31890869140625
2015-07-10,77.80545806884766
2015-07-13,78.60816955566406
2015-07-14,78.49246215820312
2015-07-15,78.1814956665039
2015-07-16,78.54307556152344
2015-07-17,78.43458557128906
2015-07-20,78.1525650024414
2015-07-21,77.65357971191406
2015-07-22,77.68973541259766
2015-07-23,77.32815551757812
2015-07-24,76.35911560058594
2015-07-27,76.64115905761719
2015-07-28,78.6153793334961
2015-07-29,79.38191986083984
2015-07-30,80.09789276123047
2015-07-31,80.77042388916016
2015-08-03,80.92230987548828
2015-08-04,81.0669174194336
2015-08-05,82.07215118408203
2015-08-06,80.82106018066406
2015-08-07,79.57719421386719
2015-08-10,79.91710662841797
2015-08-11,78.7528076171875
2015-08-12,79.56774139404297
2015-08-13,79.04386138916016
2015-08-14,79.58956909179688
2015-08-17,79.32037353515625
2015-08-18,79.291259765625
2015-08-19,81.4087142944336
2015-08-20,81.3213882446289
2015-08-21,79.96794891357422
2015-08-24,78.67276000976562
2015-08-25,77.74864959716797
2015-08-26,79.42223358154297
2015-08-27,84.61759948730469
2015-08-28,85.56353759765625
2015-08-31,85.65812683105469
2015-09-01,82.96585845947266
2015-09-02,84.14460754394531
2015-09-03,85.0468978881836
2015-09-04,84.12281036376953
2015-09-08,84.66123962402344
2015-09-09,83.38787078857422
2015-09-10,83.36605072021484
2015-09-11,84.48662567138672
2015-09-14,84.13734436035156
2015-09-15,84.56666564941406
2015-09-16,85.51985931396484
2015-09-17,84.97412872314453
2015-09-18,84.82134246826172
2015-09-21,85.17059326171875
2015-09-22,82.38372039794922
2015-09-23,82.62386322021484
2015-09-24,82.5365219116211
2015-09-25,83.2132568359375
2015-09-28,82.23091888427734
2015-09-29,81.88894653320312
2015-09-30,83.01678466796875
2015-10-01,82.66751861572266
2015-10-02,84.15190124511719
2015-10-05,84.93778228759766
2015-10-06,83.54796600341797
2015-10-07,84.3992919921875
2015-10-08,85.1051025390625
2015-10-09,85.92737579345703
2015-10-12,86.16747283935547
2015-10-13,86.45125579833984
2015-10-14,86.80780792236328
2015-10-15,87.04065704345703
2015-10-16,86.66228485107422
2015-10-19,86.42215728759766
2015-10-20,83.61344146728516
2015-10-21,84.13008880615234
2015-10-22,86.05831909179688
2015-10-23,86.05831909179688
2015-10-26,85.3670654296875
2015-10-27,85.20697021484375
2015-10-28,84.66123962402344
2015-10-29,84.90865325927734
2015-10-30,85.41798400878906
2015-11-02,85.43984985351562
