Date,ODFL
2015-07-01,22.084819793701172
2015-07-02,21.985610961914062
2015-07-06,21.687990188598633
2015-07-07,21.684789657592773
2015-07-08,21.351972579956055
2015-07-09,21.5695858001709
2015-07-10,21.65919303894043
2015-07-13,21.77760124206543
2015-07-14,21.559986114501953
2015-07-15,21.310365676879883
2015-07-16,21.742401123046875
2015-07-17,21.726394653320312
2015-07-20,21.934406280517578
2015-07-21,22.212831497192383
2015-07-22,22.068824768066406
2015-07-23,21.655994415283203
2015-07-24,21.46397590637207
2015-07-27,21.35517120361328
2015-07-28,21.761600494384766
2015-07-29,22.584056854248047
2015-07-30,23.27531623840332
2015-07-31,23.40972328186035
2015-08-03,23.70094871520996
2015-08-04,23.595327377319336
2015-08-05,23.72014045715332
2015-08-06,23.480125427246094
2015-08-07,23.14730453491211
2015-08-10,23.387311935424805
2015-08-11,23.38091468811035
2015-08-12,23.240116119384766
2015-08-13,23.201705932617188
2015-08-14,23.406517028808594
2015-08-17,23.467323303222656
2015-08-18,23.332910537719727
2015-08-19,22.977685928344727
2015-08-20,22.600061416625977
2015-08-21,21.825607299804688
2015-08-24,21.083145141601562
2015-08-25,20.68951988220215
2015-08-26,21.19515609741211
2015-08-27,21.553590774536133
2015-08-28,21.56318473815918
2015-08-31,21.27836036682129
2015-09-01,20.60311508178711
2015-09-02,20.932737350463867
2015-09-03,21.214359283447266
2015-09-04,21.143945693969727
2015-09-08,21.630393981933594
2015-09-09,21.364770889282227
2015-09-10,21.803199768066406
2015-09-11,21.70079231262207
2015-09-14,21.53118133544922
2015-09-15,21.902408599853516
2015-09-16,21.854408264160156
2015-09-17,21.70079231262207
2015-09-18,20.92953872680664
2015-09-21,21.12155532836914
2015-09-22,20.497499465942383
2015-09-23,20.347095489501953
2015-09-24,19.46382713317871
2015-09-25,19.665441513061523
2015-09-28,19.460630416870117
2015-09-29,19.604639053344727
2015-09-30,19.521432876586914
2015-10-01,19.55983543395996
2015-10-02,19.889463424682617
2015-10-05,20.212684631347656
2015-10-06,20.087875366210938
2015-10-07,19.92786407470703
2015-10-08,19.799854278564453
2015-10-09,20.21588706970215
2015-10-12,20.09428596496582
2015-10-13,19.598236083984375
2015-10-14,19.726247787475586
2015-10-15,19.87026023864746
2015-10-16,19.89266586303711
2015-10-19,19.940670013427734
2015-10-20,20.41429901123047
2015-10-21,20.54550552368164
2015-10-22,20.699119567871094
2015-10-23,20.75352668762207
2015-10-26,20.91353988647461
2015-10-27,20.043075561523438
2015-10-28,19.44142723083496
2015-10-29,20.171083450317383
2015-10-30,19.822261810302734
2015-11-02,19.985471725463867
2015-11-03,20.40790367126465
2015-11-04,20.587112426757812
2015-11-05,20.718311309814453
2015-11-06,20.977548599243164
2015-11-09,20.43670654296875
2015-11-10,20.708715438842773
2015-11-11,20.849529266357422
2015-11-12,20.183879852294922
2015-11-13,20.1038818359375
2015-11-16,20.359901428222656
2015-11-17,20.32469367980957
2015-11-18,20.359901428222656
