Date,ZION
2015-07-01,23.995073318481445
2015-07-02,23.65711784362793
2015-07-06,23.424301147460938
2015-07-07,22.93613624572754
2015-07-08,22.34283447265625
2015-07-09,22.838502883911133
2015-07-10,23.304134368896484
2015-07-13,23.514423370361328
2015-07-14,23.371726989746094
2015-07-15,23.664628982543945
2015-07-16,23.672142028808594
2015-07-17,22.85352897644043
2015-07-20,22.95866584777832
2015-07-21,23.649608612060547
2015-07-22,23.980052947998047
2015-07-23,23.724714279174805
2015-07-24,23.574506759643555
2015-07-27,23.251569747924805
2015-07-28,23.334177017211914
2015-07-29,23.506914138793945
2015-07-30,23.589529037475586
2015-07-31,23.424301147460938
2015-08-03,23.16144371032715
2015-08-04,23.153928756713867
2015-08-05,23.461851119995117
2015-08-06,23.289125442504883
2015-08-07,23.071331024169922
2015-08-10,23.672142028808594
2015-08-11,23.011245727539062
2015-08-12,22.51557159423828
2015-08-13,22.620710372924805
2015-08-14,22.906099319458008
2015-08-17,22.815977096557617
2015-08-18,23.02667808532715
2015-08-19,22.642900466918945
2015-08-20,21.679691314697266
2015-08-21,21.17551040649414
2015-08-24,20.264982223510742
2015-08-25,19.956451416015625
2015-08-26,20.844409942626953
2015-08-27,21.67216682434082
2015-08-28,21.762466430664062
2015-08-31,21.82266616821289
2015-09-01,20.81431007385254
2015-09-02,21.220666885375977
2015-09-03,21.46146583557129
2015-09-04,21.07768440246582
2015-09-08,21.581872940063477
2015-09-09,21.303438186645508
2015-09-10,21.499094009399414
2015-09-11,21.326019287109375
2015-09-14,21.243236541748047
2015-09-15,21.634544372558594
2015-09-16,21.94306755065918
2015-09-17,21.198095321655273
2015-09-18,20.67133331298828
2015-09-21,20.949764251708984
2015-09-22,20.73906135559082
2015-09-23,20.724008560180664
2015-09-24,20.784210205078125
2015-09-25,21.213132858276367
2015-09-28,20.573509216308594
2015-09-29,20.60360336303711
2015-09-30,20.724008560180664
2015-10-01,20.716476440429688
2015-10-02,20.55846405029297
2015-10-05,20.964811325073242
2015-10-06,21.167993545532227
2015-10-07,21.611963272094727
2015-10-08,21.642065048217773
2015-10-09,21.303438186645508
2015-10-12,21.42383575439453
