Date,MCHP
2015-07-01,18.798011779785156
2015-07-02,18.753671646118164
2015-07-06,18.447362899780273
2015-07-07,18.40705680847168
2015-07-08,18.012075424194336
2015-07-09,17.806522369384766
2015-07-10,18.076560974121094
2015-07-13,18.116863250732422
2015-07-14,18.225683212280273
2015-07-15,18.124927520751953
2015-07-16,17.939517974853516
2015-07-17,17.871007919311523
2015-07-20,17.72993278503418
2015-07-21,17.65336036682129
2015-07-22,16.964149475097656
2015-07-23,17.197927474975586
2015-07-24,16.875484466552734
2015-07-27,16.839208602905273
2015-07-28,17.193889617919922
2015-07-29,17.23822593688965
2015-07-30,17.294652938842773
2015-07-31,17.26643943786621
2015-08-03,17.246288299560547
2015-08-04,17.246288299560547
2015-08-05,17.665454864501953
2015-08-06,17.423620223999023
2015-08-07,17.5566349029541
2015-08-10,17.903255462646484
2015-08-11,17.621116638183594
2015-08-12,17.67351531982422
2015-08-13,17.488107681274414
2015-08-14,17.44780921936035
2015-08-17,17.540512084960938
2015-08-18,17.30270767211914
2015-08-19,17.20195198059082
2015-08-20,16.738452911376953
2015-08-21,16.460355758666992
2015-08-24,16.1782169342041
2015-08-25,15.94847583770752
2015-08-26,16.561111450195312
2015-08-27,17.22210693359375
2015-08-28,17.427654266357422
2015-08-31,17.129405975341797
2015-09-01,16.258831024169922
2015-09-02,16.561111450195312
2015-09-03,16.823095321655273
2015-09-04,16.52484130859375
2015-09-08,18.080591201782227
2015-09-09,18.02695655822754
2015-09-10,17.957897186279297
2015-09-11,17.83193588256836
2015-09-14,17.84413719177246
2015-09-15,17.880691528320312
2015-09-16,17.84006690979004
2015-09-17,17.604419708251953
2015-09-18,17.389087677001953
2015-09-21,17.360654830932617
2015-09-22,17.059995651245117
2015-09-23,16.799972534179688
2015-09-24,16.771535873413086
2015-09-25,16.812170028686523
2015-09-28,16.600889205932617
2015-09-29,16.92998504638672
2015-09-30,17.506912231445312
2015-10-01,17.14125633239746
2015-10-02,17.624738693237305
2015-10-05,18.315425872802734
2015-10-06,18.42918586730957
2015-10-07,18.68109130859375
2015-10-08,18.953289031982422
2015-10-09,18.798912048339844
2015-10-12,18.802967071533203
2015-10-13,18.713581085205078
2015-10-14,19.22144317626953
2015-10-15,19.229568481445312
2015-10-16,19.071121215820312
2015-10-19,19.18894386291504
2015-10-20,19.258014678955078
2015-10-21,19.160499572753906
2015-10-22,19.8511905670166
2015-10-23,19.952756881713867
2015-10-26,19.708988189697266
2015-10-27,19.473342895507812
2015-10-28,19.729307174682617
2015-10-29,19.253950119018555
2015-10-30,19.619606018066406
2015-11-02,19.863380432128906
2015-11-03,19.83492660522461
2015-11-04,19.904008865356445
2015-11-05,19.465213775634766
2015-11-06,19.440839767456055
2015-11-09,19.428647994995117
2015-11-10,19.160499572753906
2015-11-11,19.136127471923828
2015-11-12,18.839534759521484
2015-11-13,18.542945861816406
2015-11-16,18.668895721435547
2015-11-17,18.72171401977539
2015-11-18,19.23723793029785
2015-11-19,19.31913948059082
2015-11-20,19.401037216186523
2015-11-23,19.081640243530273
2015-11-24,19.339614868164062
2015-11-25,19.306854248046875
2015-11-27,19.527973175048828
2015-11-30,19.76956558227539
2015-12-01,19.855554580688477
2015-12-02,19.106212615966797
2015-12-03,19.01203727722168
2015-12-04,19.396942138671875
2015-12-07,19.114398956298828
2015-12-08,18.921947479248047
2015-12-09,18.63530921936035
2015-12-10,18.569793701171875
2015-12-11,18.279062271118164
