Date,LW
2016-11-10,26.251619338989258
2016-11-11,25.870773315429688
2016-11-14,26.13043975830078
2016-11-15,26.338167190551758
2016-11-16,27.437393188476562
2016-11-17,28.138471603393555
2016-11-18,28.285615921020508
2016-11-21,27.47201156616211
2016-11-22,28.30292510986328
2016-11-23,28.579898834228516
2016-11-25,28.207714080810547
2016-11-28,28.337543487548828
2016-11-29,28.727027893066406
2016-11-30,28.97804069519043
2016-12-01,28.138471603393555
2016-12-02,28.553937911987305
2016-12-05,29.125171661376953
2016-12-06,29.27232551574707
2016-12-07,30.077268600463867
2016-12-08,31.09859275817871
2016-12-09,31.488086700439453
2016-12-12,31.7910213470459
2016-12-13,31.66118812561035
2016-12-14,30.423480987548828
2016-12-15,29.757020950317383
2016-12-16,30.51869010925293
2016-12-19,29.84357452392578
2016-12-20,30.250385284423828
2016-12-21,30.310949325561523
2016-12-22,31.444808959960938
2016-12-23,31.89488983154297
2016-12-27,32.3189811706543
2016-12-28,32.22378921508789
2016-12-29,32.69117736816406
2016-12-30,32.76042556762695
2017-01-03,32.44881820678711
2017-01-04,32.00740051269531
2017-01-05,31.695810317993164
2017-01-06,31.8775691986084
2017-01-09,31.92951011657715
2017-01-10,31.886232376098633
2017-01-11,31.92951011657715
2017-01-12,31.990087509155273
2017-01-13,32.215145111083984
2017-01-17,31.92951011657715
2017-01-18,31.713138580322266
2017-01-19,31.990087509155273
2017-01-20,32.11992645263672
2017-01-23,31.825639724731445
2017-01-24,32.44881820678711
2017-01-25,31.739093780517578
2017-01-26,31.606853485107422
2017-01-27,31.702552795410156
2017-01-30,31.99833869934082
2017-01-31,32.50294494628906
2017-02-01,32.85963821411133
2017-02-02,33.425148010253906
2017-02-03,33.84273147583008
2017-02-06,34.13853073120117
2017-02-07,34.28643035888672
2017-02-08,34.06892776489258
2017-02-09,33.99934005737305
2017-02-10,34.16462326049805
2017-02-13,34.3038330078125
2017-02-14,34.4952278137207
2017-02-15,34.47782516479492
2017-02-16,34.712730407714844
2017-02-17,34.46912384033203
2017-02-21,34.46912384033203
2017-02-22,34.669219970703125
2017-02-23,34.36473083496094
2017-02-24,34.43433380126953
2017-02-27,34.34733581542969
2017-02-28,34.095035552978516
2017-03-01,34.756229400634766
2017-03-02,34.991127014160156
2017-03-03,35.14772033691406
2017-03-06,35.16511535644531
2017-03-07,35.44353103637695
2017-03-08,35.426116943359375
2017-03-09,35.65231704711914
2017-03-10,36.01772689819336
2017-03-13,36.13081359863281
2017-03-14,36.722408294677734
2017-03-15,36.8529052734375
2017-03-16,36.531005859375
2017-03-17,36.75721740722656
2017-03-20,36.957313537597656
2017-03-21,37.29661178588867
2017-03-22,36.922515869140625
2017-03-23,37.41840362548828
2017-03-24,37.12260818481445
2017-03-27,37.374908447265625
2017-03-28,37.3400993347168
