Date,REGN
2015-07-01,503.11114501953125
2015-07-02,507.6504211425781
2015-07-06,508.80267333984375
2015-07-07,514.1366577148438
2015-07-08,505.88238525390625
2015-07-09,505.61419677734375
2015-07-10,522.4803466796875
2015-07-13,532.6118774414062
2015-07-14,539.2569580078125
2015-07-15,539.7337646484375
2015-07-16,547.8289794921875
2015-07-17,548.2759399414062
2015-07-20,557.4043579101562
2015-07-21,556.2421875
2015-07-22,552.7955322265625
2015-07-23,552.8749389648438
2015-07-24,538.2139282226562
2015-07-27,536.4061889648438
2015-07-28,548.742919921875
2015-07-29,542.6043701171875
2015-07-30,543.4287109375
2015-07-31,549.9447631835938
2015-08-03,550.5507202148438
2015-08-04,577.041748046875
2015-08-05,588.4247436523438
2015-08-06,578.5614624023438
2015-08-07,575.1544799804688
2015-08-10,577.1011962890625
2015-08-11,563.185302734375
2015-08-12,575.3630981445312
2015-08-13,570.2474975585938
2015-08-14,572.4328002929688
2015-08-17,572.8897094726562
2015-08-18,565.8472900390625
2015-08-19,565.0923461914062
2015-08-20,542.9818725585938
2015-08-21,523.6424560546875
2015-08-24,501.1940612792969
2015-08-25,495.67138671875
2015-08-26,531.8767700195312
2015-08-27,534.3897705078125
2015-08-28,533.0985717773438
2015-08-31,510.05426025390625
2015-09-01,493.0888366699219
2015-09-02,515.2987670898438
2015-09-03,505.09771728515625
2015-09-04,496.6348571777344
2015-09-08,539.1177978515625
2015-09-09,523.811279296875
2015-09-10,527.6552734375
2015-09-11,529.7213134765625
2015-09-14,527.8341064453125
2015-09-15,537.8167114257812
2015-09-16,537.3597412109375
2015-09-17,547.272705078125
2015-09-18,546.6668090820312
2015-09-21,525.82763671875
2015-09-22,526.622314453125
2015-09-23,532.89990234375
2015-09-24,518.4971923828125
2015-09-25,487.3774108886719
2015-09-28,450.93365478515625
2015-09-29,448.7881164550781
2015-09-30,462.0187683105469
2015-10-01,469.79620361328125
2015-10-02,475.8552551269531
2015-10-05,469.965087890625
2015-10-06,456.73443603515625
2015-10-07,482.5003967285156
2015-10-08,487.913818359375
2015-10-09,500.53857421875
2015-10-12,523.2947998046875
2015-10-13,504.630859375
2015-10-14,505.862548828125
2015-10-15,515.864990234375
2015-10-16,511.13690185546875
2015-10-19,520.0466918945312
2015-10-20,511.2164001464844
2015-10-21,515.0504760742188
2015-10-22,521.5863037109375
2015-10-23,533.0985717773438
2015-10-26,542.2069702148438
2015-10-27,563.9798583984375
2015-10-28,567.307373046875
2015-10-29,556.2620239257812
2015-10-30,553.6497192382812
2015-11-02,575.1146850585938
2015-11-03,574.1213989257812
2015-11-04,560.2153930664062
2015-11-05,560.374267578125
2015-11-06,558.228759765625
2015-11-09,554.7720947265625
2015-11-10,561.069580078125
2015-11-11,562.609130859375
2015-11-12,548.8223876953125
2015-11-13,545.2166748046875
2015-11-16,554.633056640625
2015-11-17,567.0789794921875
2015-11-18,583.1504516601562
2015-11-19,577.4489135742188
2015-11-20,575.6808471679688
2015-11-23,567.019287109375
2015-11-24,563.6619873046875
2015-11-25,557.9208374023438
2015-11-27,559.3214111328125
2015-11-30,540.84619140625
2015-12-01,542.0779418945312
2015-12-02,543.210205078125
2015-12-03,532.1350708007812
2015-12-04,554.9111938476562
2015-12-07,542.9420776367188
2015-12-08,552.5968627929688
2015-12-09,543.716796875
2015-12-10,544.4915771484375
2015-12-11,530.9232788085938
2015-12-14,536.3167724609375
2015-12-15,552.716064453125
2015-12-16,555.9143676757812
2015-12-17,547.7892456054688
2015-12-18,540.5779418945312
2015-12-21,528.9763793945312
2015-12-22,524.794677734375
2015-12-23,532.254150390625
2015-12-24,534.0222778320312
2015-12-28,536.6544799804688
2015-12-29,546.5179443359375
2015-12-30,544.5114135742188
2015-12-31,539.2271728515625
2016-01-04,513.083740234375
2016-01-05,505.5645446777344
2016-01-06,515.9940185546875
2016-01-07,498.5916748046875
2016-01-08,488.3806457519531
2016-01-11,477.593505859375
2016-01-12,471.792724609375
2016-01-13,456.4861145019531
2016-01-14,475.86517333984375
2016-01-15,459.8434753417969
2016-01-19,444.0202941894531
2016-01-20,458.85015869140625
2016-01-21,458.47271728515625
2016-01-22,479.7489318847656
2016-01-25,469.9451599121094
2016-01-26,460.4493713378906
2016-01-27,431.24664306640625
2016-01-28,412.324462890625
2016-01-29,417.2710266113281
2016-02-01,415.4632568359375
2016-02-02,407.1395263671875
2016-02-03,418.1849060058594
2016-02-04,409.82135009765625
2016-02-05,393.9486083984375
2016-02-08,387.9093933105469
2016-02-09,363.51422119140625
2016-02-10,365.0140686035156
2016-02-11,364.77569580078125
