Date,FTV
2016-07-05,29.427806854248047
2016-07-06,28.913124084472656
2016-07-07,28.907058715820312
2016-07-08,30.396621704101562
2016-07-11,30.953693389892578
2016-07-12,30.62065315246582
2016-07-13,30.650936126708984
2016-07-14,31.226171493530273
2016-07-15,31.020301818847656
2016-07-18,31.056625366210938
2016-07-19,31.214046478271484
2016-07-20,30.481388092041016
2016-07-21,30.420833587646484
2016-07-22,29.912212371826172
2016-07-25,29.65789794921875
2016-07-26,29.83955192565918
2016-07-27,29.62156105041504
2016-07-28,29.45807456970215
2016-07-29,29.1916561126709
2016-08-01,28.943387985229492
2016-08-02,28.761734008789062
2016-08-03,29.83955192565918
2016-08-04,30.29368019104004
2016-08-05,30.626707077026367
2016-08-08,30.305789947509766
2016-08-09,30.55405044555664
2016-08-10,30.547998428344727
2016-08-11,31.8195743560791
2016-08-12,31.916444778442383
2016-08-15,32.491676330566406
2016-08-16,32.42506790161133
2016-08-17,32.340309143066406
2016-08-18,32.18892288208008
2016-08-19,31.438093185424805
2016-08-22,31.038461685180664
2016-08-23,31.425975799560547
2016-08-24,31.14707374572754
2016-08-25,31.298660278320312
2016-08-26,31.45024299621582
2016-08-29,31.77766227722168
2016-08-30,31.89890480041504
2016-08-31,31.935291290283203
2016-09-01,31.91104507446289
2016-09-02,32.36579132080078
2016-09-06,31.9716796875
2016-09-07,32.099002838134766
2016-09-08,31.729158401489258
2016-09-09,30.649883270263672
2016-09-12,31.050065994262695
2016-09-13,30.34065818786621
2016-09-14,30.32852554321289
2016-09-15,30.613508224487305
2016-09-16,30.474050521850586
2016-09-19,30.789344787597656
2016-09-20,30.467985153198242
2016-09-21,30.910606384277344
2016-09-22,31.310789108276367
2016-09-23,30.8499755859375
2016-09-26,31.056127548217773
2016-09-27,31.292600631713867
2016-09-28,31.35928726196289
2016-09-29,30.74083137512207
2016-09-30,30.862098693847656
2016-10-03,31.159198760986328
2016-10-04,30.807533264160156
2016-10-05,30.8863582611084
2016-10-06,30.74083137512207
2016-10-07,30.27396011352539
2016-10-10,30.286088943481445
2016-10-11,29.843467712402344
2016-10-12,29.704015731811523
2016-10-13,29.600936889648438
2016-10-14,29.988985061645508
2016-10-17,29.7464542388916
2016-10-18,29.764646530151367
2016-10-19,29.946544647216797
2016-10-20,29.528175354003906
2016-10-21,29.509984970092773
2016-10-24,29.437225341796875
2016-10-25,29.055238723754883
2016-10-26,28.96428871154785
2016-10-27,28.79452133178711
2016-10-28,30.44373321533203
2016-10-31,30.953041076660156
2016-11-01,30.613508224487305
2016-11-02,30.51042938232422
2016-11-03,30.910606384277344
2016-11-04,30.98943328857422
2016-11-07,31.401729583740234
2016-11-08,31.923179626464844
2016-11-09,32.41429901123047
2016-11-10,32.86298370361328
2016-11-11,32.37792205810547
2016-11-14,32.632572174072266
2016-11-15,32.81447982788086
2016-11-16,33.008506774902344
2016-11-17,33.04487991333008
2016-11-18,33.12370681762695
2016-11-21,33.24496078491211
2016-11-22,33.61531066894531
2016-11-23,33.8763542175293
2016-11-25,33.97956466674805
2016-11-28,33.74885940551758
2016-11-29,33.56066131591797
2016-11-30,33.38459777832031
2016-12-01,32.89891052246094
2016-12-02,33.074974060058594
2016-12-05,32.72893524169922
2016-12-06,32.783565521240234
2016-12-07,32.92927169799805
2016-12-08,32.58929443359375
2016-12-09,32.783565521240234
2016-12-12,32.777496337890625
2016-12-13,32.692508697509766
2016-12-14,32.935340881347656
2016-12-15,33.27531814575195
2016-12-16,33.2874641418457
2016-12-19,33.36638641357422
2016-12-20,33.4210205078125
2016-12-21,32.85641860961914
2016-12-22,32.83820343017578
2016-12-23,33.09318542480469
2016-12-27,33.06283950805664
2016-12-28,32.631797790527344
2016-12-29,32.78964614868164
2016-12-30,32.55893325805664
2017-01-03,32.619659423828125
2017-01-04,32.935340881347656
2017-01-05,32.74714279174805
2017-01-06,32.704654693603516
2017-01-09,32.619659423828125
2017-01-10,32.662147521972656
2017-01-11,32.57715606689453
2017-01-12,32.583221435546875
2017-01-13,33.24496078491211
2017-01-17,32.86249542236328
2017-01-18,32.868568420410156
2017-01-19,32.94749450683594
2017-01-20,33.099273681640625
2017-01-23,32.85034942626953
2017-01-24,33.208534240722656
2017-01-25,33.493873596191406
2017-01-26,33.80957794189453
2017-01-27,33.955284118652344
2017-01-30,33.657814025878906
2017-01-31,33.578880310058594
2017-02-01,33.46959686279297
2017-02-02,33.518157958984375
2017-02-03,34.00991439819336
2017-02-06,33.88241195678711
2017-02-07,33.77922439575195
2017-02-08,34.107051849365234
2017-02-09,34.61701965332031
2017-02-10,34.695953369140625
2017-02-13,34.92665100097656
2017-02-14,34.78093719482422
2017-02-15,34.956993103027344
2017-02-16,34.8416633605957
2017-02-17,35.02377700805664
2017-02-21,35.29090881347656
2017-02-22,35.066001892089844
2017-02-23,34.80464172363281
2017-02-24,35.12679672241211
2017-02-27,35.041690826416016
2017-02-28,35.041690826416016
2017-03-01,35.80755615234375
2017-03-02,35.637367248535156
2017-03-03,35.698158264160156
2017-03-06,35.455020904541016
2017-03-07,35.37600326538086
2017-03-08,35.35776901245117
2017-03-09,35.2666015625
2017-03-10,35.44286346435547
2017-03-13,35.722469329833984
2017-03-14,35.588741302490234
2017-03-15,36.287750244140625
2017-03-16,36.17226791381836
2017-03-17,36.21480178833008
2017-03-20,35.862266540527344
2017-03-21,35.564430236816406
2017-03-22,35.55227279663086
2017-03-23,35.57659149169922
2017-03-24,36.05070495605469
2017-03-27,35.91089630126953
