Date,ERIE
2015-07-01,65.81837463378906
2015-07-02,65.36445617675781
2015-07-06,65.45854187011719
2015-07-07,66.1640853881836
2015-07-08,65.44287109375
2015-07-09,65.68588256835938
2015-07-10,66.50116729736328
2015-07-13,66.32086181640625
2015-07-14,66.07785034179688
2015-07-15,66.04650115966797
2015-07-16,66.516845703125
2015-07-17,66.25817108154297
2015-07-20,65.80347442626953
2015-07-21,64.96467590332031
2015-07-22,65.45068359375
2015-07-23,65.12928771972656
2015-07-24,65.05872344970703
2015-07-27,64.55699157714844
2015-07-28,64.12586212158203
2015-07-29,64.14154815673828
2015-07-30,63.91419219970703
2015-07-31,67.66136169433594
2015-08-03,67.70842742919922
2015-08-04,67.73977661132812
2015-08-05,67.55164337158203
2015-08-06,67.16754150390625
2015-08-07,67.57515716552734
2015-08-10,67.34782409667969
2015-08-11,67.4340591430664
2015-08-12,66.75202178955078
2015-08-13,67.17536163330078
2015-08-14,68.0376968383789
2015-08-17,68.61778259277344
2015-08-18,68.84515380859375
2015-08-19,68.68052673339844
2015-08-20,67.82600402832031
2015-08-21,66.25817108154297
2015-08-24,63.93769454956055
2015-08-25,62.94211959838867
2015-08-26,64.21993255615234
2015-08-27,64.800048828125
2015-08-28,64.81573486328125
2015-08-31,64.25910186767578
2015-09-01,62.99696731567383
2015-09-02,64.25910186767578
2015-09-03,63.475181579589844
2015-09-04,62.55014419555664
2015-09-08,63.255680084228516
2015-09-09,62.90291976928711
2015-09-10,63.059715270996094
2015-09-11,63.13809585571289
2015-09-14,62.90291976928711
2015-09-15,62.800994873046875
2015-09-16,63.0518684387207
2015-09-17,63.55356979370117
2015-09-18,63.43598175048828
2015-09-21,64.06314849853516
2015-09-22,63.33407211303711
2015-09-23,63.420310974121094
2015-09-24,63.145938873291016
2015-09-25,63.851463317871094
2015-09-28,63.60063934326172
2015-09-29,64.05530548095703
2015-09-30,65.01953125
2015-10-01,64.31684112548828
2015-10-02,64.3642807006836
2015-10-05,65.53411102294922
2015-10-06,65.15470886230469
2015-10-07,65.84237670898438
2015-10-08,66.7276611328125
2015-10-09,66.78298950195312
2015-10-12,66.79087829589844
2015-10-13,66.55376434326172
2015-10-14,65.54991912841797
2015-10-15,66.45891571044922
2015-10-16,67.25724792480469
2015-10-19,67.8974838256836
2015-10-20,68.41124725341797
2015-10-21,67.99232482910156
2015-10-22,68.93291473388672
2015-10-23,68.7274398803711
2015-10-26,69.0672836303711
2015-10-27,69.12263488769531
2015-10-28,69.68383026123047
2015-10-29,70.56120300292969
2015-10-30,69.13053894042969
2015-11-02,68.64838409423828
2015-11-03,69.01197814941406
2015-11-04,68.47449493408203
2015-11-05,68.92501068115234
2015-11-06,68.91710662841797
2015-11-09,68.37963104248047
2015-11-10,68.9566421508789
2015-11-11,69.69173431396484
2015-11-12,68.65630340576172
2015-11-13,68.5693359375
2015-11-16,70.87736511230469
2015-11-17,71.5887680053711
2015-11-18,72.35546875
2015-11-19,71.77056884765625
2015-11-20,72.33964538574219
2015-11-23,72.64791107177734
2015-11-24,72.36337280273438
2015-11-25,73.04315948486328
2015-11-27,72.89299011230469
2015-11-30,76.14158630371094
2015-12-01,76.97944641113281
2015-12-02,77.65129089355469
2015-12-03,77.43791198730469
2015-12-04,78.63934326171875
2015-12-07,79.4850845336914
2015-12-08,78.1413803100586
2015-12-09,77.79360961914062
2015-12-10,76.69490051269531
2015-12-11,76.18902587890625
2015-12-14,76.29179382324219
2015-12-15,76.60006713867188
2015-12-16,77.45370483398438
2015-12-17,77.44581604003906
2015-12-18,74.2999038696289
2015-12-21,75.46973419189453
2015-12-22,76.623779296875
2015-12-23,76.07044982910156
2015-12-24,76.76604461669922
2015-12-28,77.47742462158203
2015-12-29,77.91215515136719
2015-12-30,77.37464141845703
2015-12-31,76.1641845703125
2016-01-04,75.13689422607422
2016-01-05,74.73869323730469
2016-01-06,74.91388702392578
2016-01-07,73.99809265136719
2016-01-08,73.21763610839844
2016-01-11,73.0504150390625
2016-01-12,73.66361236572266
2016-01-13,72.5407485961914
2016-01-14,73.69548034667969
2016-01-15,72.93892669677734
2016-01-19,74.11753845214844
2016-01-20,72.54869842529297
2016-01-21,72.81147003173828
2016-01-22,74.58740234375
2016-01-25,73.56803894042969
2016-01-26,74.5634994506836
2016-01-27,73.99012756347656
2016-01-28,74.84224700927734
2016-01-29,76.53848266601562
2016-02-01,76.80128479003906
2016-02-02,76.20401000976562
2016-02-03,76.18807983398438
2016-02-04,75.9969482421875
2016-02-05,76.04473876953125
2016-02-08,77.11983489990234
2016-02-09,76.90481567382812
2016-02-10,76.88092803955078
2016-02-11,75.62265014648438
2016-02-12,77.23131561279297
2016-02-16,78.18696594238281
2016-02-17,77.69322967529297
2016-02-18,78.15507507324219
2016-02-19,77.9958724975586
2016-02-22,77.97193145751953
