Date,IP
2015-07-01,45.975379943847656
2015-07-02,45.41666793823242
2015-07-06,45.14204406738281
2015-07-07,45.45454406738281
2015-07-08,44.337120056152344
2015-07-09,44.128787994384766
2015-07-10,44.45075988769531
2015-07-13,45.26515197753906
2015-07-14,45.217803955078125
2015-07-15,44.71590805053711
2015-07-16,45.558712005615234
2015-07-17,45.1136360168457
2015-07-20,46.07007598876953
2015-07-21,45.539772033691406
2015-07-22,46.22159194946289
2015-07-23,46.032196044921875
2015-07-24,45.217803955078125
2015-07-27,44.84848403930664
2015-07-28,46.14583206176758
2015-07-29,44.498104095458984
2015-07-30,44.95265197753906
2015-07-31,45.33143997192383
2015-08-03,44.82954406738281
2015-08-04,44.89583206176758
2015-08-05,45.25568389892578
2015-08-06,44.76325988769531
2015-08-07,45.01893997192383
2015-08-10,45.44507598876953
2015-08-11,44.76325988769531
2015-08-12,44.649620056152344
2015-08-13,44.38447189331055
2015-08-14,44.8011360168457
2015-08-17,45.60606002807617
2015-08-18,45.07575988769531
2015-08-19,44.52651596069336
2015-08-20,43.57954406738281
2015-08-21,41.960227966308594
2015-08-24,39.782196044921875
2015-08-25,38.522727966308594
2015-08-26,39.782196044921875
2015-08-27,40.86174011230469
2015-08-28,41.41098403930664
2015-08-31,40.852272033691406
2015-09-01,39.47916793823242
2015-09-02,39.753787994384766
2015-09-03,39.914772033691406
2015-09-04,39.4886360168457
2015-09-08,40.662879943847656
2015-09-09,39.76325988769531
2015-09-10,39.602272033691406
2015-09-11,39.43181610107422
2015-09-14,39.29924011230469
2015-09-15,38.92045593261719
2015-09-16,39.024620056152344
2015-09-17,38.74052810668945
2015-09-18,38.27651596069336
2015-09-21,38.20075988769531
2015-09-22,37.47159194946289
2015-09-23,37.17802810668945
2015-09-24,36.86552810668945
2015-09-25,36.647727966308594
2015-09-28,35.49242401123047
2015-09-29,35.407196044921875
2015-09-30,35.78598403930664
2015-10-01,36.316287994384766
2015-10-02,36.85606002807617
2015-10-05,37.64204406738281
2015-10-06,37.73674011230469
2015-10-07,38.15340805053711
2015-10-08,38.91098403930664
2015-10-09,40.9375
2015-10-12,39.725379943847656
2015-10-13,39.8011360168457
2015-10-14,39.876895904541016
2015-10-15,39.914772033691406
2015-10-16,39.89583206176758
2015-10-19,39.308712005615234
2015-10-20,39.24242401123047
2015-10-21,39.01515197753906
2015-10-22,40.4261360168457
2015-10-23,41.524620056152344
2015-10-26,41.155303955078125
2015-10-27,40.72916793823242
2015-10-28,41.600379943847656
2015-10-29,40.70075988769531
2015-10-30,40.4261360168457
2015-11-02,41.11742401123047
2015-11-03,40.5113639831543
2015-11-04,40.25568389892578
2015-11-05,39.810604095458984
