Date,HPE
2015-10-19,7.226114273071289
2015-10-20,7.365833759307861
2015-10-21,7.195552349090576
2015-10-22,7.400765895843506
2015-10-23,7.422595500946045
2015-10-26,7.169352054595947
2015-10-27,6.868083953857422
2015-10-28,7.108230113983154
2015-10-29,6.96414041519165
2015-10-30,6.42709493637085
2015-11-02,6.3266730308532715
2015-11-03,6.26991081237793
2015-11-04,5.964275360107422
2015-11-05,5.7983574867248535
2015-11-06,6.2873759269714355
2015-11-09,6.200049877166748
2015-11-10,6.29174280166626
2015-11-11,6.160755634307861
2015-11-12,5.981739044189453
2015-11-13,5.846386432647705
2015-11-16,5.8420209884643555
2015-11-17,5.772159099578857
2015-11-18,5.955540657043457
2015-11-19,6.016668796539307
2015-11-20,6.204416751861572
2015-11-23,6.047231674194336
2015-11-24,5.977372646331787
2015-11-25,6.165120601654053
2015-11-27,6.265544891357422
2015-11-30,6.488222599029541
2015-12-01,6.815689563751221
2015-12-02,6.527519226074219
2015-12-03,6.383432865142822
2015-12-04,6.645406246185303
2015-12-07,6.7702956199646
2015-12-08,6.647597789764404
2015-12-09,6.507370948791504
2015-12-10,6.450404167175293
2015-12-11,6.213771343231201
2015-12-14,6.327706813812256
2015-12-15,6.380290508270264
2015-12-16,6.441641330718994
2015-12-17,6.270739555358887
2015-12-18,6.205008029937744
2015-12-21,6.143659591674805
2015-12-22,6.161187171936035
2015-12-23,6.533662796020508
2015-12-24,6.581864833831787
2015-12-28,6.673890590667725
2015-12-29,6.660743713378906
2015-12-30,6.695798873901367
2015-12-31,6.660743713378906
2016-01-04,6.630069255828857
2016-01-05,6.586249351501465
2016-01-06,6.48546028137207
2016-01-07,6.007814407348633
2016-01-08,5.93332052230835
2016-01-11,5.810622692108154
2016-01-12,5.810622692108154
2016-01-13,5.587137699127197
2016-01-14,5.696687698364258
2016-01-15,5.495113849639893
2016-01-19,5.398706436157227
2016-01-20,5.284773349761963
2016-01-21,5.438147068023682
2016-01-22,5.850061893463135
2016-01-25,5.845678806304932
2016-01-26,5.959613800048828
2016-01-27,5.867588043212891
2016-01-28,5.7799482345581055
2016-01-29,6.02972412109375
2016-02-01,6.042871952056885
2016-02-02,5.8938822746276855
2016-02-03,5.858825206756592
2016-02-04,6.0691633224487305
2016-02-05,5.784329414367676
2016-02-08,5.481967449188232
2016-02-09,5.573990345001221
2016-02-10,5.635338306427002
2016-02-11,5.43376350402832
2016-02-12,5.385561466217041
2016-02-16,5.4030914306640625
2016-02-17,5.7054548263549805
