Date,CCI
2015-07-01,51.779884338378906
2015-07-02,51.805419921875
2015-07-06,51.58189010620117
2015-07-07,52.15032196044922
2015-07-08,51.428592681884766
2015-07-09,51.37749481201172
2015-07-10,51.952335357666016
2015-07-13,51.66490173339844
2015-07-14,52.073665618896484
2015-07-15,51.8884391784668
2015-07-16,52.17586898803711
2015-07-17,51.79265213012695
2015-07-20,52.36748504638672
2015-07-21,51.601051330566406
2015-07-22,51.4860725402832
2015-07-23,53.178653717041016
2015-07-24,52.64850616455078
2015-07-27,52.73154067993164
2015-07-28,52.53993225097656
2015-07-29,52.45051574707031
2015-07-30,52.03535079956055
2015-07-31,52.31639099121094
2015-08-03,52.297210693359375
2015-08-04,52.373863220214844
2015-08-05,52.53355026245117
2015-08-06,52.399410247802734
2015-08-07,52.591033935546875
2015-08-10,53.363861083984375
2015-08-11,53.76626968383789
2015-08-12,54.258052825927734
2015-08-13,54.19416809082031
2015-08-14,54.97339630126953
2015-08-17,55.145835876464844
2015-08-18,54.50077438354492
2015-08-19,54.56463623046875
2015-08-20,53.9003791809082
2015-08-21,52.80179977416992
2015-08-24,51.05174255371094
2015-08-25,50.796260833740234
2015-08-26,52.1439208984375
2015-08-27,53.66404724121094
2015-08-28,53.49161148071289
2015-08-31,53.26166534423828
2015-09-01,52.02896499633789
2015-09-02,52.54631423950195
2015-09-03,52.578250885009766
2015-09-04,51.76070022583008
2015-09-08,52.61018753051758
2015-09-09,51.607418060302734
2015-09-10,50.64297866821289
2015-09-11,50.2214241027832
2015-09-14,50.272525787353516
2015-09-15,50.05537414550781
2015-09-16,50.57173538208008
2015-09-17,50.339359283447266
2015-09-18,49.96500778198242
2015-09-21,50.119930267333984
2015-09-22,49.42927932739258
2015-09-23,49.590641021728516
2015-09-24,49.5583610534668
2015-09-25,50.82991027832031
2015-09-28,50.068267822265625
2015-09-29,50.042449951171875
2015-09-30,50.90737533569336
2015-10-01,51.37210464477539
2015-10-02,51.59800720214844
2015-10-05,52.553287506103516
2015-10-06,52.12083053588867
2015-10-07,52.443572998046875
2015-10-08,52.695289611816406
2015-10-09,52.404823303222656
2015-10-12,52.604915618896484
2015-10-13,52.372562408447266
2015-10-14,51.94655227661133
2015-10-15,52.488746643066406
2015-10-16,52.70820236206055
2015-10-19,53.28912353515625
2015-10-20,53.68283462524414
