Date,LIN
2015-07-01,98.3839111328125
2015-07-02,98.07049560546875
2015-07-06,97.2126693725586
2015-07-07,97.74055480957031
2015-07-08,95.75275421142578
2015-07-09,95.67852783203125
2015-07-10,96.80852508544922
2015-07-13,97.71582794189453
2015-07-14,98.37569427490234
2015-07-15,97.89729309082031
2015-07-16,97.50140380859375
2015-07-17,96.5115966796875
2015-07-20,96.26416778564453
2015-07-21,95.18365478515625
2015-07-22,94.97744750976562
2015-07-23,95.01866912841797
2015-07-24,93.18759155273438
2015-07-27,92.2308120727539
2015-07-28,95.16717529296875
2015-07-29,95.62079620361328
2015-07-30,94.2516098022461
2015-07-31,94.1443862915039
2015-08-03,93.7237319946289
2015-08-04,93.52576446533203
2015-08-05,93.52576446533203
2015-08-06,93.48453521728516
2015-08-07,93.32780456542969
2015-08-10,95.24140167236328
2015-08-11,94.0124282836914
2015-08-12,93.57524108886719
2015-08-13,93.75669860839844
2015-08-14,94.02068328857422
2015-08-17,94.02891540527344
2015-08-18,93.62474060058594
2015-08-19,92.72570037841797
2015-08-20,92.09062957763672
2015-08-21,89.5831527709961
2015-08-24,86.90250396728516
2015-08-25,84.9559326171875
2015-08-26,85.8219985961914
2015-08-27,86.7623062133789
2015-08-28,87.58711242675781
2015-08-31,87.22418975830078
2015-09-01,84.44456481933594
2015-09-02,84.91470336914062
2015-09-03,85.55838775634766
2015-09-04,84.25437927246094
2015-09-08,86.60491943359375
2015-09-09,86.6298599243164
2015-09-10,87.36909484863281
2015-09-11,87.02021026611328
2015-09-14,86.7212142944336
2015-09-15,87.79268646240234
2015-09-16,89.24620056152344
2015-09-17,88.91394805908203
2015-09-18,87.31924438476562
2015-09-21,87.41891479492188
2015-09-22,85.90723419189453
2015-09-23,83.58992767333984
2015-09-24,83.8889389038086
2015-09-25,83.82246398925781
2015-09-28,82.36897277832031
2015-09-29,83.51519012451172
2015-09-30,84.60322570800781
2015-10-01,84.22947692871094
2015-10-02,85.6746826171875
2015-10-05,88.32425689697266
2015-10-06,88.01691436767578
2015-10-07,89.07176971435547
2015-10-08,90.1930923461914
2015-10-09,90.24290466308594
2015-10-12,90.1432113647461
2015-10-13,90.01033782958984
2015-10-14,90.50867462158203
2015-10-15,90.94061279296875
2015-10-16,90.8907699584961
2015-10-19,90.64157104492188
2015-10-20,90.83262634277344
2015-10-21,89.60334777832031
2015-10-22,91.58013153076172
2015-10-23,92.81770324707031
2015-10-26,91.48043823242188
2015-10-27,90.75785827636719
2015-10-28,91.28942108154297
2015-10-29,93.64826965332031
2015-10-30,92.26951599121094
2015-11-02,93.34097290039062
2015-11-03,94.3210678100586
2015-11-04,93.87255859375
