Date,FTI
2015-07-01,27.04811668395996
2015-07-02,27.143617630004883
2015-07-06,26.36594009399414
2015-07-07,26.37958526611328
2015-07-08,25.329038619995117
2015-07-09,25.533695220947266
2015-07-10,25.547334671020508
2015-07-13,25.369972229003906
2015-07-14,25.61555290222168
2015-07-15,24.919734954833984
2015-07-16,25.19260597229004
2015-07-17,24.83787727355957
2015-07-20,24.756017684936523
2015-07-21,24.810592651367188
2015-07-22,22.34794807434082
2015-07-23,21.952285766601562
2015-07-24,22.40252113342285
2015-07-27,22.25926399230957
2015-07-28,22.77089500427246
2015-07-29,22.96190071105957
2015-07-30,22.559423446655273
2015-07-31,22.34794807434082
2015-08-03,22.272912979125977
2015-08-04,22.238800048828125
2015-08-05,22.654932022094727
2015-08-06,22.736793518066406
2015-08-07,22.177406311035156
2015-08-10,23.166553497314453
2015-08-11,22.702680587768555
2015-08-12,22.97554588317871
2015-08-13,22.300195693969727
2015-08-14,22.388877868652344
2015-08-17,22.422988891601562
2015-08-18,22.25926399230957
2015-08-19,21.563451766967773
2015-08-20,21.106395721435547
2015-08-21,20.471975326538086
2015-08-24,19.776161193847656
2015-08-25,19.598796844482422
2015-08-26,20.9631404876709
2015-08-27,22.18422508239746
2015-08-28,23.38484764099121
2015-08-31,23.725934982299805
2015-09-01,22.675395965576172
2015-09-02,23.036945343017578
2015-09-03,23.125621795654297
2015-09-04,22.648101806640625
2015-09-08,23.091516494750977
2015-09-09,22.422988891601562
2015-09-10,22.72997283935547
2015-09-11,22.197874069213867
2015-09-14,22.525312423706055
2015-09-15,23.057405471801758
2015-09-16,23.964696884155273
2015-09-17,23.6031494140625
2015-09-18,22.702680587768555
2015-09-21,22.63446044921875
2015-09-22,22.518489837646484
2015-09-23,22.35477066040039
2015-09-24,22.20469093322754
2015-09-25,22.39569854736328
2015-09-28,21.46794891357422
2015-09-29,21.522520065307617
2015-09-30,21.147327423095703
2015-10-01,20.34918212890625
2015-10-02,20.9631404876709
2015-10-05,22.36159324645996
2015-10-06,22.84593963623047
2015-10-07,23.323455810546875
2015-10-08,23.719118118286133
2015-10-09,23.50082015991211
2015-10-12,22.96190071105957
2015-10-13,22.941438674926758
2015-10-14,23.166553497314453
2015-10-15,23.725934982299805
2015-10-16,23.255239486694336
2015-10-19,23.091516494750977
2015-10-20,23.23477554321289
2015-10-21,22.34794807434082
2015-10-22,22.320659637451172
2015-10-23,22.695859909057617
2015-10-26,21.98639678955078
2015-10-27,21.69306182861328
2015-10-28,22.839109420776367
2015-10-29,22.39569854736328
2015-10-30,23.077869415283203
2015-11-02,23.644075393676758
2015-11-03,24.203454971313477
2015-11-04,24.196636199951172
2015-11-05,23.889657974243164
2015-11-06,23.951051712036133
2015-11-09,23.616788864135742
2015-11-10,23.507640838623047
2015-11-11,22.955081939697266
2015-11-12,22.156946182250977
2015-11-13,22.013681411743164
2015-11-16,22.81182861328125
2015-11-17,22.6071720123291
2015-11-18,23.412137985229492
2015-11-19,22.791366577148438
2015-11-20,22.58670997619629
2015-11-23,22.695859909057617
2015-11-24,23.330272674560547
2015-11-25,23.132450103759766
2015-11-27,22.77089500427246
2015-11-30,23.20748519897461
2015-12-01,23.20748519897461
2015-12-02,22.968727111816406
2015-12-03,22.641281127929688
2015-12-04,22.26608657836914
2015-12-07,21.092756271362305
2015-12-08,20.949495315551758
2015-12-09,21.440662384033203
2015-12-10,21.045000076293945
2015-12-11,19.728404998779297
2015-12-14,19.905776977539062
2015-12-15,20.888099670410156
2015-12-16,20.717554092407227
2015-12-17,19.81026840209961
2015-12-18,19.33957290649414
2015-12-21,19.57832908630371
2015-12-22,19.701120376586914
2015-12-23,20.205928802490234
2015-12-24,19.953521728515625
2015-12-28,19.74887466430664
2015-12-29,19.91942024230957
2015-12-30,19.892127990722656
2015-12-31,19.789804458618164
2016-01-04,19.933059692382812
2016-01-05,19.653369903564453
2016-01-06,18.49367904663086
2016-01-07,18.302671432495117
2016-01-08,17.736467361450195
2016-01-11,17.354454040527344
2016-01-12,17.224836349487305
2016-01-13,16.883752822875977
2016-01-14,17.409025192260742
2016-01-15,16.597244262695312
2016-01-19,16.29026222229004
2016-01-20,16.085620880126953
2016-01-21,16.2220458984375
2016-01-22,16.583599090576172
2016-01-25,15.949176788330078
2016-01-26,16.324369430541992
2016-01-27,16.317548751831055
2016-01-28,16.59041976928711
2016-01-29,17.156620025634766
2016-02-01,16.904218673706055
2016-02-02,16.11971664428711
2016-02-03,16.419876098632812
2016-02-04,16.56313133239746
2016-02-05,16.242511749267578
2016-02-08,16.112895965576172
2016-02-09,15.676307678222656
2016-02-10,15.79909610748291
2016-02-11,15.533050537109375
2016-02-12,15.77181339263916
2016-02-16,16.017396926879883
2016-02-17,17.149795532226562
2016-02-18,16.93832778930664
2016-02-19,17.170263290405273
2016-02-22,17.27259063720703
2016-02-23,16.50855827331543
2016-02-24,16.69956398010254
2016-02-25,16.2766170501709
2016-02-26,16.733678817749023
2016-02-29,16.733678817749023
2016-03-01,17.327165603637695
2016-03-02,17.57956886291504
2016-03-03,18.04344367980957
2016-03-04,17.518169403076172
2016-03-07,18.173057556152344
2016-03-08,16.604063034057617
2016-03-09,17.238481521606445
2016-03-10,17.299877166748047
2016-03-11,18.787010192871094
2016-03-14,18.534605026245117
2016-03-15,18.26856231689453
2016-03-16,18.46639060974121
2016-03-17,18.82794189453125
2016-03-18,18.787010192871094
2016-03-21,18.9780216217041
2016-03-22,18.725616455078125
2016-03-23,18.3299560546875
2016-03-24,18.404993057250977
2016-03-28,18.309494018554688
2016-03-29,18.316312789916992
2016-03-30,18.480030059814453
2016-03-31,18.664222717285156
2016-04-01,18.58236312866211
2016-04-04,18.480030059814453
2016-04-05,18.404993057250977
2016-04-06,18.7938289642334
2016-04-07,18.28220558166504
2016-04-08,18.800657272338867
2016-04-11,18.57553482055664
2016-04-12,19.155384063720703
2016-04-13,19.585153579711914
2016-04-14,19.25771141052246
2016-04-15,18.896162033081055
2016-04-18,19.626087188720703
2016-04-19,20.137714385986328
2016-04-20,19.98081398010254
2016-04-21,19.70794677734375
2016-04-22,20.144533157348633
2016-04-25,19.680660247802734
2016-04-26,19.4419002532959
2016-04-27,20.703916549682617
2016-04-28,20.615232467651367
2016-04-29,20.79941749572754
2016-05-02,20.437870025634766
2016-05-03,20.083141326904297
2016-05-04,19.462358474731445
2016-05-05,19.48965072631836
2016-05-06,19.544221878051758
2016-05-09,18.81429672241211
2016-05-10,19.066699981689453
2016-05-11,19.18267250061035
2016-05-12,19.10763168334961
2016-05-13,18.807477951049805
2016-05-16,19.680660247802734
2016-05-17,19.994455337524414
2016-05-18,19.544221878051758
2016-05-19,18.623292922973633
2016-05-20,18.50050163269043
2016-05-23,18.452749252319336
2016-05-24,18.391353607177734
2016-05-25,18.616470336914062
2016-05-26,18.241273880004883
2016-05-27,18.418642044067383
2016-05-31,18.57553482055664
2016-06-01,18.35723876953125
2016-06-02,18.138948440551758
2016-06-03,18.138948440551758
2016-06-06,18.964374542236328
2016-06-07,19.33957290649414
2016-06-08,19.82391357421875
2016-06-09,19.284996032714844
2016-06-10,18.7392578125
2016-06-13,18.370885848999023
2016-06-14,18.234453201293945
2016-06-15,18.18670082092285
2016-06-16,17.81150245666504
2016-06-17,18.452749252319336
2016-06-20,18.71196746826172
