Date,WAB
2019-01-02,70.86000061035156
2019-01-03,69.4800033569336
2019-01-04,71.25
2019-01-07,70.56999969482422
2019-01-08,71.0
2019-01-09,72.30000305175781
2019-01-10,73.11000061035156
2019-01-11,73.48999786376953
2019-01-14,72.54000091552734
2019-01-15,71.16000366210938
2019-01-16,71.94999694824219
2019-01-17,74.2300033569336
2019-01-18,75.6500015258789
2019-01-22,71.94999694824219
2019-01-23,70.25
2019-01-24,71.02999877929688
2019-01-25,68.54000091552734
2019-01-28,67.30000305175781
2019-01-29,68.9000015258789
2019-01-30,68.4000015258789
2019-01-31,69.16000366210938
2019-02-01,70.02999877929688
2019-02-04,71.22000122070312
2019-02-05,72.68000030517578
2019-02-06,72.69000244140625
2019-02-07,73.27999877929688
2019-02-08,73.4000015258789
2019-02-11,73.86000061035156
2019-02-12,70.55999755859375
2019-02-13,73.37000274658203
2019-02-14,72.05000305175781
2019-02-15,74.91999816894531
2019-02-19,74.56999969482422
2019-02-20,75.08000183105469
2019-02-21,73.58000183105469
2019-02-22,73.36000061035156
2019-02-25,78.05999755859375
2019-02-26,73.95999908447266
2019-02-27,75.30000305175781
2019-02-28,73.26000213623047
2019-03-01,72.41999816894531
2019-03-04,73.63999938964844
2019-03-05,73.05000305175781
2019-03-06,69.01000213623047
2019-03-07,69.7300033569336
2019-03-08,70.12000274658203
2019-03-11,71.11000061035156
2019-03-12,71.79000091552734
2019-03-13,72.47000122070312
2019-03-14,72.26000213623047
2019-03-15,71.12000274658203
2019-03-18,72.0999984741211
2019-03-19,72.33999633789062
2019-03-20,72.4800033569336
2019-03-21,73.87000274658203
2019-03-22,70.05000305175781
2019-03-25,70.0199966430664
2019-03-26,72.18000030517578
2019-03-27,71.98999786376953
2019-03-28,72.94999694824219
2019-03-29,73.72000122070312
2019-04-01,74.66999816894531
2019-04-02,74.76000213623047
2019-04-03,74.9800033569336
2019-04-04,76.08000183105469
2019-04-05,76.23999786376953
2019-04-08,75.41999816894531
2019-04-09,73.94999694824219
2019-04-10,74.36000061035156
2019-04-11,74.94999694824219
2019-04-12,76.77999877929688
2019-04-15,75.6500015258789
2019-04-16,76.97000122070312
2019-04-17,77.05999755859375
2019-04-18,77.93000030517578
2019-04-22,76.5
2019-04-23,76.73999786376953
2019-04-24,76.58000183105469
2019-04-25,71.45999908447266
2019-04-26,73.2300033569336
2019-04-29,73.81999969482422
2019-04-30,74.06999969482422
2019-05-01,75.11000061035156
2019-05-02,74.9800033569336
2019-05-03,75.12000274658203
2019-05-06,74.25
2019-05-07,72.91999816894531
2019-05-08,72.26000213623047
2019-05-09,71.54000091552734
2019-05-10,73.04000091552734
2019-05-13,70.48999786376953
2019-05-14,69.54000091552734
2019-05-15,68.38999938964844
2019-05-16,68.33000183105469
2019-05-17,65.9000015258789
2019-05-20,64.37999725341797
2019-05-21,64.66000366210938
2019-05-22,65.33999633789062
2019-05-23,63.36000061035156
2019-05-24,65.45999908447266
2019-05-28,65.9800033569336
2019-05-29,64.33999633789062
2019-05-30,63.709999084472656
2019-05-31,62.380001068115234
2019-06-03,63.31999969482422
2019-06-04,65.95999908447266
2019-06-05,67.36000061035156
2019-06-06,67.20999908447266
2019-06-07,67.37000274658203
2019-06-10,68.0199966430664
2019-06-11,68.44999694824219
2019-06-12,68.19999694824219
2019-06-13,69.02999877929688
2019-06-14,68.0
2019-06-17,68.05000305175781
2019-06-18,69.8499984741211
2019-06-19,70.87000274658203
2019-06-20,72.29000091552734
2019-06-21,72.76000213623047
2019-06-24,68.12000274658203
2019-06-25,68.4800033569336
2019-06-26,68.62000274658203
2019-06-27,69.06999969482422
2019-06-28,71.76000213623047
2019-07-01,73.36000061035156
