Date,TGNA
2015-07-01,16.448190689086914
2015-07-02,15.839552879333496
2015-07-06,15.27082633972168
2015-07-07,15.724808692932129
2015-07-08,15.12115478515625
2015-07-09,15.515275955200195
2015-07-10,15.649975776672363
2015-07-13,15.939326286315918
2015-07-14,16.019149780273438
2015-07-15,16.208728790283203
2015-07-16,16.2436466217041
2015-07-17,16.059066772460938
2015-07-20,16.059066772460938
2015-07-21,14.991449356079102
2015-07-22,14.87171745300293
2015-07-23,14.682137489318848
2015-07-24,14.737019538879395
2015-07-27,14.337912559509277
2015-07-28,14.29800033569336
2015-07-29,14.572389602661133
2015-07-30,14.442673683166504
2015-07-31,14.532476425170898
2015-08-03,14.477602005004883
2015-08-04,13.938802719116211
2015-08-05,13.694353103637695
2015-08-06,13.160541534423828
2015-08-07,13.260321617126465
2015-08-10,13.4898099899292
2015-08-11,12.98094654083252
2015-08-12,13.015870094299316
2015-08-13,12.771418571472168
2015-08-14,12.691596984863281
2015-08-17,12.86121654510498
2015-08-18,12.661667823791504
2015-08-19,12.467100143432617
2015-08-20,12.222649574279785
2015-08-21,11.943270683288574
2015-08-24,11.648929595947266
2015-08-25,11.184968948364258
2015-08-26,11.58906364440918
2015-08-27,11.693831443786621
2015-08-28,12.05302619934082
2015-08-31,11.86843490600586
2015-09-01,11.584073066711426
2015-09-02,11.59913158416748
2015-09-03,11.749704360961914
2015-09-04,11.508788108825684
2015-09-08,11.824992179870605
2015-09-09,11.654339790344238
2015-09-10,11.644306182861328
2015-09-11,11.629246711730957
2015-09-14,11.528862953186035
2015-09-15,11.794875144958496
2015-09-16,11.955487251281738
2015-09-17,12.005678176879883
2015-09-18,11.654339790344238
2015-09-21,11.835030555725098
2015-09-22,11.664379119873047
2015-09-23,11.493729591369629
2015-09-24,11.468634605407715
2015-09-25,11.443540573120117
2015-09-28,11.162470817565918
2015-09-29,10.966724395751953
2015-09-30,11.23775577545166
2015-10-01,11.348177909851074
2015-10-02,11.589093208312988
2015-10-05,12.000658988952637
2015-10-06,11.99563980102539
2015-10-07,12.843868255615234
2015-10-08,13.265470504760742
2015-10-09,13.150032997131348
2015-10-12,12.813754081726074
2015-10-13,12.723410606384277
2015-10-14,12.562796592712402
2015-10-15,12.828811645507812
2015-10-16,12.773600578308105
2015-10-19,12.54774284362793
2015-10-20,12.567817687988281
2015-10-21,12.542723655700684
2015-10-22,12.929197311401367
2015-10-23,13.134976387023926
2015-10-26,13.185166358947754
2015-10-27,13.109879493713379
2015-10-28,13.471257209777832
2015-10-29,13.511404991149902
2015-10-30,13.571637153625488
2015-11-02,13.882821083068848
2015-11-03,13.973165512084961
2015-11-04,13.953094482421875
2015-11-05,13.646923065185547
2015-11-06,13.571637153625488
2015-11-09,13.586697578430176
2015-11-10,13.79247760772705
2015-11-11,13.707151412963867
2015-11-12,13.526461601257324
2015-11-13,13.054670333862305
2015-11-16,13.340757369995117
2015-11-17,13.43612003326416
2015-11-18,13.938029289245605
2015-11-19,13.902897834777832
2015-11-20,14.118718147277832
2015-11-23,14.148833274841309
2015-11-24,14.103660583496094
2015-11-25,14.138798713684082
2015-11-27,14.113700866699219
2015-11-30,14.178949356079102
2015-12-01,14.394773483276367
2015-12-02,14.041709899902344
2015-12-03,13.895441055297852
2015-12-04,14.213189125061035
2015-12-07,14.097190856933594
2015-12-08,13.618040084838867
2015-12-09,13.386021614074707
2015-12-10,13.426372528076172
2015-12-11,12.836258888244629
2015-12-14,12.80095386505127
2015-12-15,12.962352752685547
2015-12-16,13.406200408935547
2015-12-17,13.113665580749512
2015-12-18,12.795909881591797
2015-12-21,13.038008689880371
2015-12-22,13.053135871887207
2015-12-23,13.128796577453613
2015-12-24,13.078356742858887
2015-12-28,13.128796577453613
2015-12-29,13.2296724319458
2015-12-30,12.962352752685547
2015-12-31,12.871564865112305
2016-01-04,12.533637046813965
2016-01-05,12.43780517578125
2016-01-06,12.382326126098633
2016-01-07,12.004046440124512
2016-01-08,11.852734565734863
2016-01-11,11.645943641662598
2016-01-12,11.923346519470215
2016-01-13,11.534980773925781
2016-01-14,12.251190185546875
2016-01-15,12.115009307861328
2016-01-19,11.701423645019531
2016-01-20,11.51480770111084
2016-01-21,11.499675750732422
2016-01-22,11.812387466430664
2016-01-25,11.73673152923584
2016-01-26,11.842649459838867
2016-01-27,11.867865562438965
2016-01-28,11.625768661499023
2016-01-29,12.109963417053223
2016-02-01,12.225972175598145
2016-02-02,11.772035598754883
2016-02-03,11.867865562438965
2016-02-04,11.847691535949707
2016-02-05,11.610636711120605
2016-02-08,11.050785064697266
2016-02-09,10.778422355651855
2016-02-10,10.944866180419922
2016-02-11,10.934778213500977
2016-02-12,11.18192195892334
2016-02-16,11.70646858215332
2016-02-17,12.225972175598145
2016-02-18,11.943521499633789
2016-02-19,12.059528350830078
2016-02-22,12.46806812286377
2016-02-23,12.29153823852539
2016-02-24,12.18057632446289
2016-02-25,12.170487403869629
2016-02-26,12.246145248413086
2016-02-29,12.42772388458252
2016-03-01,12.478156089782715
2016-03-02,12.478155136108398
2016-03-03,12.721635818481445
2016-03-04,12.6151123046875
2016-03-07,12.584677696228027
2016-03-08,12.173810958862305
2016-03-09,12.46293830871582
2016-03-10,12.468011856079102
2016-03-11,12.533952713012695
2016-03-14,12.295549392700195
2016-03-15,11.81367015838623
2016-03-16,12.087581634521484
2016-03-17,12.17888355255127
2016-03-18,12.244824409484863
2016-03-21,12.163666725158691
2016-03-22,12.249897956848145
2016-03-23,12.067289352416992
2016-03-24,11.854247093200684
2016-03-28,11.920193672180176
2016-03-29,12.163666725158691
2016-03-30,12.021638870239258
2016-03-31,11.899901390075684
2016-04-01,11.570196151733398
2016-04-04,11.352079391479492
2016-04-05,11.286138534545898
2016-04-06,11.646278381347656
2016-04-07,11.39773178100586
2016-04-08,11.504250526428223
2016-04-11,11.52961540222168
2016-04-12,11.509322166442871
2016-04-13,12.067289352416992
2016-04-14,11.925265312194824
2016-04-15,11.981060028076172
2016-04-18,12.133231163024902
2016-04-19,12.325984954833984
2016-04-20,12.275259971618652
2016-04-21,12.031784057617188
2016-04-22,12.092653274536133
2016-04-25,12.173810958862305
2016-04-26,12.183955192565918
2016-04-27,11.844104766845703
2016-04-28,11.935408592224121
2016-04-29,11.849175453186035
2016-05-02,11.864396095275879
2016-05-03,11.69193172454834
2016-05-04,11.52961540222168
2016-05-05,11.585411071777344
2016-05-06,11.631062507629395
2016-05-09,11.570196151733398
2016-05-10,11.671642303466797
2016-05-11,11.717290878295898
2016-05-12,11.468743324279785
2016-05-13,11.565119743347168
2016-05-16,11.46367359161377
2016-05-17,11.36729621887207
2016-05-18,11.301356315612793
2016-05-19,11.270918846130371
2016-05-20,11.448456764221191
2016-05-23,11.34700870513916
2016-05-24,11.453526496887207
2016-05-25,11.423093795776367
2016-05-26,11.428168296813965
2016-05-27,11.560050964355469
2016-05-31,11.646278381347656
2016-06-01,11.59524917602539
2016-06-02,11.891250610351562
2016-06-03,11.656486511230469
2016-06-06,11.656486511230469
2016-06-07,11.559516906738281
2016-06-08,11.513586044311523
2016-06-09,11.4829683303833
2016-06-10,11.181859970092773
2016-06-13,11.18696403503418
2016-06-14,11.396206855773926
2016-06-15,11.457448959350586
2016-06-16,11.370689392089844
2016-06-17,11.360480308532715
2016-06-20,11.518691062927246
2016-06-21,11.437033653259277
2016-06-22,11.467658042907715
2016-06-23,11.692211151123047
2016-06-24,11.217580795288086
2016-06-27,11.110406875610352
2016-06-28,11.232890129089355
2016-06-29,11.467658042907715
2016-06-30,11.824904441833496
2016-07-01,11.886147499084473
2016-07-05,11.5084867477417
2016-07-06,11.717727661132812
2016-07-07,11.94228458404541
2016-07-08,12.06476879119873
2016-07-11,12.161738395690918
2016-07-12,12.370984077453613
2016-07-13,12.325050354003906
2016-07-14,12.452635765075684
2016-07-15,12.467947006225586
2016-07-18,12.518983840942383
2016-07-19,12.427122116088867
2016-07-20,12.513880729675293
2016-07-21,12.534294128417969
2016-07-22,12.68229866027832
2016-07-25,12.758851051330566
2016-07-26,11.738142967224121
2016-07-27,11.559516906738281
2016-07-28,11.289029121398926
2016-07-29,11.176753044128418
2016-08-01,11.084888458251953
2016-08-02,10.671501159667969
2016-08-03,10.778677940368652
2016-08-04,10.691920280456543
2016-08-05,10.962403297424316
2016-08-08,10.834817886352539
2016-08-09,10.773573875427246
2016-08-10,10.681714057922363
2016-08-11,10.793988227844238
2016-08-12,10.691920280456543
2016-08-15,10.90626335144043
2016-08-16,10.890954971313477
2016-08-17,10.89605712890625
2016-08-18,10.8705415725708
2016-08-19,10.967507362365723
2016-08-22,10.901161193847656
2016-08-23,10.947094917297363
2016-08-24,10.967507362365723
2016-08-25,10.742955207824707
2016-08-26,10.661296844482422
2016-08-29,10.426534652709961
2016-08-30,10.452052116394043
2016-08-31,10.33977222442627
2016-09-01,10.401015281677246
2016-09-02,10.543916702270508
2016-09-06,10.288739204406738
2016-09-07,11.208658218383789
2016-09-08,11.182961463928223
2016-09-09,10.854053497314453
2016-09-12,11.09045696258545
2016-09-13,10.854053497314453
2016-09-14,10.82835578918457
2016-09-15,10.879752159118652
2016-09-16,11.003090858459473
2016-09-19,10.972253799438477
2016-09-20,10.555976867675781
2016-09-21,10.730710983276367
2016-09-22,10.920862197875977
2016-09-23,10.956835746765137
2016-09-26,10.972253799438477
2016-09-27,10.941418647766113
2016-09-28,11.182961463928223
2016-09-29,11.075037956237793
2016-09-30,11.234354019165039
2016-10-03,11.362836837768555
2016-10-04,11.244634628295898
2016-10-05,11.3165864944458
2016-10-06,11.141850471496582
2016-10-07,10.81808090209961
2016-10-10,10.69473648071289
2016-10-11,10.581676483154297
2016-10-12,10.401799201965332
2016-10-13,10.247623443603516
2016-10-14,10.247623443603516
2016-10-17,10.22192668914795
2016-10-18,10.29387378692627
2016-10-19,10.448055267333984
2016-10-20,10.350406646728516
2016-10-21,10.340128898620605
2016-10-24,10.329851150512695
2016-10-25,10.196229934692383
2016-10-26,10.247623443603516
2016-10-27,10.093446731567383
2016-10-28,10.103723526000977
2016-10-31,10.083169937133789
2016-11-01,10.227067947387695
2016-11-02,9.487014770507812
2016-11-03,9.389370918273926
2016-11-04,9.26089096069336
2016-11-07,9.543548583984375
2016-11-08,9.646334648132324
2016-11-09,9.89815616607666
2016-11-10,10.175674438476562
2016-11-11,10.915722846984863
2016-11-14,11.501595497131348
2016-11-15,11.660909652709961
2016-11-16,11.6249361038208
2016-11-17,11.845925331115723
2016-11-18,11.78939437866211
2016-11-21,11.511873245239258
2016-11-22,11.6249361038208
2016-11-23,11.388531684875488
2016-11-25,11.486177444458008
2016-11-28,11.450203895568848
2016-11-29,11.496455192565918
2016-11-30,11.527292251586914
2016-12-01,11.506731033325195
2016-12-02,11.46562385559082
2016-12-05,11.5221529006958
2016-12-06,11.702025413513184
2016-12-07,11.97608757019043
2016-12-08,12.022632598876953
2016-12-09,11.960578918457031
2016-12-12,11.53138256072998
2016-12-13,11.474498748779297
2016-12-14,11.46415901184082
2016-12-15,11.484841346740723
2016-12-16,11.443472862243652
2016-12-19,11.402109146118164
2016-12-20,11.53138256072998
2016-12-21,11.453817367553711
2016-12-22,11.484841346740723
2016-12-23,11.371082305908203
2016-12-27,11.334885597229004
2016-12-28,11.241803169250488
2016-12-29,11.143552780151367
2016-12-30,11.060818672180176
2017-01-03,11.138385772705078
2017-01-04,11.293516159057617
2017-01-05,11.159066200256348
2017-01-06,11.117700576782227
