Date,HP
2015-07-01,68.01000213623047
2015-07-02,67.76000213623047
2015-07-06,65.5
2015-07-07,65.62000274658203
2015-07-08,63.68000030517578
2015-07-09,64.55000305175781
2015-07-10,64.11000061035156
2015-07-13,64.80999755859375
2015-07-14,65.94000244140625
2015-07-15,62.709999084472656
2015-07-16,61.939998626708984
2015-07-17,60.529998779296875
2015-07-20,59.779998779296875
2015-07-21,59.27000045776367
2015-07-22,58.81999969482422
2015-07-23,59.61000061035156
2015-07-24,55.91999816894531
2015-07-27,55.63999938964844
2015-07-28,57.77000045776367
2015-07-29,59.79999923706055
2015-07-30,58.72999954223633
2015-07-31,57.7400016784668
2015-08-03,57.7599983215332
2015-08-04,58.4900016784668
2015-08-05,57.459999084472656
2015-08-06,61.65999984741211
2015-08-07,59.459999084472656
2015-08-10,62.66999816894531
2015-08-11,61.7400016784668
2015-08-12,62.290000915527344
2015-08-13,60.43000030517578
2015-08-14,58.2599983215332
2015-08-17,58.029998779296875
2015-08-18,58.630001068115234
2015-08-19,57.209999084472656
2015-08-20,56.459999084472656
2015-08-21,54.75
2015-08-24,51.369998931884766
2015-08-25,50.90999984741211
2015-08-26,51.4900016784668
2015-08-27,55.09000015258789
2015-08-28,57.650001525878906
2015-08-31,59.0099983215332
2015-09-01,55.91999816894531
2015-09-02,54.61000061035156
2015-09-03,54.70000076293945
2015-09-04,52.25
2015-09-08,52.95000076293945
2015-09-09,50.65999984741211
2015-09-10,51.290000915527344
2015-09-11,49.349998474121094
2015-09-14,49.0099983215332
2015-09-15,49.88999938964844
2015-09-16,52.849998474121094
2015-09-17,52.59000015258789
2015-09-18,49.27000045776367
2015-09-21,48.06999969482422
2015-09-22,47.439998626708984
2015-09-23,47.130001068115234
2015-09-24,47.380001068115234
2015-09-25,47.09000015258789
2015-09-28,46.5
2015-09-29,47.84000015258789
2015-09-30,47.2599983215332
2015-10-01,46.86000061035156
2015-10-02,49.279998779296875
2015-10-05,51.810001373291016
2015-10-06,56.16999816894531
2015-10-07,57.0099983215332
2015-10-08,59.58000183105469
2015-10-09,60.2599983215332
2015-10-12,58.5
2015-10-13,57.40999984741211
2015-10-14,57.599998474121094
2015-10-15,58.560001373291016
2015-10-16,56.220001220703125
2015-10-19,55.810001373291016
2015-10-20,56.61000061035156
