Date,MKTX
2019-07-01,322.5799865722656
2019-07-02,330.8900146484375
2019-07-03,338.5
2019-07-05,341.8999938964844
2019-07-08,341.5
2019-07-09,342.8999938964844
2019-07-10,349.3999938964844
2019-07-11,354.5299987792969
2019-07-12,358.2799987792969
2019-07-15,360.7900085449219
2019-07-16,363.1099853515625
2019-07-17,368.0299987792969
2019-07-18,372.79998779296875
2019-07-19,367.0299987792969
2019-07-22,370.4800109863281
2019-07-23,367.80999755859375
2019-07-24,334.25
2019-07-25,344.0
2019-07-26,347.94000244140625
2019-07-29,336.8999938964844
2019-07-30,336.04998779296875
2019-07-31,337.0400085449219
2019-08-01,340.29998779296875
2019-08-02,340.6300048828125
2019-08-05,341.4700012207031
2019-08-06,344.8399963378906
2019-08-07,348.9200134277344
2019-08-08,352.3599853515625
2019-08-09,362.1499938964844
2019-08-12,363.260009765625
2019-08-13,367.0199890136719
2019-08-14,356.6600036621094
2019-08-15,365.1199951171875
2019-08-16,366.2099914550781
2019-08-19,368.9100036621094
2019-08-20,375.3299865722656
2019-08-21,389.2300109863281
2019-08-22,392.6099853515625
2019-08-23,388.6199951171875
2019-08-26,395.1099853515625
2019-08-27,405.67999267578125
2019-08-28,404.4599914550781
2019-08-29,392.25
2019-08-30,397.6199951171875
2019-09-03,402.1099853515625
2019-09-04,408.6099853515625
2019-09-05,411.9599914550781
2019-09-06,419.3999938964844
2019-09-09,369.69000244140625
2019-09-10,342.05999755859375
2019-09-11,341.42999267578125
2019-09-12,345.1400146484375
2019-09-13,330.2900085449219
2019-09-16,334.3500061035156
2019-09-17,342.4800109863281
2019-09-18,344.0
2019-09-19,342.75
2019-09-20,338.17999267578125
2019-09-23,335.54998779296875
2019-09-24,336.1000061035156
2019-09-25,333.510009765625
2019-09-26,332.0
2019-09-27,324.7099914550781
2019-09-30,327.5
2019-10-01,325.010009765625
2019-10-02,318.7300109863281
2019-10-03,336.8599853515625
2019-10-04,346.95001220703125
2019-10-07,347.7900085449219
2019-10-08,346.6700134277344
2019-10-09,355.2699890136719
2019-10-10,359.0899963378906
2019-10-11,348.19000244140625
2019-10-14,349.42999267578125
2019-10-15,349.32000732421875
2019-10-16,340.4200134277344
2019-10-17,349.70001220703125
2019-10-18,352.8800048828125
2019-10-21,353.3999938964844
2019-10-22,340.6499938964844
2019-10-23,342.17999267578125
2019-10-24,349.4599914550781
2019-10-25,344.07000732421875
2019-10-28,348.8699951171875
2019-10-29,351.489990234375
2019-10-30,359.1499938964844
2019-10-31,368.5899963378906
2019-11-01,366.1400146484375
2019-11-04,358.3999938964844
2019-11-05,343.7300109863281
2019-11-06,347.80999755859375
2019-11-07,349.6000061035156
2019-11-08,347.1499938964844
2019-11-11,359.739990234375
2019-11-12,365.92999267578125
2019-11-13,374.3599853515625
2019-11-14,379.2200012207031
2019-11-15,381.05999755859375
2019-11-18,389.5199890136719
2019-11-19,400.1700134277344
2019-11-20,404.489990234375
2019-11-21,393.8900146484375
2019-11-22,392.3299865722656
2019-11-25,397.17999267578125
2019-11-26,401.8999938964844
2019-11-27,406.42999267578125
2019-11-29,403.82000732421875
2019-12-02,398.9700012207031
2019-12-03,397.6700134277344
2019-12-04,393.989990234375
2019-12-05,381.17999267578125
2019-12-06,375.8999938964844
2019-12-09,367.0199890136719
2019-12-10,370.0
2019-12-11,376.80999755859375
2019-12-12,369.4599914550781
2019-12-13,373.8900146484375
2019-12-16,374.69000244140625
2019-12-17,373.5400085449219
2019-12-18,369.8999938964844
2019-12-19,377.57000732421875
2019-12-20,376.32000732421875
2019-12-23,371.3599853515625
2019-12-24,374.0799865722656
2019-12-26,376.1000061035156
2019-12-27,375.0
2019-12-30,374.5
2019-12-31,379.1099853515625
2020-01-02,380.25
2020-01-03,380.04998779296875
2020-01-06,374.0799865722656
2020-01-07,375.25
2020-01-08,364.29998779296875
2020-01-09,371.70001220703125
2020-01-10,363.07000732421875
2020-01-13,368.6000061035156
2020-01-14,366.6099853515625
2020-01-15,368.1000061035156
2020-01-16,370.010009765625
2020-01-17,369.05999755859375
2020-01-21,370.69000244140625
2020-01-22,370.4200134277344
2020-01-23,367.2799987792969
2020-01-24,359.2699890136719
2020-01-27,357.8599853515625
2020-01-28,359.8699951171875
2020-01-29,352.0400085449219
2020-01-30,358.1600036621094
2020-01-31,354.17999267578125
2020-02-03,355.5
2020-02-04,355.0
2020-02-05,341.8500061035156
2020-02-06,345.6700134277344
2020-02-07,344.2900085449219
2020-02-10,341.25
2020-02-11,342.2799987792969
2020-02-12,335.5
2020-02-13,338.1499938964844
2020-02-14,345.69000244140625
2020-02-18,347.17999267578125
2020-02-19,341.67999267578125
2020-02-20,344.6000061035156
2020-02-21,340.0899963378906
2020-02-24,341.9100036621094
2020-02-25,331.20001220703125
2020-02-26,338.2799987792969
2020-02-27,333.3399963378906
2020-02-28,324.3299865722656
2020-03-02,348.6199951171875
2020-03-03,351.5799865722656
2020-03-04,373.55999755859375
2020-03-05,377.5299987792969
2020-03-06,362.3599853515625
2020-03-09,352.30999755859375
2020-03-10,357.1600036621094
2020-03-11,333.6499938964844
2020-03-12,314.7300109863281
2020-03-13,343.07000732421875
2020-03-16,311.2900085449219
2020-03-17,333.0
2020-03-18,305.3599853515625
2020-03-19,316.1300048828125
2020-03-20,310.6300048828125
2020-03-23,281.30999755859375
2020-03-24,326.7200012207031
2020-03-25,330.30999755859375
2020-03-26,352.7900085449219
2020-03-27,342.7799987792969
2020-03-30,351.32000732421875
2020-03-31,332.57000732421875
2020-04-01,333.989990234375
2020-04-02,347.2900085449219
2020-04-03,387.2699890136719
2020-04-06,399.0299987792969
2020-04-07,381.5
2020-04-08,395.6199951171875
2020-04-09,403.3500061035156
2020-04-13,385.7900085449219
2020-04-14,397.7099914550781
2020-04-15,413.20001220703125
2020-04-16,436.5
2020-04-17,429.7799987792969
2020-04-20,430.57000732421875
2020-04-21,410.489990234375
2020-04-22,424.239990234375
2020-04-23,417.7799987792969
2020-04-24,421.0199890136719
2020-04-27,441.5899963378906
2020-04-28,441.42999267578125
2020-04-29,456.7099914550781
2020-04-30,455.010009765625
2020-05-01,449.7900085449219
2020-05-04,457.07000732421875
2020-05-05,483.260009765625
2020-05-06,471.3500061035156
2020-05-07,480.75
2020-05-08,484.32000732421875
2020-05-11,505.04998779296875
2020-05-12,497.7300109863281
2020-05-13,504.739990234375
2020-05-14,493.6000061035156
2020-05-15,488.04998779296875
2020-05-18,492.6600036621094
2020-05-19,478.55999755859375
2020-05-20,477.92999267578125
2020-05-21,472.92999267578125
2020-05-22,482.32000732421875
2020-05-26,470.510009765625
2020-05-27,468.260009765625
2020-05-28,483.510009765625
2020-05-29,508.5899963378906
2020-06-01,519.780029296875
2020-06-02,515.9600219726562
2020-06-03,521.1099853515625
2020-06-04,499.0400085449219
2020-06-05,493.8999938964844
2020-06-08,488.3699951171875
2020-06-09,499.92999267578125
2020-06-10,506.989990234375
2020-06-11,482.05999755859375
2020-06-12,492.7900085449219
2020-06-15,501.1300048828125
