Date,DAL
2015-07-01,35.310543060302734
2015-07-02,35.07380676269531
2015-07-06,35.49470520019531
2015-07-07,36.10847473144531
2015-07-08,35.22287368774414
2015-07-09,35.55606460571289
2015-07-10,37.2308464050293
2015-07-13,38.02876281738281
2015-07-14,38.283058166503906
2015-07-15,38.572410583496094
2015-07-16,38.99330139160156
2015-07-17,39.40542221069336
2015-07-20,38.66010665893555
2015-07-21,39.15113067626953
2015-07-22,39.650936126708984
2015-07-23,39.598323822021484
2015-07-24,38.668853759765625
2015-07-27,38.519798278808594
2015-07-28,39.379112243652344
2015-07-29,38.739017486572266
2015-07-30,38.60749435424805
2015-07-31,38.879310607910156
2015-08-03,40.09813690185547
2015-08-04,40.64176559448242
2015-08-05,40.71652603149414
2015-08-06,40.48788833618164
2015-08-07,40.76049041748047
2015-08-10,40.734100341796875
2015-08-11,41.420047760009766
2015-08-12,40.980342864990234
2015-08-13,41.72783279418945
2015-08-14,41.88612747192383
2015-08-17,42.202720642089844
2015-08-18,41.64868927001953
2015-08-19,41.40245819091797
2015-08-20,40.19766616821289
2015-08-21,38.342124938964844
2015-08-24,37.066986083984375
2015-08-25,36.38105392456055
2015-08-26,38.430057525634766
2015-08-27,38.57078170776367
2015-08-28,38.641109466552734
2015-08-31,38.500396728515625
2015-09-01,38.49161148071289
2015-09-02,40.44390106201172
2015-09-03,39.62605285644531
2015-09-04,39.925052642822266
2015-09-08,40.9715461730957
2015-09-09,40.46149826049805
2015-09-10,40.883609771728516
2015-09-11,41.261756896972656
2015-09-14,41.23536682128906
2015-09-15,41.23536682128906
2015-09-16,41.4112548828125
2015-09-17,41.763023376464844
2015-09-18,41.041893005371094
2015-09-21,41.55195999145508
2015-09-22,40.85723114013672
2015-09-23,40.9715461730957
2015-09-24,40.37355422973633
2015-09-25,40.48788833618164
2015-09-28,39.274295806884766
2015-09-29,38.72905731201172
2015-09-30,39.45895767211914
2015-10-01,39.933841705322266
2015-10-02,39.45895767211914
2015-10-05,41.29692459106445
2015-10-06,39.652442932128906
2015-10-07,40.44390106201172
2015-10-08,40.41751480102539
2015-10-09,41.516780853271484
2015-10-12,42.651206970214844
2015-10-13,41.97407150268555
2015-10-14,42.730369567871094
2015-10-15,43.02935791015625
2015-10-16,43.196449279785156
2015-10-19,44.20775604248047
2015-10-20,44.10222244262695
2015-10-21,43.47785568237305
2015-10-22,44.682647705078125
2015-10-23,44.84972381591797
2015-10-26,45.13113784790039
2015-10-27,44.735408782958984
2015-10-28,44.093441009521484
2015-10-29,44.41002655029297
2015-10-30,44.70901870727539
2015-11-02,44.58591079711914
2015-11-03,44.84972381591797
2015-11-04,44.66897964477539
2015-11-05,44.56316375732422
2015-11-06,45.145103454589844
2015-11-09,44.642520904541016
2015-11-10,44.35154724121094
2015-11-11,44.06938934326172
2015-11-12,44.06938934326172
2015-11-13,43.19647216796875
2015-11-16,42.26182556152344
2015-11-17,42.1207389831543
2015-11-18,42.10310363769531
2015-11-19,42.773223876953125
2015-11-20,42.99367141723633
2015-11-23,42.97603225708008
2015-11-24,41.653419494628906
2015-11-25,41.327178955078125
2015-11-27,41.565250396728516
2015-11-30,40.965660095214844
2015-12-01,42.03255844116211
2015-12-02,42.61451721191406
2015-12-03,42.51753234863281
2015-12-04,43.893043518066406
2015-12-07,45.656524658203125
2015-12-08,44.32508850097656
2015-12-09,43.65498733520508
2015-12-10,45.21565246582031
2015-12-11,43.452178955078125
2015-12-14,44.2457389831543
2015-12-15,45.10102081298828
2015-12-16,45.95631408691406
2015-12-17,44.995216369628906
2015-12-18,44.05175018310547
2015-12-21,45.374359130859375
2015-12-22,45.63008117675781
2015-12-23,45.62125778198242
2015-12-24,46.07975769042969
2015-12-28,45.806434631347656
2015-12-29,46.000396728515625
2015-12-30,45.11866760253906
2015-12-31,44.69542694091797
2016-01-04,42.90550231933594
2016-01-05,42.82612991333008
2016-01-06,43.143558502197266
2016-01-07,41.44179916381836
2016-01-08,41.097938537597656
2016-01-11,41.21255111694336
2016-01-12,41.40653610229492
2016-01-13,39.62542724609375
2016-01-14,39.97810363769531
2016-01-15,39.23745346069336
2016-01-19,40.5247917175293
2016-01-20,40.286720275878906
2016-01-21,41.01857376098633
2016-01-22,41.23019027709961
2016-01-25,40.507164001464844
2016-01-26,40.657047271728516
2016-01-27,39.431427001953125
2016-01-28,38.09119415283203
2016-01-29,39.052284240722656
2016-02-01,39.863487243652344
2016-02-02,38.45269775390625
2016-02-03,38.6202278137207
2016-02-04,38.83185577392578
2016-02-05,37.04191970825195
2016-02-08,35.94855499267578
2016-02-09,37.01546859741211
2016-02-10,38.15290451049805
2016-02-11,37.65031814575195
2016-02-12,38.0262565612793
2016-02-16,39.43266677856445
2016-02-17,40.77716064453125
2016-02-18,41.0955924987793
2016-02-19,41.3255729675293
2016-02-22,43.18309020996094
2016-02-23,43.298099517822266
2016-02-24,43.28925323486328
2016-02-25,43.519229888916016
2016-02-26,42.333946228027344
2016-02-29,42.670074462890625
2016-03-01,43.25385665893555
2016-03-02,42.944271087646484
2016-03-03,43.15656280517578
2016-03-04,43.050418853759766
2016-03-07,42.80275344848633
2016-03-08,40.88330841064453
2016-03-09,41.34325408935547
2016-03-10,41.573238372802734
2016-03-11,42.18356704711914
2016-03-14,42.3604850769043
2016-03-15,42.24549102783203
2016-03-16,43.13888168334961
2016-03-17,43.00618362426758
2016-03-18,44.27107620239258
2016-03-21,44.33300018310547
2016-03-22,43.68728256225586
2016-03-23,43.2627067565918
2016-03-24,42.31624984741211
2016-03-28,42.63469314575195
2016-03-29,43.45730972290039
2016-03-30,43.634212493896484
2016-03-31,43.059268951416016
2016-04-01,41.582088470458984
2016-04-04,41.705928802490234
2016-04-05,41.71475601196289
2016-04-06,41.750144958496094
2016-04-07,40.511783599853516
2016-04-08,40.945213317871094
2016-04-11,41.175193786621094
2016-04-12,41.24595260620117
2016-04-13,42.4931640625
2016-04-14,42.891204833984375
2016-04-15,42.01549530029297
2016-04-18,41.175193786621094
2016-04-19,41.458251953125
2016-04-20,41.21941375732422
2016-04-21,39.77762985229492
2016-04-22,39.46804428100586
2016-04-25,38.85771942138672
2016-04-26,38.55698013305664
2016-04-27,38.64542007446289
2016-04-28,37.911258697509766
2016-04-29,36.85865783691406
2016-05-02,37.30093002319336
2016-05-03,37.96432113647461
2016-05-04,36.64636993408203
2016-05-05,36.92942428588867
2016-05-06,37.185935974121094
2016-05-09,37.62519836425781
2016-05-10,38.11326599121094
2016-05-11,37.53645706176758
2016-05-12,36.44497299194336
2016-05-13,36.91529083251953
2016-05-16,38.15762710571289
2016-05-17,38.75217056274414
2016-05-18,38.9207763671875
2016-05-19,38.246368408203125
2016-05-20,38.246368408203125
2016-05-23,38.11326599121094
2016-05-24,38.71668243408203
2016-05-25,38.601314544677734
2016-05-26,37.94465637207031
2016-05-27,38.264095306396484
2016-05-31,38.56581497192383
2016-06-01,38.610191345214844
2016-06-02,37.66956329345703
2016-06-03,36.888671875
2016-06-06,36.631324768066406
2016-06-07,37.35897445678711
2016-06-08,37.13713073730469
2016-06-09,37.62519836425781
2016-06-10,37.30573272705078
2016-06-13,36.001277923583984
2016-06-14,34.705692291259766
2016-06-15,34.51046371459961
2016-06-16,33.738441467285156
2016-06-17,33.72956848144531
2016-06-20,33.80055618286133
2016-06-21,34.31523132324219
2016-06-22,34.208744049072266
2016-06-23,33.995784759521484
2016-06-24,31.218263626098633
2016-06-27,29.603214263916016
2016-06-28,30.765697479248047
2016-06-29,32.15888977050781
2016-06-30,32.32749938964844
2016-07-01,32.62921142578125
2016-07-05,31.608715057373047
2016-07-06,31.57322120666504
2016-07-07,32.27423095703125
2016-07-08,33.16163635253906
2016-07-11,33.827178955078125
2016-07-12,35.681819915771484
2016-07-13,35.105018615722656
2016-07-14,36.36510467529297
2016-07-15,35.477718353271484
2016-07-18,35.58420181274414
2016-07-19,35.96577835083008
2016-07-20,35.681819915771484
2016-07-21,34.182125091552734
2016-07-22,34.57258224487305
2016-07-25,34.57258224487305
2016-07-26,34.63469314575195
2016-07-27,34.19987869262695
2016-07-28,34.92753601074219
2016-07-29,34.386226654052734
2016-08-01,35.034019470214844
2016-08-02,32.2920036315918
2016-08-03,32.37186813354492
2016-08-04,32.425113677978516
2016-08-05,33.427860260009766
2016-08-08,33.223758697509766
2016-08-09,32.9664192199707
2016-08-10,32.54972839355469
2016-08-11,32.74602508544922
2016-08-12,32.4337272644043
2016-08-15,32.94231033325195
2016-08-16,32.960166931152344
2016-08-17,33.468753814697266
2016-08-18,33.076168060302734
2016-08-19,32.80847930908203
2016-08-22,32.665714263916016
2016-08-23,32.737098693847656
2016-08-24,32.80847930908203
2016-08-25,32.54079818725586
2016-08-26,32.20173645019531
2016-08-29,32.6121940612793
2016-08-30,33.156463623046875
2016-08-31,32.79064178466797
2016-09-01,32.853092193603516
2016-09-02,33.16538619995117
2016-09-06,32.853092193603516
2016-09-07,34.70899200439453
2016-09-08,35.05698013305664
2016-09-09,33.682899475097656
2016-09-12,34.29856491088867
2016-09-13,33.48660659790039
2016-09-14,33.12078094482422
2016-09-15,33.272464752197266
2016-09-16,32.80847930908203
2016-09-19,33.52229690551758
2016-09-20,33.575828552246094
2016-09-21,33.95057678222656
2016-09-22,34.35208511352539
2016-09-23,34.6019287109375
2016-09-26,33.94165802001953
2016-09-27,34.98560333251953
2016-09-28,35.00345230102539
2016-09-29,34.82499313354492
2016-09-30,35.11944580078125
2016-10-03,35.672645568847656
2016-10-04,35.82433319091797
2016-10-05,35.97602462768555
2016-10-06,35.63694763183594
2016-10-07,34.75362014770508
2016-10-10,35.48527526855469
2016-10-11,34.74468994140625
2016-10-12,35.03913497924805
2016-10-13,35.69940948486328
2016-10-14,35.72616958618164
2016-10-17,35.11051559448242
2016-10-18,35.20867156982422
2016-10-19,36.49353790283203
2016-10-20,36.993194580078125
2016-10-21,36.734439849853516
2016-10-24,36.91288757324219
2016-10-25,36.7701301574707
2016-10-26,36.93966293334961
2016-10-27,37.00211715698242
2016-10-28,36.88613510131836
2016-10-31,37.2697868347168
2016-11-01,37.36793899536133
2016-11-02,37.412559509277344
2016-11-03,37.40362548828125
2016-11-04,38.26021194458008
2016-11-07,39.4469108581543
2016-11-08,39.915714263916016
2016-11-09,40.561100006103516
2016-11-10,41.188568115234375
2016-11-11,41.57402038574219
2016-11-14,42.55108642578125
2016-11-15,42.71242141723633
2016-11-16,42.47039794921875
2016-11-17,43.48330307006836
2016-11-18,43.832889556884766
2016-11-21,43.57294845581055
2016-11-22,43.832889556884766
2016-11-23,44.11075973510742
2016-11-25,44.137657165527344
2016-11-28,43.46536636352539
2016-11-29,43.55499267578125
2016-11-30,43.1875
2016-12-01,42.819984436035156
2016-12-02,43.30402755737305
2016-12-05,42.864810943603516
2016-12-06,44.30796432495117
2016-12-07,45.804927825927734
2016-12-08,46.029014587402344
2016-12-09,46.414459228515625
2016-12-12,44.7920036315918
2016-12-13,44.51414108276367
2016-12-14,44.657554626464844
2016-12-15,45.26709747314453
2016-12-16,44.96232986450195
2016-12-19,45.19538497924805
2016-12-20,45.50014114379883
2016-12-21,45.64357376098633
2016-12-22,44.63962936401367
2016-12-23,44.720298767089844
2016-12-27,45.14159393310547
2016-12-28,44.37968063354492
2016-12-29,44.20039749145508
2016-12-30,44.09283447265625
2017-01-03,44.35279083251953
2017-01-04,45.446380615234375
2017-01-05,44.57687759399414
2017-01-06,44.53207015991211
2017-01-09,44.54103469848633
2017-01-10,45.65254211425781
2017-01-11,46.10969161987305
2017-01-12,45.616676330566406
2017-01-13,45.92146301269531
2017-01-17,45.11471176147461
2017-01-18,45.08782196044922
2017-01-19,44.549991607666016
2017-01-20,45.26709747314453
2017-01-23,43.71635818481445
2017-01-24,44.31692886352539
2017-01-25,44.989219665527344
2017-01-26,45.62564468383789
2017-01-27,44.549991607666016
2017-01-30,42.7303466796875
2017-01-31,42.344913482666016
2017-02-01,42.36282730102539
2017-02-02,42.47039794921875
2017-02-03,42.855838775634766
2017-02-06,43.25920104980469
2017-02-07,43.16059875488281
2017-02-08,43.115779876708984
2017-02-09,44.21833038330078
2017-02-10,44.15559005737305
2017-02-13,44.8726921081543
2017-02-14,44.69342041015625
2017-02-15,45.8676643371582
2017-02-16,45.56290054321289
2017-02-17,45.92146301269531
2017-02-21,45.903526306152344
2017-02-22,45.83423614501953
2017-02-23,45.42925262451172
2017-02-24,45.411258697509766
2017-02-27,45.39326095581055
2017-02-28,44.934288024902344
2017-03-01,45.924217224121094
2017-03-02,44.96128845214844
2017-03-03,45.11427307128906
2017-03-06,43.962345123291016
2017-03-07,42.8734130859375
2017-03-08,42.90040969848633
2017-03-09,42.522430419921875
2017-03-10,43.11639404296875
2017-03-13,42.6124267578125
2017-03-14,41.649478912353516
2017-03-15,42.46843719482422
2017-03-16,42.666419982910156
2017-03-17,41.85646057128906
2017-03-20,42.162452697753906
2017-03-21,40.96552658081055
2017-03-22,41.163509368896484
2017-03-23,41.325496673583984
2017-03-24,41.39749526977539
2017-03-27,41.487491607666016
2017-03-28,41.87446212768555
2017-03-29,41.35250473022461
2017-03-30,41.64047622680664
2017-03-31,41.36149978637695
2017-04-03,41.68547821044922
2017-04-04,40.596553802490234
2017-04-05,40.56955337524414
2017-04-06,40.73154067993164
2017-04-07,40.650535583496094
2017-04-10,40.47056198120117
2017-04-11,40.75853729248047
2017-04-12,40.54253387451172
2017-04-13,39.62459945678711
2017-04-17,39.91258239746094
2017-04-18,39.966583251953125
2017-04-19,40.56955337524414
2017-04-20,41.334495544433594
2017-04-21,40.974517822265625
2017-04-24,42.12644958496094
2017-04-25,42.05445098876953
2017-04-26,41.73047637939453
2017-04-27,41.163509368896484
2017-04-28,40.893524169921875
2017-05-01,40.857540130615234
2017-05-02,43.044395446777344
2017-05-03,43.47637176513672
2017-05-04,43.77334976196289
2017-05-05,43.82735061645508
