Date,APH
2015-07-01,12.975549697875977
2015-07-02,12.871657371520996
2015-07-06,12.652575492858887
2015-07-07,12.623209953308105
2015-07-08,12.241507530212402
2015-07-09,12.261839866638184
2015-07-10,12.311524391174316
2015-07-13,12.508023262023926
2015-07-14,12.456072807312012
2015-07-15,12.422196388244629
2015-07-16,12.410905838012695
2015-07-17,12.26861572265625
2015-07-20,12.275390625
2015-07-21,12.216665267944336
2015-07-22,12.824226379394531
2015-07-23,12.706779479980469
2015-07-24,12.616434097290039
2015-07-27,12.36573314666748
2015-07-28,12.7722749710083
2015-07-29,12.885209083557129
2015-07-30,12.853589057922363
2015-07-31,12.740659713745117
2015-08-03,12.634506225585938
2015-08-04,12.55771255493164
2015-08-05,12.66838550567627
2015-08-06,12.589334487915039
2015-08-07,12.548678398132324
2015-08-10,12.790346145629883
2015-08-11,12.629983901977539
2015-08-12,12.591592788696289
2015-08-13,12.523833274841309
2015-08-14,12.550936698913574
2015-08-17,12.600624084472656
2015-08-18,12.467367172241211
2015-08-19,12.474146842956543
2015-08-20,12.223442077636719
2015-08-21,11.708486557006836
2015-08-24,11.08060073852539
2015-08-25,11.200304985046387
2015-08-26,11.426162719726562
2015-08-27,12.020172119140625
2015-08-28,11.943378448486328
2015-08-31,11.825933456420898
2015-09-01,11.37873363494873
2015-09-02,11.73106861114502
2015-09-03,11.740105628967285
2015-09-04,11.493257522583008
2015-09-08,11.688021659851074
2015-09-09,11.461549758911133
2015-09-10,11.640463829040527
2015-09-11,11.674430847167969
2015-09-14,11.665372848510742
2015-09-15,11.839751243591309
2015-09-16,11.937134742736816
2015-09-17,11.968841552734375
2015-09-18,11.762751579284668
2015-09-21,11.778602600097656
2015-09-22,11.479668617248535
2015-09-23,11.432109832763672
2015-09-24,11.336992263793945
2015-09-25,11.46381664276123
2015-09-28,11.203374862670898
2015-09-29,11.259994506835938
2015-09-30,11.540815353393555
2015-10-01,11.330198287963867
2015-10-02,11.43890380859375
2015-10-05,11.726521492004395
2015-10-06,11.604226112365723
2015-10-07,11.699341773986816
