Date,AMAT
2018-11-12,32.619998931884766
2018-11-13,33.4900016784668
2018-11-14,33.58000183105469
2018-11-15,35.02000045776367
2018-11-16,35.400001525878906
2018-11-19,34.41999816894531
2018-11-20,35.77000045776367
2018-11-21,35.189998626708984
2018-11-23,35.04999923706055
2018-11-26,36.0099983215332
2018-11-27,36.0
2018-11-28,37.11000061035156
2018-11-29,36.540000915527344
2018-11-30,37.279998779296875
2018-12-03,38.34000015258789
2018-12-04,35.43000030517578
2018-12-06,34.689998626708984
2018-12-07,33.63999938964844
2018-12-10,34.16999816894531
2018-12-11,34.02000045776367
2018-12-12,34.20000076293945
2018-12-13,33.709999084472656
2018-12-14,32.650001525878906
2018-12-17,32.66999816894531
2018-12-18,33.279998779296875
2018-12-19,31.530000686645508
2018-12-20,30.899999618530273
2018-12-21,30.309999465942383
2018-12-24,28.989999771118164
2018-12-26,30.639999389648438
2018-12-27,31.549999237060547
2018-12-28,32.380001068115234
2018-12-31,32.7400016784668
2019-01-02,33.47999954223633
2019-01-03,31.540000915527344
2019-01-04,33.70000076293945
2019-01-07,34.29999923706055
2019-01-08,32.90999984741211
2019-01-09,34.29999923706055
2019-01-10,34.7599983215332
2019-01-11,34.779998779296875
2019-01-14,33.86000061035156
2019-01-15,33.75
2019-01-16,33.63999938964844
2019-01-17,34.540000915527344
2019-01-18,35.709999084472656
2019-01-22,34.439998626708984
2019-01-23,34.310001373291016
2019-01-24,37.81999969482422
2019-01-25,39.189998626708984
2019-01-28,38.70000076293945
2019-01-29,38.20000076293945
2019-01-30,39.599998474121094
2019-01-31,39.08000183105469
2019-02-01,39.310001373291016
2019-02-04,38.900001525878906
2019-02-05,39.119998931884766
2019-02-06,40.279998779296875
2019-02-07,39.91999816894531
2019-02-08,39.779998779296875
2019-02-11,39.900001525878906
2019-02-12,40.689998626708984
2019-02-13,40.849998474121094
2019-02-14,40.709999084472656
2019-02-15,39.099998474121094
2019-02-19,39.29999923706055
2019-02-20,39.0
2019-02-21,38.83000183105469
2019-02-22,39.43000030517578
2019-02-25,39.65999984741211
2019-02-26,39.58000183105469
2019-02-27,38.779998779296875
2019-02-28,38.34000015258789
2019-03-01,38.560001373291016
2019-03-04,39.08000183105469
2019-03-05,38.93000030517578
2019-03-06,38.06999969482422
2019-03-07,37.56999969482422
2019-03-08,37.7400016784668
2019-03-11,38.5099983215332
2019-03-12,38.709999084472656
2019-03-13,38.599998474121094
2019-03-14,38.93000030517578
2019-03-15,40.38999938964844
2019-03-18,40.0
2019-03-19,40.369998931884766
2019-03-20,39.56999969482422
2019-03-21,41.33000183105469
2019-03-22,39.86000061035156
2019-03-25,39.400001525878906
2019-03-26,39.630001068115234
2019-03-27,38.93000030517578
2019-03-28,38.5099983215332
2019-03-29,39.65999984741211
2019-04-01,41.130001068115234
2019-04-02,40.9900016784668
2019-04-03,42.43000030517578
2019-04-04,42.619998931884766
2019-04-05,43.040000915527344
2019-04-08,42.91999816894531
2019-04-09,42.0099983215332
2019-04-10,42.16999816894531
2019-04-11,42.470001220703125
2019-04-12,42.9900016784668
2019-04-15,42.709999084472656
2019-04-16,43.720001220703125
2019-04-17,43.88999938964844
2019-04-18,43.95000076293945
2019-04-22,43.790000915527344
2019-04-23,43.83000183105469
2019-04-24,44.459999084472656
2019-04-25,44.45000076293945
2019-04-26,44.65999984741211
2019-04-29,44.2400016784668
2019-04-30,44.06999969482422
2019-05-01,43.380001068115234
2019-05-02,43.70000076293945
2019-05-03,43.959999084472656
2019-05-06,43.11000061035156
2019-05-07,42.04999923706055
2019-05-08,41.58000183105469
2019-05-09,40.939998626708984
2019-05-10,40.79999923706055
2019-05-13,39.09000015258789
2019-05-14,40.0099983215332
2019-05-15,41.5
2019-05-16,41.65999984741211
2019-05-17,42.70000076293945
2019-05-20,40.349998474121094
2019-05-21,41.27000045776367
2019-05-22,40.4900016784668
2019-05-23,39.939998626708984
2019-05-24,39.5
2019-05-28,39.0099983215332
2019-05-29,39.369998931884766
2019-05-30,39.75
2019-05-31,38.689998626708984
2019-06-03,38.779998779296875
2019-06-04,40.41999816894531
2019-06-05,40.59000015258789
2019-06-06,41.380001068115234
2019-06-07,41.5099983215332
2019-06-10,43.13999938964844
2019-06-11,43.75
2019-06-12,41.5
2019-06-13,41.650001525878906
2019-06-14,41.22999954223633
2019-06-17,40.5
2019-06-18,42.310001373291016
2019-06-19,42.529998779296875
2019-06-20,43.209999084472656
2019-06-21,42.959999084472656
2019-06-24,42.33000183105469
2019-06-25,41.97999954223633
2019-06-26,43.58000183105469
2019-06-27,44.689998626708984
2019-06-28,44.90999984741211
2019-07-01,45.68000030517578
2019-07-02,44.65999984741211
2019-07-03,44.66999816894531
2019-07-05,43.97999954223633
2019-07-08,43.45000076293945
2019-07-09,43.970001220703125
2019-07-10,44.720001220703125
2019-07-11,45.279998779296875
2019-07-12,46.5099983215332
2019-07-15,46.279998779296875
2019-07-16,46.0099983215332
2019-07-17,46.220001220703125
2019-07-18,48.16999816894531
2019-07-19,47.810001373291016
2019-07-22,50.72999954223633
2019-07-23,51.029998779296875
2019-07-24,52.13999938964844
2019-07-25,50.81999969482422
2019-07-26,50.7400016784668
2019-07-29,50.66999816894531
2019-07-30,50.72999954223633
2019-07-31,49.369998931884766
2019-08-01,48.470001220703125
2019-08-02,47.54999923706055
2019-08-05,45.459999084472656
2019-08-06,46.33000183105469
2019-08-07,46.68000030517578
2019-08-08,47.86000061035156
2019-08-09,47.150001525878906
2019-08-12,46.459999084472656
2019-08-13,48.060001373291016
2019-08-14,46.709999084472656
2019-08-15,47.15999984741211
2019-08-16,46.630001068115234
2019-08-19,47.099998474121094
2019-08-20,46.72999954223633
2019-08-21,46.83000183105469
2019-08-22,47.029998779296875
2019-08-23,45.119998931884766
2019-08-26,45.61000061035156
2019-08-27,45.5099983215332
2019-08-28,45.900001525878906
2019-08-29,47.310001373291016
2019-08-30,48.02000045776367
2019-09-03,47.61000061035156
2019-09-04,49.5099983215332
2019-09-05,50.349998474121094
2019-09-06,50.099998474121094
2019-09-09,50.65999984741211
2019-09-10,50.189998626708984
2019-09-11,51.560001373291016
2019-09-12,51.25
2019-09-13,51.349998474121094
2019-09-16,50.91999816894531
2019-09-17,51.20000076293945
2019-09-18,52.09000015258789
2019-09-19,51.68000030517578
2019-09-20,50.959999084472656
2019-09-23,51.7599983215332
2019-09-24,51.15999984741211
2019-09-25,51.93000030517578
2019-09-26,52.150001525878906
2019-09-27,49.43000030517578
2019-09-30,49.900001525878906
2019-10-01,50.02000045776367
2019-10-02,49.459999084472656
2019-10-03,49.63999938964844
2019-10-04,50.880001068115234
2019-10-07,50.650001525878906
2019-10-08,49.310001373291016
2019-10-09,50.84000015258789
2019-10-10,51.0099983215332
2019-10-11,51.75
2019-10-14,51.939998626708984
2019-10-15,52.90999984741211
2019-10-16,51.560001373291016
2019-10-17,52.13999938964844
2019-10-18,51.68000030517578
2019-10-21,52.63999938964844
2019-10-22,51.97999954223633
2019-10-23,50.529998779296875
2019-10-24,55.06999969482422
2019-10-25,55.720001220703125
2019-10-28,56.95000076293945
2019-10-29,55.52000045776367
2019-10-30,55.209999084472656
2019-10-31,54.2599983215332
2019-11-01,55.459999084472656
2019-11-04,55.7400016784668
2019-11-05,55.880001068115234
2019-11-06,55.81999969482422
2019-11-07,55.939998626708984
2019-11-08,56.029998779296875
2019-11-11,56.59000015258789
2019-11-12,56.41999816894531
2019-11-13,57.119998931884766
2019-11-14,56.959999084472656
2019-11-15,62.060001373291016
2019-11-18,62.349998474121094
2019-11-19,60.939998626708984
2019-11-20,59.650001525878906
2019-11-21,56.439998626708984
2019-11-22,55.939998626708984
2019-11-25,58.279998779296875
2019-11-26,57.56999969482422
2019-11-27,58.290000915527344
2019-11-29,57.900001525878906
2019-12-02,56.70000076293945
2019-12-03,55.34000015258789
2019-12-04,56.09000015258789
2019-12-05,55.84000015258789
2019-12-06,56.599998474121094
2019-12-09,56.599998474121094
2019-12-10,56.619998931884766
2019-12-11,59.040000915527344
2019-12-12,60.36000061035156
2019-12-13,59.869998931884766
2019-12-16,59.959999084472656
2019-12-17,60.790000915527344
2019-12-18,60.380001068115234
2019-12-19,60.66999816894531
2019-12-20,61.810001373291016
2019-12-23,61.08000183105469
2019-12-24,61.5
2019-12-26,61.310001373291016
2019-12-27,61.16999816894531
2019-12-30,60.93000030517578
2019-12-31,61.040000915527344
2020-01-02,62.20000076293945
2020-01-03,61.209999084472656
2020-01-06,59.88999938964844
2020-01-07,61.619998931884766
2020-01-08,61.58000183105469
2020-01-09,61.970001220703125
2020-01-10,61.470001220703125
2020-01-13,61.810001373291016
