Date,BMY
2015-07-01,47.019981384277344
2015-07-02,46.88796615600586
2015-07-06,46.9018669128418
2015-07-07,47.409095764160156
2015-07-08,47.06861877441406
2015-07-09,47.17285919189453
2015-07-10,48.131744384765625
2015-07-13,48.40271759033203
2015-07-14,48.68065643310547
2015-07-15,48.13867950439453
2015-07-16,48.20817184448242
2015-07-17,48.145626068115234
2015-07-20,48.61812973022461
2015-07-21,47.85379409790039
2015-07-22,48.20121765136719
2015-07-23,47.41602325439453
2015-07-24,45.8456916809082
2015-07-27,44.678367614746094
2015-07-28,44.92850112915039
2015-07-29,45.088321685791016
2015-07-30,44.78953170776367
2015-07-31,45.60945129394531
2015-08-03,45.400997161865234
2015-08-04,45.05357360839844
2015-08-05,45.206451416015625
2015-08-06,44.150291442871094
2015-08-07,44.059967041015625
2015-08-10,44.39347839355469
2015-08-11,43.53882598876953
2015-08-12,43.35122299194336
2015-08-13,43.37205505371094
2015-08-14,43.83066177368164
2015-08-17,44.10165786743164
2015-08-18,44.66447830200195
2015-08-19,44.55331039428711
2015-08-20,43.57357406616211
2015-08-21,42.434024810791016
2015-08-24,40.75251007080078
2015-08-25,40.217472076416016
2015-08-26,41.711387634277344
2015-08-27,42.260318756103516
2015-08-28,42.11438751220703
2015-08-31,41.32227325439453
2015-09-01,40.43982696533203
2015-09-02,41.4195556640625
2015-09-03,40.821990966796875
2015-09-04,39.814476013183594
2015-09-08,40.98875045776367
2015-09-09,40.32170486450195
2015-09-10,40.821990966796875
2015-09-11,41.14856719970703
2015-09-14,41.113826751708984
2015-09-15,41.753082275390625
2015-09-16,42.809242248535156
2015-09-17,43.212257385253906
2015-09-18,44.7061653137207
2015-09-21,43.58051681518555
2015-09-22,43.142765045166016
2015-09-23,42.899574279785156
2015-09-24,42.941253662109375
2015-09-25,41.8573112487793
2015-09-28,39.92564392089844
2015-09-29,40.96097183227539
2015-09-30,41.39448547363281
2015-10-01,41.98883056640625
2015-10-02,43.513153076171875
2015-10-05,43.33134460449219
2015-10-06,41.86995315551758
2015-10-07,42.338443756103516
2015-10-08,42.310489654541016
2015-10-09,42.96076202392578
2015-10-12,43.848777770996094
2015-10-13,43.590065002441406
2015-10-14,43.40827560424805
2015-10-15,44.48508834838867
2015-10-16,45.093414306640625
2015-10-19,45.505958557128906
2015-10-20,44.67387771606445
2015-10-21,43.70893859863281
2015-10-22,44.17742156982422
2015-10-23,45.56190490722656
2015-10-26,45.135372161865234
2015-10-27,46.70863342285156
2015-10-28,47.261024475097656
2015-10-29,47.06524658203125
2015-10-30,46.11429977416992
2015-11-02,45.97443771362305
2015-11-03,46.2052001953125
